%Recollect Version 2.0. Scene/Level: nback0_inter, Game Number: 021
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,2,1,0,4,1.14990,1477689164742.85,3.68338,1477689167276.47
0,2,1,0,1,3.65003,1477689167244.11,6.18352,1477689169777.7
0,2,1,1,4,6.15017,1477689169742.94,7.79912,1477689171412.67
0,2,1,0,0,8.65030,1477689172244.28,11.18378,1477689174778.25
0,2,1,0,0,10.88392,1477689174477.72,13.43407,1477689187626.63
0,2,0,1,0,13.40057,1477689187594.53,15.93402,1477689190127.26
0,2,1,0,3,15.90071,1477689190094.69,18.43419,1477689192626.62
0,2,1,0,4,18.40077,1477689192593.44,20.93432,1477689195126
0,2,1,1,3,20.63437,1477689194826.13,22.29911,1477689196494.76
0,2,0,0,3,23.10112,1477689197295.68,24.93911,1477689199159.39
0,2,1,0,2,25.60123,1477689199794.03,28.16806,1477689202360.61
0,2,1,0,1,28.10138,1477689202293.43,30.66819,1477689204860.16
0,2,1,0,3,30.60152,1477689204793.83,33.16833,1477689207360.78
0,2,1,1,1,33.10166,1477689207294.91,34.85912,1477689209061.1
0,2,1,0,4,35.36845,1477689209560.65,37.90193,1477689212094.03
0,2,1,0,0,37.86856,1477689212061.4,40.40208,1477689214594.69
0,2,1,0,1,40.36874,1477689214561.65,42.90222,1477689217095.56
0,2,1,0,2,42.86888,1477689217062.85,45.40235,1477689219595.72
0,2,1,1,1,45.10233,1477689219295.19,46.77911,1477689220993.82
0,2,1,0,3,47.56912,1477689221762.83,50.10278,1477689224296.41
1,213.97070,0.81376,2,51.97911,1477689226193.22
0,2,1,0,3,50.06928,1477689224262.27,52.60277,1477689226795.45
0,2,1,0,4,52.56941,1477689226762.04,55.10294,1477689229295.91
0,3,1,1,3,55.06947,1477689229263.05,56.71912,1477689230933.24
0,3,1,0,3,59.80324,1477689236029.44,62.37007,1477689238597.09
0,3,0,0,0,62.30341,1477689238530.54,64.01911,1477689240261.37
0,3,1,0,2,64.80351,1477689241029.21,67.37040,1477689243596.03
0,3,1,0,0,67.30362,1477689243529.45,69.87049,1477689246096.47
0,3,1,1,0,69.57047,1477689245796.6,71.27911,1477689247528.59
0,3,1,1,2,72.03727,1477689248261.87,73.69911,1477689249930.02
0,3,1,0,4,74.53741,1477689250762.6,77.07090,1477689253298.02
0,4,1,1,0,77.03759,1477689253262.3,79.03912,1477689255297.37
0,4,1,0,1,82.03787,1477689260296.74,84.57158,1477689262831.32
0,4,1,0,3,84.30466,1477689262564.61,86.80480,1477689265064.77
0,4,1,0,0,86.80480,1477689265070.78,89.30494,1477689267565.75
0,4,1,0,3,89.30494,1477689267572.07,91.80508,1477689270067.01
0,4,1,0,2,91.80508,1477689270065.23,94.30521,1477689272565.25
0,4,0,1,3,94.03860,1477689272297.49,96.57201,1477689274833.3
0,4,1,0,4,96.67202,1477689274932.7,99.20550,1477689277466.5
0,4,1,0,0,98.90541,1477689277166.25,101.47230,1477689279733.62
0,4,1,0,4,101.40560,1477689279665.81,103.97240,1477689282232.6
0,4,1,0,4,103.90580,1477689282165.93,106.43930,1477689284699.05
0,3,0,0,2,106.40600,1477689284666.49,108.07910,1477689286365.46
1,441.53790,0.60135,1,108.87910,1477689289196.87
0,3,0,0,1,111.30610,1477689291599.06,113.47910,1477689293797.87
0,3,1,0,2,113.80630,1477689294098.71,116.33980,1477689296632.81
1,476.33200,0.89129,0,117.57910,1477689297897.85
0,3,1,0,1,116.30640,1477689296600.29,118.83990,1477689299133.33
