%Recollect Version 2.0. Scene/Level: nback1_inter, Game Number: 094
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,4,0.07352,1478819850827.76,1.70001,1478819852441.12
0,3,1,0,1,1.60007,1478819852341.44,4.16687,1478819854908.39
0,3,1,0,5,4.06683,1478819854807.99,6.60034,1478819857341.21
0,3,0,1,1,6.50034,1478819857241.33,9.03406,1478819859777.25
0,2,0,0,1,8.93381,1478819859674.08,10.71835,1478819861477.84
0,2,1,0,2,13.83411,1478819866607.62,16.36758,1478819869142.02
0,2,1,0,2,16.26752,1478819869042.47,18.80099,1478819871575.53
0,2,1,0,1,18.70102,1478819871475.39,21.26782,1478819874042.7
0,2,1,0,0,21.16776,1478819873942.26,23.70129,1478819876476.03
0,2,1,0,5,23.60129,1478819876375.99,26.16806,1478819878942.7
0,2,1,0,2,26.16806,1478819878942.5,28.70157,1478819881476.39
0,2,0,0,1,28.60156,1478819881376.14,30.85837,1478819883642.72
0,2,1,1,2,31.03503,1478819883808.56,32.65833,1478819885443.07
0,2,1,0,3,33.50183,1478819886276.31,36.03534,1478819888809.27
0,2,1,0,3,35.93530,1478819888709.42,38.46887,1478819891243.3
0,2,1,1,3,38.36871,1478819891142.99,39.95837,1478819892743.68
0,2,1,0,4,40.83557,1478819893609.19,43.36908,1478819896143.55
0,2,1,0,5,43.26904,1478819896043.39,45.80273,1478819898576.91
0,3,1,1,4,45.70251,1478819898478.11,47.45837,1478819900246.87
0,3,1,0,4,50.60291,1478819905410.66,53.16962,1478819907977.78
0,3,1,0,1,53.23627,1478819908043.52,55.76978,1478819910578.22
0,3,1,0,3,55.66980,1478819910477.5,58.16992,1478819912978.24
0,3,1,1,4,58.06989,1478819912877.55,59.67834,1478819914510.64
0,3,1,1,1,60.53662,1478819915343.85,62.17834,1478819917010.91
0,3,1,0,1,62.97021,1478819917777.95,65.50378,1478819920311.39
0,3,1,0,2,65.40363,1478819920211.78,67.93713,1478819922744.58
0,3,1,0,5,67.87048,1478819922678.47,70.40387,1478819925211.87
1,287.84910,10.28628,2,70.41833,1478819925243.93
0,4,1,1,1,70.27057,1478819925078.47,71.91833,1478819926746.81
0,4,1,0,5,75.20422,1478819932045.54,77.73767,1478819934578.65
0,4,1,0,1,77.63763,1478819934477.98,80.17114,1478819937012.35
0,4,1,0,3,80.10443,1478819936945.87,82.67126,1478819939512.97
1,339.29140,8.36556,1,83.27838,1478819940147.47
0,4,0,0,5,82.57135,1478819939413.32,84.27838,1478819941145.22
0,3,0,0,1,85.03809,1478819941878.68,86.67834,1478819943547.15
0,3,1,0,2,90.10492,1478819948980.2,92.63843,1478819951513.15
0,3,1,0,4,92.53833,1478819951412.24,95.07227,1478819953946.64
0,3,1,0,1,95.00513,1478819953880.17,97.50531,1478819956380.25
0,3,1,0,0,97.40533,1478819956280.34,99.93884,1478819958814.16
0,3,1,1,4,99.87213,1478819958746.85,101.47830,1478819960379.76
0,3,1,0,0,102.30570,1478819961180.21,104.83910,1478819963714.27
0,3,0,0,4,104.73930,1478819963614.4,106.35830,1478819965247.22
0,3,1,0,2,107.20590,1478819966080.52,109.73940,1478819968615.86
0,3,1,1,0,109.63940,1478819968514.44,111.23830,1478819970114.44
0,3,0,0,2,112.10610,1478819970981.16,113.79830,1478819972682.08
0,2,0,0,0,114.63960,1478819973514.39,116.69840,1478819975583.27
0,2,1,0,4,119.54010,1478819980448.23,122.07350,1478819982981.1
0,2,1,0,1,122.00680,1478819982915.31,124.54030,1478819985448.78
0,2,1,0,0,124.44020,1478819985348.37,126.97370,1478819987881.16
1,519.92250,0.80786,0,128.45840,1478819989381.18
0,2,1,0,4,126.87380,1478819987781.41,129.40720,1478819990315.32
