%Recollect Version 2.0. Scene/Level: nback1_inter, Game Number: 113
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,4,0.07355,1479238593565.81,1.69998,1479238595174.13
0,3,1,0,0,1.63336,1479238595108.96,4.16684,1479238597641.77
0,3,1,0,2,4.06686,1479238597541.54,6.60028,1479238600074.17
0,3,1,0,3,6.50031,1479238599974.09,9.03378,1479238602508.66
0,3,0,1,4,8.93378,1479238602408.87,11.46729,1479238604945.43
0,3,1,0,0,11.40057,1479238604874.47,13.93408,1479238607408.78
0,3,1,0,4,13.83411,1479238607308.46,16.36755,1479238609841.85
0,2,0,1,4,16.26752,1479238609742.72,18.80106,1479238612280.23
0,2,1,0,2,21.16782,1479238616675.79,23.70129,1479238619209.17
0,2,1,0,4,23.63461,1479238619143.79,26.16800,1479238621676.42
0,2,1,0,5,26.16800,1479238621676.22,28.70163,1479238624209.23
0,2,1,0,1,28.63492,1479238624143.42,31.13504,1479238626643.62
0,2,1,0,4,31.03503,1479238626542.95,33.56848,1479238629077.28
0,2,1,1,1,33.50177,1479238629009.34,35.46387,1479238630976.88
0,2,1,0,0,35.93533,1479238631443.42,38.46875,1479238633976.72
0,2,0,0,3,38.36884,1479238633876.92,39.96387,1479238635477.07
0,2,1,0,5,40.83572,1479238636344.09,43.36908,1479238638877.28
0,2,1,0,5,43.26904,1479238638777.68,45.80255,1479238641309.93
0,2,1,1,5,45.73584,1479238641244.04,47.42389,1479238642944.18
0,2,0,0,1,48.16931,1479238643678.11,49.80389,1479238645343.64
0,2,1,0,3,50.63611,1479238646144.22,53.13629,1479238648644.47
0,2,1,0,4,53.23627,1479238648745.28,55.76978,1479238651278.52
0,2,1,0,2,55.63647,1479238651144.8,58.16992,1479238653678.07
0,2,1,0,0,58.06989,1479238653578.08,60.60339,1479238656111.04
0,2,1,1,2,60.53668,1479238656045.01,62.40387,1479238657944.32
0,2,1,0,1,62.97015,1479238658478.17,65.50366,1479238661010.72
0,2,1,0,0,65.40363,1479238660911.1,67.93713,1479238663445.55
0,2,1,0,4,67.83710,1479238663345.9,70.37054,1479238665878.71
0,2,1,1,0,70.27051,1479238665778.87,71.98389,1479238667511.5
0,2,1,0,5,72.73730,1479238668245.07,75.27087,1479238670779.18
0,2,1,0,2,75.17084,1479238670678.93,77.70453,1479238673213.03
0,2,1,0,3,77.63763,1479238673144.68,80.17114,1479238675679.13
0,2,1,0,1,80.10443,1479238675612.49,82.67126,1479238678179.45
0,3,1,1,3,82.57129,1479238678079.67,84.14386,1479238679681.51
0,3,1,0,1,87.63831,1479238685179.29,90.17175,1479238687713.31
0,3,1,0,4,90.07178,1479238687613.71,92.60577,1479238690147.31
0,3,1,0,3,92.50519,1479238690046.79,95.07202,1479238692613.42
0,3,1,0,5,94.97211,1479238692513.52,97.50549,1479238695047.29
0,3,1,0,0,97.40552,1479238694946.98,99.93896,1479238697480.1
0,3,1,0,5,99.87231,1479238697413.73,102.40570,1479238699946.89
0,3,1,0,1,102.30580,1479238699847.26,104.87260,1479238702414.43
0,3,1,1,0,104.73930,1479238702279.81,106.32390,1479238703880.47
0,3,1,0,3,107.20610,1479238704747.38,109.73950,1479238707280.37
0,3,1,0,0,109.63950,1479238707180.59,112.17300,1479238709715.46
0,3,1,0,2,112.10660,1479238709647.94,114.63980,1479238712180.63
0,3,1,0,1,114.63980,1479238712180.37,117.17330,1479238714714.72
0,3,1,0,3,117.10660,1479238714647.94,119.60680,1479238717148.15
0,3,1,0,0,119.50670,1479238717047.84,122.07370,1479238719615.31
0,3,1,0,2,121.97360,1479238719515.27,124.50700,1479238722048.68
0,3,1,0,0,124.40690,1479238721948.44,126.97380,1479238724515.28
0,3,1,0,1,126.87380,1479238724415.39,129.40730,1479238726949.19
0,3,1,1,2,129.30730,1479238726848.89,131.18390,1479238728748.18
0,4,1,1,0,131.74080,1479238729281.37,133.32390,1479238730884.37
0,4,1,0,2,136.64110,1479238736215,139.17450,1479238738749.5
0,4,1,0,5,139.10780,1479238738682.75,141.60800,1479238741182.82
0,4,1,0,1,141.70800,1479238741282.82,144.27480,1479238743849.98
0,4,1,0,5,144.14140,1479238743715.29,146.67490,1479238746250.42
0,4,0,0,4,146.57500,1479238746149.59,148.18390,1479238747782.53
0,4,1,1,5,149.00850,1479238748583.53,150.72390,1479238750316.09
0,4,1,0,0,151.44180,1479238751016.27,153.97540,1479238753550.55
0,4,1,0,3,153.90870,1479238753483.32,156.44210,1479238756016.15
0,4,1,0,0,156.34220,1479238755916.55,158.87570,1479238758450.59
0,4,1,0,1,158.77560,1479238758350.31,161.30910,1479238760884.21
0,4,1,0,2,161.20910,1479238760783.69,163.77590,1479238763350.74
0,4,1,0,0,163.67590,1479238763250.65,166.20940,1479238765784.43
0,4,1,0,3,166.10940,1479238765684.03,168.67620,1479238768251.33
0,4,1,0,0,168.60950,1479238768184.16,171.14300,1479238770717.24
0,4,1,0,5,171.07630,1479238770651.21,173.60980,1479238773184.44
0,4,0,0,3,173.50980,1479238773084.25,175.08390,1479238774684.14
