%Recollect Version 2.0. Scene/Level: nback0_intro, Game Number: 001
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,1,1,0,2,1.18247,1477954184868.45,3.71599,1477954187402.35
0,1,1,1,2,3.68266,1477954187369.32,5.33917,1477954189047.96
0,1,1,1,2,6.18283,1477954189869.5,7.83917,1477954191536.32
0,1,1,0,3,8.68310,1477954192371.36,11.21640,1477954194902.7
0,2,1,1,3,10.94975,1477954194636.38,12.59916,1477954196307.16
0,2,1,0,0,15.94993,1477954201670.51,18.48337,1477954204203.39
0,2,1,0,1,18.45008,1477954204170.13,20.98351,1477954206703.66
0,2,1,0,3,20.68352,1477954206403.51,23.21697,1477954208936.58
0,2,1,0,4,23.15034,1477954208870.38,25.68392,1477954211404
0,2,1,0,0,25.65043,1477954211370.63,28.18459,1477954213904.76
0,2,1,0,0,28.15063,1477954213870.64,30.68406,1477954216404.17
0,2,1,0,4,30.65078,1477954216370.85,33.18420,1477954218904.31
0,2,1,1,0,33.15091,1477954218870.86,34.87916,1477954220604.63
0,2,1,0,1,35.41770,1477954221137.53,37.95117,1477954223671.28
0,2,1,1,0,37.91796,1477954223637.72,39.61916,1477954225371.49
0,2,1,0,4,40.41793,1477954226137.52,42.95135,1477954228671.94
0,2,1,0,2,42.91798,1477954228637.66,45.45177,1477954231171.78
0,2,1,0,3,45.15152,1477954230871.84,47.68509,1477954233405.14
0,2,1,0,1,47.61827,1477954233338.01,50.15188,1477954235871.91
0,3,1,1,3,50.11861,1477954235838.36,51.77916,1477954237507.15
0,3,0,0,4,55.11857,1477954242871.7,56.83916,1477954244606.09
0,3,1,0,2,57.58540,1477954245338.95,60.15216,1477954247905.71
0,3,1,0,3,59.85229,1477954247606.54,62.38565,1477954250139.73
0,3,1,0,1,62.35235,1477954250106.08,64.88577,1477954252640.04
0,3,1,1,2,64.85248,1477954252606.3,66.51917,1477954254273.28
0,3,1,0,0,67.35278,1477954255106.64,69.88610,1477954257640.4
0,3,1,1,1,69.61940,1477954257372.83,71.27917,1477954259040.3
0,3,1,0,4,72.08624,1477954259839.76,74.61971,1477954262373.41
0,3,1,0,2,74.58636,1477954262339.94,77.11985,1477954264873.54
0,3,1,0,3,77.08646,1477954264840.11,79.61996,1477954267373.87
0,4,1,1,4,79.58660,1477954267340.28,81.37917,1477954269141.98
0,4,1,0,0,84.32031,1477954274107.21,86.88720,1477954276674.07
0,4,1,0,3,86.82053,1477954276607.37,89.38743,1477954279174.34
0,4,1,0,2,89.32059,1477954279107.49,91.88743,1477954281674.42
0,4,1,0,1,91.82088,1477954281607.98,94.38770,1477954284174.71
0,4,1,0,3,94.08769,1477954283874.58,96.62097,1477954286407.86
0,4,1,0,1,96.72103,1477954286507.83,99.25456,1477954289041.2
0,4,1,0,4,98.95455,1477954288741.09,101.48810,1477954291275.16
0,4,1,1,1,101.45510,1477954291241.73,103.11920,1477954292908.55
0,4,1,1,3,103.95480,1477954293741.24,105.61920,1477954295409.34
0,5,1,1,1,106.45500,1477954296241.45,108.11920,1477954297911.07
0,5,1,0,2,111.32210,1477954303142.16,113.88910,1477954305709.21
0,5,1,0,1,113.82240,1477954305643.12,116.38910,1477954308209.79
0,5,1,0,4,116.32240,1477954308142.74,118.88920,1477954310709.31
0,5,1,0,3,118.82260,1477954310642.64,121.38940,1477954313210.02
0,5,1,0,4,121.08990,1477954312909.86,123.62300,1477954315443.11
0,5,1,1,2,123.58940,1477954315409.51,125.25920,1477954317110.1
0,5,1,0,4,126.09020,1477954317910.72,128.62310,1477954320443.28
0,5,0,0,3,128.58980,1477954320409.82,130.25920,1477954322109.81
0,5,1,0,0,130.82320,1477954322643.37,133.39010,1477954325210.24
0,4,0,0,1,133.29000,1477954325110.07,134.93920,1477954326777.63
0,4,1,0,2,138.29030,1477954332144.58,140.82380,1477954334677.13
0,4,1,0,2,140.79050,1477954334643.91,143.32390,1477954337177.46
0,4,1,0,0,143.29060,1477954337144.06,145.82460,1477954339678.04
0,4,1,0,2,145.52400,1477954339377.42,148.09090,1477954341944.48
0,4,1,0,1,148.02420,1477954341877.62,150.59100,1477954344444.5
0,4,1,0,3,150.52440,1477954344377.87,153.05780,1477954346911.08
0,4,1,0,4,153.02440,1477954346878.01,155.55800,1477954349411.17
0,4,1,1,2,155.29130,1477954349144.67,156.93920,1477954350811.43
0,4,1,0,4,157.75820,1477954351611.27,160.29150,1477954354144.93
0,4,1,1,3,160.25820,1477954354111.31,161.91920,1477954355778.81
0,4,1,0,2,162.75900,1477954356612.15,165.29180,1477954359145.54
0,4,1,0,1,165.22510,1477954359078.58,167.79200,1477954361645.5
0,5,1,1,4,167.72520,1477954361578.65,169.41920,1477954363280.93
0,5,1,0,2,172.49230,1477954368378.96,175.02580,1477954370912.59
0,5,1,0,3,174.99250,1477954370879.26,177.52590,1477954373412.97
0,5,1,0,1,177.49250,1477954373378.95,180.02610,1477954375912.8
0,5,1,0,2,179.72610,1477954375612.79,182.25950,1477954378146.28
