%Recollect Version 2.0. Scene/Level: nback1_inter, Game Number: 036
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,3,0,1,2,0.07355,1478201334685.05,1.70020,1478201336294.75
0,2,0,1,4,1.63342,1478201336226.47,4.16675,1478201338763.93
0,2,1,0,0,6.49951,1478201343124.92,9.03302,1478201345659.15
0,2,1,0,3,8.79968,1478201345425.33,11.46643,1478201348093.6
0,2,1,1,0,11.39978,1478201348025.33,13.10297,1478201349758.7
0,2,1,0,0,13.83331,1478201350459.3,16.36670,1478201352993.13
0,2,1,0,2,16.26672,1478201352892.91,18.80035,1478201355425.87
0,2,1,0,4,18.73358,1478201355359.52,21.26703,1478201357893.15
0,2,1,1,2,21.16809,1478201357794.65,22.82300,1478201359460.35
0,2,1,0,1,23.63385,1478201360260.12,26.16730,1478201362793.65
0,2,1,0,0,26.16730,1478201362793.4,28.70074,1478201365326.17
0,2,1,0,3,28.60077,1478201365226.29,31.13428,1478201367760.59
0,2,1,0,2,31.03424,1478201367660.78,33.56769,1478201370193.84
0,2,1,0,2,33.46765,1478201370093.87,36.03455,1478201372661.29
0,3,1,1,2,35.93451,1478201372561.05,37.58295,1478201374231.23
0,3,1,0,2,40.83478,1478201379494.04,43.36823,1478201382027.51
0,3,1,0,1,43.23480,1478201381894.57,45.76837,1478201384428.02
0,3,1,0,2,45.70172,1478201384360.36,48.23523,1478201386894.64
0,3,1,0,4,48.16858,1478201386828.29,50.66870,1478201389328.24
0,3,1,0,3,50.60199,1478201389261.4,53.13544,1478201391795.28
0,3,1,1,2,53.23553,1478201391896.59,54.88300,1478201393561.25
0,3,1,0,3,55.63562,1478201394295.73,58.16907,1478201396828.62
0,3,0,1,3,58.06897,1478201396728.4,60.60254,1478201399261.91
0,2,0,0,4,60.53589,1478201399195.28,62.18298,1478201400862.48
0,2,1,0,2,65.40283,1478201406094.96,67.93628,1478201408628.93
0,2,1,0,0,67.83624,1478201408529.27,70.36975,1478201411063.25
0,2,1,0,4,70.26971,1478201410962.74,72.80316,1478201413496.12
0,2,1,0,4,72.70319,1478201413395.85,75.27002,1478201415962.83
0,2,1,0,0,75.16998,1478201415862.76,77.70355,1478201418396.26
0,2,1,0,3,77.60364,1478201418296.44,80.17029,1478201420863.23
0,2,1,0,1,80.10364,1478201420796.78,82.67053,1478201423363.95
0,2,1,0,0,82.57043,1478201423264.03,85.10388,1478201425797.12
0,2,1,0,4,85.00830,1478201425701.62,87.53754,1478201428229.75
0,2,1,1,0,87.60406,1478201428296.96,89.34296,1478201430063.14
0,2,1,0,1,90.07080,1478201430763.69,92.60437,1478201433297.36
0,2,0,1,0,92.50433,1478201433197.23,95.07117,1478201435765.36
0,2,1,0,2,94.97113,1478201435664.35,97.50476,1478201438198.3
0,2,1,0,1,97.40460,1478201438097.65,99.93964,1478201440632.42
0,2,1,0,0,99.87170,1478201440564.54,102.40490,1478201443097.78
0,2,1,1,1,102.30500,1478201442998.46,103.98300,1478201444697.34
0,2,1,0,3,104.73830,1478201445430.69,107.27190,1478201447965.59
0,2,1,1,1,107.17180,1478201447864.77,108.84300,1478201449564.38
0,2,1,0,1,109.63860,1478201450331.49,112.17220,1478201452865.73
0,3,1,1,1,112.07210,1478201452765.57,113.74300,1478201454466.4
0,3,1,0,1,117.07240,1478201459798.79,119.60570,1478201462332.05
0,3,1,0,1,119.50580,1478201462232.01,122.07260,1478201464798.9
0,3,1,0,3,121.97270,1478201464699,124.50600,1478201467232.68
0,3,1,0,0,124.40610,1478201467132.69,126.93950,1478201469665.37
0,3,0,0,0,126.87300,1478201469599.17,128.56300,1478201471299.97
0,3,1,0,4,129.30630,1478201472033.2,131.83980,1478201474565.56
0,3,1,0,2,131.70650,1478201474433.09,134.27330,1478201476999.72
0,3,1,0,4,134.17420,1478201476900.75,136.74010,1478201479466.03
0,2,0,1,4,136.64010,1478201479366.16,139.17360,1478201481902.23
0,2,1,0,1,141.70710,1478201497834.48,144.27390,1478201500400.82
0,2,1,0,2,144.14050,1478201500267,146.67400,1478201502801.06
0,2,1,0,3,146.57400,1478201502701.13,149.10750,1478201505234.85
0,2,1,1,2,149.00760,1478201505134.68,150.68300,1478201506834.1
0,2,1,1,3,151.47440,1478201507602.14,153.12300,1478201509267.53
0,2,1,0,4,153.90780,1478201510034.89,156.47470,1478201512602.42
0,2,1,0,2,156.37460,1478201512502.86,158.90810,1478201515035.6
1,648.14060,10.10546,2,160.50300,1478201516634.92
0,2,1,0,0,158.80800,1478201514935.16,161.30830,1478201517435.34
0,2,1,0,4,161.24150,1478201517367.84,163.77500,1478201519901.9
0,2,1,0,1,163.70830,1478201519835.34,166.24190,1478201522368.16
0,2,1,0,2,166.14180,1478201522268,168.67530,1478201524802.35
0,2,1,0,4,168.64190,1478201524768.24,171.17550,1478201527302.42
0,2,1,0,3,171.07540,1478201527202.52,173.60930,1478201529736.63
0,2,1,0,0,173.50890,1478201529635.79,176.07570,1478201532202.56
