%Recollect Version 2.0. Scene/Level: nback2_intro, Game Number: 045
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,3,1,0,2,0.06573,1478549842344.3,1.41657,1478549843689.03
0,3,1,0,3,1.31647,1478549843588.87,3.84998,1478549846123.21
0,3,1,0,3,3.75000,1478549846023.18,6.31696,1478549848589.98
0,3,1,0,1,6.21680,1478549848489.58,8.75024,1478549851023.22
0,3,0,0,2,8.65039,1478549850923.36,10.30890,1478549852592.98
0,3,1,0,4,11.08398,1478549853356.26,13.61719,1478549855889.99
0,3,1,1,1,13.55054,1478549855823.31,15.20886,1478549857490.56
0,3,1,0,3,15.95068,1478549858223.24,18.51746,1478549860790.25
0,3,1,0,1,18.41748,1478549860690.5,20.95129,1478549863225.68
0,3,1,1,1,20.88428,1478549863156.8,22.54889,1478549864824.67
0,3,1,0,0,23.31775,1478549865590.28,25.85120,1478549868124.15
0,4,1,1,1,25.85120,1478549868127.22,27.68884,1478549869993.41
0,4,1,0,0,30.75153,1478549875057.94,33.28491,1478549877590.73
0,4,1,0,3,33.11829,1478549877424.24,35.65192,1478549879957.87
0,4,1,0,4,35.58521,1478549879890.78,38.11853,1478549882424.45
0,4,1,0,2,38.11853,1478549882427.3,40.61877,1478549884924.93
0,4,1,0,1,40.55200,1478549884857.96,43.08545,1478549887391.16
0,4,0,0,2,42.95215,1478549887258.07,44.94885,1478549889258.34
0,4,1,0,1,45.41901,1478549889725.17,47.95245,1478549892258.51
0,4,1,0,0,47.85260,1478549892158.53,50.41919,1478549894725.56
0,4,1,1,1,50.31921,1478549894625.43,51.98889,1478549896325.1
0,4,1,0,0,52.95276,1478549897258.93,55.48645,1478549899792.29
0,4,0,0,2,55.35291,1478549899658.79,57.24890,1478549901559.35
0,4,1,0,4,57.81982,1478549902125.79,60.35315,1478549904659.1
0,4,1,0,0,60.25330,1478549904559.22,62.78662,1478549907092.27
0,4,1,0,4,62.68658,1478549906992.09,65.22015,1478549909526.08
0,4,1,0,1,65.15338,1478549909459.28,67.68701,1478549911993.02
0,4,1,0,2,67.58710,1478549911892.74,70.12036,1478549914426.31
0,4,1,0,2,70.02051,1478549914326.36,72.55383,1478549916859.81
0,3,0,0,1,72.48712,1478549916792.72,74.58887,1478549918927.23
0,3,1,0,1,77.35419,1478549923693.72,79.92108,1478549926260.53
0,3,1,0,0,79.72156,1478549926061.01,82.25427,1478549928593.74
0,3,1,0,1,82.32092,1478549928660.52,84.85443,1478549931193.87
0,3,1,0,0,84.75446,1478549931093.71,87.28827,1478549933627.53
0,3,1,0,1,87.32147,1478549933661.73,89.85474,1478549936194.45
0,3,1,0,3,89.75488,1478549936095.57,92.28815,1478549938627.44
0,3,1,0,4,92.18829,1478549938527.63,94.72192,1478549941061.83
0,3,1,1,1,94.65509,1478549940994.65,96.30890,1478549942662.39
0,3,1,0,2,97.08929,1478549943428.95,99.62225,1478549945961.86
0,3,1,0,1,99.55554,1478549945895.09,102.08880,1478549948428.11
0,3,1,0,3,101.98870,1478549948327.96,104.52220,1478549950861.48
0,3,1,0,4,104.38900,1478549950729.41,106.92230,1478549953261.94
0,3,1,0,4,106.85570,1478549953195.58,109.38920,1478549955728.75
0,3,1,0,0,109.28910,1478549955628.99,111.85600,1478549958196.19
0,3,1,1,4,111.75590,1478549958095.81,113.72890,1478549960095.67
0,3,1,0,2,114.28960,1478549960629.23,116.82290,1478549963162.16
0,4,1,1,0,116.75640,1478549963096.12,118.44890,1478549964797.41
0,4,1,0,4,121.62320,1478549969995.8,124.15680,1478549972529.83
0,4,1,0,4,123.99010,1478549972363.49,126.55690,1478549974929.85
0,4,1,0,1,126.49040,1478549974863.26,129.05710,1478549977429.86
0,4,1,0,2,128.95700,1478549977330.19,131.49100,1478549979863.98
0,4,1,0,1,131.35710,1478549979730.17,133.89060,1478549982263.37
0,4,1,1,4,133.82390,1478549982196.38,135.50890,1478549983896.64
0,4,0,1,1,136.29080,1478549984663.36,138.82420,1478549987197.42
0,4,1,1,2,138.75760,1478549987130.26,140.40890,1478549988797.06
0,4,1,1,1,141.25780,1478549989630.38,142.90890,1478549991297.09
0,4,1,0,3,143.79120,1478549992163.98,146.32460,1478549994697.13
0,4,0,0,0,146.22470,1478549994597.33,147.92890,1478549996330.86
0,4,1,0,3,148.65830,1478549997031.03,151.19160,1478549999564.5
0,4,1,0,0,151.09160,1478549999464.41,153.65840,1478550002031.27
0,4,1,0,4,153.55850,1478550001931.5,156.09180,1478550004464.68
0,4,1,0,2,155.99180,1478550004364.6,158.52790,1478550006900.42
0,3,0,0,4,158.42540,1478550006797.93,160.08890,1478550008466.77
0,3,1,0,3,163.35970,1478550013765.08,165.86040,1478550016266.19
0,3,1,0,0,165.79410,1478550016199.68,168.29330,1478550018699.11
0,3,1,0,4,168.16020,1478550018566.01,170.69350,1478550021099.22
0,3,1,0,0,170.72710,1478550021132.29,173.26050,1478550023666.23
0,3,1,0,2,173.16030,1478550023566.09,175.69370,1478550026099.13
