%Recollect Version 2.0. Scene/Level: nback2_intro, Game Number: 061
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,1,0.07416,1478636384395.88,1.39990,1478636385715.74
0,3,1,0,0,1.33337,1478636385648.23,3.86670,1478636388181.99
0,3,1,0,1,3.76672,1478636388082.24,6.30017,1478636390615.61
0,3,1,0,7,6.23377,1478636390549.26,8.76703,1478636393083.05
0,3,1,0,2,8.66693,1478636392982.35,11.20050,1478636395516.2
0,3,1,1,1,11.10046,1478636395415.58,12.89716,1478636397218.5
0,3,1,1,7,13.56726,1478636397882.52,15.33716,1478636399682.41
0,3,1,0,4,15.96741,1478636400282.66,18.50092,1478636402816.18
0,3,1,0,5,18.43420,1478636402749.1,20.96771,1478636405283.59
0,3,1,0,1,20.90100,1478636405216.49,23.43451,1478636407749.54
0,3,1,0,6,23.33441,1478636407649.33,25.86823,1478636410183.65
0,3,1,0,3,25.86823,1478636410183.3,28.40173,1478636412716.95
0,3,1,0,5,28.33490,1478636412649.66,30.86823,1478636415183.18
0,3,1,0,4,30.76825,1478636415083.31,33.30170,1478636417616.8
0,4,1,1,3,33.13513,1478636417450.02,34.71716,1478636419053.59
0,4,1,0,3,38.10187,1478636424450.46,40.66895,1478636427017.55
0,4,1,0,1,40.56873,1478636426917.68,43.10205,1478636429450.66
0,4,1,0,2,42.96912,1478636429317.91,45.50262,1478636431851.09
0,4,1,0,1,45.43561,1478636431783.8,47.96906,1478636434317.73
0,4,1,1,3,47.86908,1478636434217.77,49.71716,1478636436084.79
0,4,1,1,1,50.33588,1478636436684.25,51.97711,1478636438351.06
0,4,1,0,0,52.96936,1478636439317.86,55.50281,1478636441851.37
0,5,1,1,1,55.36969,1478636441718.38,57.01715,1478636443386.75
0,5,1,0,7,60.26971,1478636448651.74,62.80334,1478636451185.36
0,5,1,0,7,62.70337,1478636451085.2,65.23676,1478636453619.04
0,5,1,0,1,65.16998,1478636453552.09,67.70404,1478636456086.06
0,5,1,0,5,67.60345,1478636455985.48,70.13708,1478636458518.91
0,5,1,0,1,70.03693,1478636458418.97,72.57043,1478636460952.65
0,5,1,0,4,72.50385,1478636460886.01,75.03729,1478636463419.34
0,5,1,0,3,74.97058,1478636463352.27,77.50403,1478636465886.37
0,5,1,0,4,77.40399,1478636465786.14,79.93787,1478636468320.08
0,5,1,0,3,79.73743,1478636468119.55,82.30432,1478636470686.27
0,5,1,1,1,82.33777,1478636470719.75,83.97717,1478636472386.22
0,5,1,1,4,84.77112,1478636473152.8,86.37708,1478636474786.4
0,6,1,1,3,87.33801,1478636475720,88.89709,1478636477289.11
0,6,1,0,6,92.20459,1478636482620.51,94.73804,1478636485153.99
0,6,1,0,6,94.63831,1478636485054.4,97.20483,1478636487621.07
0,6,1,0,7,97.10486,1478636487520.95,99.63831,1478636490054.28
0,6,1,0,0,99.53833,1478636489954.19,102.07240,1478636492488.02
0,6,1,0,7,101.97180,1478636492387.67,104.50560,1478636494921.65
0,6,1,0,6,104.40530,1478636494821.6,106.90550,1478636497321.59
0,6,1,1,6,106.83870,1478636497254.85,108.31710,1478636498754.73
0,6,1,0,7,109.30690,1478636499723.37,111.83970,1478636502255.72
0,6,1,0,5,111.73900,1478636502155.1,114.30580,1478636504722.05
0,6,1,0,7,114.30580,1478636504721.88,116.83940,1478636507255.33
0,6,1,1,7,116.73940,1478636507155.42,118.35720,1478636508788.44
0,6,1,0,1,119.17270,1478636509588.61,121.70700,1478636512123.05
0,7,1,1,6,121.60640,1478636512023.13,123.09720,1478636513524.6
0,7,1,0,6,126.50740,1478636518956.88,129.04020,1478636521489.19
0,7,1,0,3,128.94020,1478636521389.9,131.50710,1478636523956.02
0,7,1,0,4,131.37370,1478636523822.47,133.90710,1478636526356.19
0,7,1,0,2,133.84090,1478636526289.93,136.37410,1478636528822.67
0,7,1,0,0,136.27390,1478636528722.95,138.80740,1478636531256.9
0,7,1,0,6,138.74060,1478636531189.54,141.27420,1478636533722.87
0,7,0,0,5,141.24110,1478636533690.13,143.03710,1478636535490.27
0,7,1,0,0,143.84090,1478636536290.14,146.37450,1478636538823.19
0,6,0,0,6,146.27440,1478636538723.08,147.75710,1478636540225.05
0,6,1,0,4,151.17460,1478636545656.94,153.70840,1478636548191.08
0,6,1,0,0,153.60820,1478636548091.51,156.14160,1478636550624.17
0,6,1,0,2,156.04150,1478636550524.24,158.60840,1478636553091.41
0,6,1,0,7,158.47500,1478636552957.39,161.00850,1478636555491.25
0,6,1,0,5,160.94200,1478636555424.5,163.47550,1478636557957.73
0,6,0,0,2,163.40890,1478636557891.99,165.55710,1478636560057.88
0,6,1,0,5,165.84200,1478636560324.94,168.37570,1478636562858.04
0,5,0,1,0,168.20900,1478636562691.96,170.74230,1478636565227.79
0,5,1,0,6,173.20920,1478636569725.42,175.74260,1478636572258.83
