%Recollect Version 2.0. Scene/Level: nback2_inter, Game Number: 074
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,3,0.06732,1478809199669.43,1.39899,1478809200990.48
0,3,1,0,1,1.33240,1478809200924.36,3.86578,1478809203456.35
0,3,1,0,6,3.76581,1478809203357.41,6.29926,1478809205891.06
0,3,1,1,3,6.23285,1478809205826.43,7.78998,1478809207393.52
0,3,1,0,7,8.63294,1478809208224.47,11.19946,1478809210791.1
0,3,1,1,6,11.09955,1478809210691.93,13.34998,1478809212957.12
0,4,1,1,3,13.53320,1478809213124.91,15.32996,1478809214928.31
0,4,1,0,4,18.43347,1478809220058.47,20.96710,1478809222591.77
0,4,1,0,3,20.90021,1478809222524.85,23.43365,1478809225058.41
0,4,1,0,5,23.33362,1478809224958.69,25.86713,1478809227491.87
0,4,1,0,3,25.86713,1478809227494.98,28.40057,1478809230025.68
0,4,1,0,6,28.33429,1478809229959.09,30.86737,1478809232491.35
0,4,0,1,3,30.76740,1478809232391.36,33.30090,1478809234926.05
0,4,1,0,4,33.13422,1478809234758.99,35.66766,1478809237291.94
0,3,0,0,6,35.60114,1478809237226.16,37.58997,1478809239227.28
0,3,1,0,3,40.53461,1478809244192.3,43.10162,1478809246759.29
0,3,1,0,5,42.96851,1478809246625.94,45.50171,1478809249159.64
0,3,1,0,7,45.43494,1478809249092.95,47.96863,1478809251625.8
0,3,1,0,5,47.86859,1478809251525.92,50.40192,1478809254059.88
0,3,1,0,6,50.33521,1478809253993.27,52.86877,1478809256526.34
0,3,1,0,3,52.93567,1478809256593.64,55.50220,1478809259160.38
0,3,1,0,2,55.36896,1478809259026.27,57.90234,1478809261560.22
0,3,0,0,5,57.80267,1478809261460.87,59.68994,1478809263360.12
0,3,1,1,3,60.23572,1478809263893.82,61.84998,1478809265526.67
0,3,1,0,7,62.70288,1478809266361.11,65.23608,1478809268893.75
0,3,1,0,4,65.13611,1478809268793.91,67.70288,1478809271361.73
0,3,1,0,7,67.60291,1478809271261.18,70.13635,1478809273794.59
0,3,1,0,6,70.03638,1478809273694.53,72.56982,1478809276227.42
0,3,1,0,1,72.50323,1478809276161.4,75.03680,1478809278695.06
0,3,1,1,7,74.96997,1478809278627.68,76.76996,1478809280428.05
0,3,1,0,2,77.37012,1478809281028.17,79.90375,1478809283561.47
0,3,0,0,6,79.73688,1478809283395.58,81.98999,1478809285660.95
0,2,0,0,6,82.33704,1478809285994.94,83.92993,1478809287596.59
0,2,1,0,2,87.33740,1478809293029.13,89.83759,1478809295529.79
0,2,0,0,3,89.77148,1478809295462.78,91.60999,1478809297328.17
0,2,1,0,6,92.20435,1478809297895.49,94.73773,1478809300430.32
0,2,1,1,3,94.67126,1478809300362.68,96.24994,1478809301962
0,2,1,0,0,97.10480,1478809302795.51,99.63806,1478809305329.26
0,2,1,0,4,99.57141,1478809305262.84,102.10500,1478809307795.67
0,2,1,0,6,102.00490,1478809307695.56,104.53840,1478809310229.93
0,2,1,0,5,104.43850,1478809310130.05,106.97190,1478809312664.1
0,2,1,1,6,106.87180,1478809312563.69,108.36990,1478809314063.86
0,3,1,1,5,109.33880,1478809315030.4,111.05000,1478809316765.1
0,3,1,0,5,114.33920,1478809322063.82,116.87240,1478809324597.01
0,3,1,0,1,116.77240,1478809324497.08,119.30580,1478809327029.96
0,3,1,0,0,119.20580,1478809326930.15,121.73930,1478809329464.14
0,3,1,1,5,121.63980,1478809329364.77,123.35000,1478809331097.18
0,3,1,0,4,124.03950,1478809331764.14,126.57290,1478809334298.05
0,3,1,0,3,126.53960,1478809334264.28,129.07310,1478809336797.78
0,3,1,1,5,128.97320,1478809336698.05,130.68990,1478809338430.61
0,3,1,0,2,131.40660,1478809339130.79,133.94060,1478809341665.78
0,4,1,1,3,133.87340,1478809341598.13,135.79000,1478809343533.67
0,4,1,0,1,138.77450,1478809348531.43,141.34140,1478809351098.74
0,4,1,0,2,141.27500,1478809351032.19,143.84140,1478809353598.94
0,4,1,0,6,143.84140,1478809353598.76,146.37490,1478809356132.14
1,591.82760,11.25134,2,146.42990,1478809356199.28
0,4,1,0,5,146.27510,1478809356032.35,148.77530,1478809358533.1
0,4,1,0,2,148.70840,1478809358464.83,151.24210,1478809360999.28
0,4,0,1,2,151.14190,1478809360899.29,153.67530,1478809363433.27
0,4,1,0,5,153.57570,1478809363333.15,156.14220,1478809365899.89
0,4,1,1,5,156.04220,1478809365799.23,157.91000,1478809367699.09
0,4,1,0,3,158.47560,1478809368232.54,161.00910,1478809370765.48
0,4,1,1,2,160.94240,1478809370699.7,162.53000,1478809372299.71
0,4,1,0,0,163.37590,1478809373133.25,165.90940,1478809375666.02
0,4,1,0,6,165.84340,1478809375600.83,168.37620,1478809378133.5
0,4,1,0,5,168.17610,1478809377933.98,170.74320,1478809380500.7
0,5,1,1,2,170.77660,1478809380533.8,172.36990,1478809382135.5
