%Recollect Version 2.0. Scene/Level: nback0_advan, Game Number: 078
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,1,1.14981,1479234098773.85,3.68341,1479234101307.54
0,3,1,0,3,3.64995,1479234101274.09,6.18333,1479234103807.21
0,3,1,0,2,6.15009,1479234103773.81,8.68355,1479234106307.28
0,3,1,0,2,8.65028,1479234106274.23,11.18370,1479234108807.89
0,3,1,0,0,10.88394,1479234108507.67,13.41716,1479234111040.52
0,3,1,0,3,13.35049,1479234110974.96,15.95078,1479234113576.46
0,3,1,1,2,15.88396,1479234113507.82,17.50055,1479234115142.76
0,3,1,1,0,18.38405,1479234116008.65,20.02054,1479234117673.94
0,4,1,1,3,20.65106,1479234118275.46,22.22054,1479234119878.12
0,4,1,0,3,25.58464,1479234125242.11,28.15128,1479234127808.3
0,4,1,0,2,28.08469,1479234127741.82,30.65144,1479234130308.26
1,133.85680,2.93854,2,31.94054,1479234131608.34
0,4,1,0,1,30.58488,1479234130242.73,33.15157,1479234132808.98
0,4,1,0,0,33.08498,1479234132742.58,35.65169,1479234135309.41
0,4,1,0,1,35.35204,1479234135008.76,37.88518,1479234137542.39
0,4,1,1,2,37.85255,1479234137510.1,39.56055,1479234139241.77
0,4,0,1,1,40.35213,1479234140009.3,42.88562,1479234142543.65
0,3,0,1,0,42.85226,1479234142509.18,45.38562,1479234145045.22
0,3,1,0,1,47.55240,1479234149242.61,50.08588,1479234151776.35
0,3,1,0,1,50.05252,1479234151743.14,52.58603,1479234154277
0,3,1,0,2,52.55267,1479234154242.99,55.08615,1479234156776.24
0,3,1,0,0,55.05283,1479234156743.59,57.58646,1479234159277.21
0,3,1,0,0,57.55295,1479234159243.12,60.08630,1479234161775.87
0,3,0,0,1,59.78635,1479234161476.41,61.60056,1479234163309.73
0,3,1,0,3,62.28656,1479234163976.58,64.85330,1479234166543.46
0,3,1,1,0,64.78668,1479234166477.33,66.40054,1479234168110.01
0,3,1,1,1,67.28683,1479234168977.2,68.94055,1479234170644.2
0,4,1,1,3,69.55374,1479234171244.11,71.14053,1479234172845.94
0,4,1,0,2,74.52066,1479234178244.46,77.05392,1479234180777.26
0,4,1,0,3,77.02069,1479234180745.06,79.55414,1479234183277.66
0,4,1,0,2,79.52078,1479234183245.37,82.05426,1479234185777.83
0,4,1,0,1,82.02090,1479234185745.32,84.55435,1479234188278.12
0,4,1,0,0,84.28775,1479234188011.47,86.82135,1479234190545.08
0,4,0,0,2,86.78778,1479234190512.13,88.78055,1479234192512.24
0,4,1,0,1,89.28793,1479234193012.23,91.82166,1479234195545.66
0,4,1,0,3,91.78815,1479234195512.94,94.32162,1479234198045.99
0,3,0,1,0,94.02176,1479234197746.07,96.58841,1479234200314.73
0,3,1,0,0,98.92166,1479234204679.27,101.45510,1479234207211.87
0,3,1,0,3,101.42200,1479234207179.51,103.95530,1479234209712.23
0,3,1,0,2,103.92190,1479234209679.29,106.45560,1479234212212.28
0,3,1,0,3,106.42210,1479234212179.9,108.95560,1479234214712.51
0,3,1,0,1,108.78900,1479234214546.75,111.32240,1479234217080.08
0,3,1,0,1,111.28910,1479234217047.56,113.82260,1479234219580.25
0,3,1,1,3,113.78920,1479234219547.02,115.44060,1479234221212.95
0,3,1,1,1,116.28930,1479234222047.47,117.94060,1479234223713.11
0,4,1,1,1,118.78970,1479234224547.51,120.44060,1479234226214.85
0,4,1,0,3,123.52330,1479234231314.28,126.08990,1479234233881.02
0,4,1,0,0,126.02340,1479234233814.44,128.59000,1479234236381.17
0,4,1,0,2,128.52330,1479234236314.28,131.09040,1479234238881.33
0,4,1,0,0,130.79010,1479234238581.74,133.32360,1479234241114.76
0,4,1,0,1,133.22360,1479234241014.64,135.79040,1479234243581.88
0,4,1,1,0,135.72380,1479234243514.74,137.32050,1479234245114.8
0,4,1,1,2,138.22380,1479234246014.46,139.86050,1479234247681.11
0,4,1,0,3,140.72440,1479234248515.43,143.29080,1479234251081.92
0,4,1,0,2,143.22420,1479234251015.89,145.79100,1479234253582.18
0,4,1,0,1,145.49110,1479234253282.22,148.02480,1479234255816.15
0,4,1,0,3,147.99120,1479234255782.3,150.52460,1479234258316.1
0,4,1,0,0,150.49140,1479234258282.3,153.02470,1479234260815.96
0,5,1,1,2,152.99150,1479234260782.38,154.70050,1479234262518.07
0,5,1,0,3,157.69170,1479234267516.47,160.22520,1479234270049.51
0,5,1,0,1,160.19170,1479234270016.08,162.72540,1479234272549.7
0,5,1,0,0,162.69180,1479234272516.01,165.22530,1479234275049.5
0,5,1,0,2,165.19200,1479234275017,167.72610,1479234277550.86
0,5,1,0,1,167.69210,1479234277516.75,170.22570,1479234280050.47
0,5,1,0,0,169.95890,1479234279782.66,172.49230,1479234282316.78
0,5,1,1,1,172.45920,1479234282283.55,174.34050,1479234284183.71
0,5,1,0,3,174.95910,1479234284782.65,177.49300,1479234287317.01
0,5,1,1,2,177.45950,1479234287283.66,179.06050,1479234288916.72
0,6,1,1,1,179.69290,1479234289517.66,181.74050,1479234291585.28
