%Recollect Version 2.0. Scene/Level: nback1_inter, Game Number: 095
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,0,0.06076,1479320833883.7,1.71674,1479320835521.92
0,3,1,0,3,1.64999,1479320835454.87,4.18356,1479320837989.92
0,3,1,0,1,4.08374,1479320837890.12,6.61704,1479320840423.15
0,3,1,0,4,6.51700,1479320840322.96,9.08423,1479320842891.57
0,3,1,1,0,8.71716,1479320842523.45,10.57358,1479320844392.84
0,3,1,0,4,11.41730,1479320845223.04,13.95078,1479320847756.28
0,3,1,0,0,13.88419,1479320847690.15,16.41754,1479320850223.61
0,3,1,1,0,16.28433,1479320850090.73,17.91360,1479320851723.7
0,3,1,0,1,18.75104,1479320852556.66,21.28461,1479320855090.78
0,3,1,0,3,21.18451,1479320854990.87,23.71823,1479320857524.26
0,3,1,0,5,23.65167,1479320857457.17,26.18503,1479320859991.42
0,3,1,0,3,26.18503,1479320859991.22,28.71817,1479320862524.42
0,3,1,0,1,28.61826,1479320862424.62,31.18524,1479320864991.51
0,4,1,1,5,31.08505,1479320864891,32.77359,1479320866595.47
0,4,1,0,2,35.98535,1479320871825.11,38.51883,1479320874358.34
0,4,0,0,5,38.41898,1479320874258.63,40.13358,1479320875992.12
0,4,1,0,4,40.88565,1479320876725.02,43.41907,1479320879258.95
0,4,1,0,3,43.28577,1479320879125.19,45.81924,1479320881659.09
0,4,1,0,0,45.75259,1479320881591.39,48.28619,1479320884125.99
0,4,1,1,5,48.18607,1479320884025.98,49.89359,1479320885758.35
0,4,1,0,1,50.65286,1479320886491.93,53.18658,1479320889026.23
0,4,0,1,3,53.25323,1479320889092.19,55.78647,1479320891627.47
0,4,1,1,0,55.68661,1479320891526.24,57.79358,1479320893659.11
0,4,1,0,4,58.11993,1479320893959.34,60.65356,1479320896493.05
0,4,1,0,2,60.55365,1479320896393.37,63.08685,1479320898926.47
0,4,1,0,1,62.98688,1479320898826.74,65.52036,1479320901360.3
0,4,1,0,5,65.45367,1479320901293.27,67.95398,1479320903795.01
0,4,1,0,0,67.85382,1479320903693.53,70.42062,1479320906260.28
0,4,1,0,3,70.32062,1479320906160.43,72.82086,1479320908660.79
0,4,1,0,5,72.75433,1479320908594.03,75.28772,1479320911127.27
0,4,1,0,2,75.22092,1479320911060.5,77.75458,1479320913593.87
0,4,0,1,0,77.65448,1479320913493.82,80.18784,1479320916027.09
0,4,1,1,3,80.15451,1479320915994.87,81.73358,1479320917593.6
1,338.40910,8.68633,2,83.07358,1479320918926.47
0,4,1,0,4,82.58798,1479320918427.17,85.12143,1479320920961.21
0,4,1,0,1,85.02151,1479320920861.72,87.55511,1479320923395.91
0,4,1,0,2,87.65500,1479320923494.48,90.18842,1479320926027.25
0,4,1,1,3,90.12189,1479320925962.04,91.67358,1479320927527.43
0,4,1,0,1,92.52219,1479320928361.58,95.05533,1479320930894.73
0,4,1,0,0,94.98883,1479320930827.86,97.52246,1479320933361.87
0,4,1,0,5,97.42215,1479320933261.79,99.95581,1479320935796.3
0,5,1,1,3,99.85574,1479320935695.71,102.15360,1479320937998.26
1,416.31880,5.12737,1,102.55360,1479320940428.37
0,5,1,0,0,104.75620,1479320942628.92,107.25690,1479320945129.51
0,5,1,0,3,107.18950,1479320945061.4,109.72300,1479320947595.8
0,5,1,0,5,109.65630,1479320947529.33,112.19000,1479320950062.21
0,5,1,0,0,112.08980,1479320949961.88,114.62330,1479320952496.05
0,5,1,0,1,114.62330,1479320952495.8,117.15670,1479320955029.9
0,5,1,0,4,117.09020,1479320954962.16,119.62350,1479320957496.17
0,5,1,0,2,119.52370,1479320957397.1,122.05700,1479320959929.8
0,5,0,1,5,121.95700,1479320959829.88,124.52380,1479320962397.02
0,4,0,0,3,124.42380,1479320962296.51,126.19360,1479320964099.02
0,4,1,0,5,129.32430,1479320969231.11,131.85760,1479320971763.55
0,4,1,0,5,131.72450,1479320971631.56,134.25780,1479320974163.81
0,4,1,0,0,134.19130,1479320974097.26,136.72460,1479320976632.48
0,4,1,0,3,136.62470,1479320976531,139.15810,1479320979063.97
0,4,1,0,1,139.09160,1479320978996.9,141.62520,1479320981531.73
0,4,1,0,2,141.72510,1479320981631.22,144.25840,1479320984164.5
0,4,0,0,4,144.12500,1479320984031.15,145.73360,1479320985663.88
0,3,0,1,3,146.55890,1479320986464.84,149.09190,1479320988999.82
0,3,1,0,3,151.45880,1479320993399.25,153.99220,1479320995932.59
0,3,1,0,5,153.89210,1479320995830.84,156.42580,1479320998365.16
0,3,1,0,0,156.32560,1479320998265.09,158.85910,1479321000798.77
0,3,1,0,4,158.75930,1479321000698.9,161.29260,1479321003231.22
0,3,1,1,5,161.22590,1479321003165.25,162.93360,1479321004899.45
0,3,1,0,1,163.65940,1479321005599.09,166.22620,1479321008165.95
0,3,1,0,5,166.12630,1479321008066.03,168.65960,1479321010599.48
0,3,1,1,5,168.62650,1479321010566.61,170.43360,1479321012398.76
0,4,1,1,1,171.05980,1479321012999.48,172.69360,1479321014667.37
