%Recollect Version 2.0. Scene/Level: nback1_advan, Game Number: 125
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,0,0.07635,1479513346523.25,1.70001,1479513348127.5
0,3,1,0,5,1.60022,1479513348028.18,4.16681,1479513350594.1
0,3,1,0,0,4.06702,1479513350493.98,6.56696,1479513352994.05
0,3,1,0,5,6.50031,1479513352928.23,9.03375,1479513355460.58
0,3,1,1,5,8.93378,1479513355360.28,10.63654,1479513357096.8
0,3,1,0,1,11.36725,1479513357794.65,13.90070,1479513360328.02
0,3,1,0,4,13.83405,1479513360261.37,16.36755,1479513362795.59
0,3,1,0,1,16.26752,1479513362694.79,18.76764,1479513365194.93
0,3,1,1,1,18.70099,1479513365128.17,20.33655,1479513366794.44
0,3,0,0,5,21.16803,1479513367595.86,22.85657,1479513369295.35
0,3,1,0,3,23.46808,1479513369895.81,26.16809,1479513372595.53
0,3,1,0,3,26.16809,1479513372595.3,28.70160,1479513375128.94
0,3,1,0,0,28.60156,1479513375029.04,31.16833,1479513377596.49
0,3,1,0,1,31.06836,1479513377496.02,33.60181,1479513380030.16
0,3,1,0,1,33.50183,1479513379929.1,36.03528,1479513382461.92
0,3,1,0,4,35.93536,1479513382362.14,38.46875,1479513384896.47
0,3,1,0,0,38.40210,1479513384829.76,40.90228,1479513387329.95
0,3,1,1,1,40.83557,1479513387262.21,42.45654,1479513388896.56
0,3,1,1,4,43.23572,1479513389662.49,44.85657,1479513391296.6
0,3,1,0,5,45.70270,1479513392129.85,48.26929,1479513394696.52
0,4,1,1,1,48.16931,1479513394597.1,49.81653,1479513396266.99
0,4,0,0,1,53.23608,1479513401696.14,55.45654,1479513403930.6
0,4,1,0,1,55.66943,1479513404130.44,58.20282,1479513406663.83
0,4,1,0,0,58.10291,1479513406564.55,60.63635,1479513409096.87
0,4,1,0,3,60.56970,1479513409031.44,63.10388,1479513411565.14
0,4,1,0,2,63.00317,1479513411464.7,65.53699,1479513413998.12
0,4,1,0,3,65.43665,1479513413898.11,67.97015,1479513416430.62
0,4,1,0,2,67.90387,1479513416364.91,70.40375,1479513418865.58
0,4,1,0,0,70.30359,1479513418764.89,72.83704,1479513421298.3
0,4,1,0,1,72.77039,1479513421230.68,75.30383,1479513423765.18
0,4,1,0,0,75.20410,1479513423666.41,77.73730,1479513426198.6
0,4,1,0,1,77.67065,1479513426131.15,80.20422,1479513428665.89
0,4,1,0,5,80.13751,1479513428599.14,82.70428,1479513431165.62
0,4,1,1,1,82.60425,1479513431065.56,84.43652,1479513432898.89
0,4,0,0,3,85.03784,1479513433498.81,86.61658,1479513435098.32
0,4,1,0,4,87.63788,1479513436099.11,90.20490,1479513438666.36
0,4,1,0,0,90.10468,1479513438566.66,92.63806,1479513441099.39
0,4,1,0,2,92.53821,1479513440999.58,95.07184,1479513443532.27
0,4,1,0,4,95.00500,1479513443466.03,97.53845,1479513445999.58
0,4,1,0,0,97.43842,1479513445899.61,99.97198,1479513448432.3
0,4,1,1,0,99.90521,1479513448366.2,101.47660,1479513449966
0,4,1,0,1,102.33880,1479513450800.99,104.87230,1479513453332.49
0,4,1,0,3,104.73880,1479513453200.39,107.30580,1479513455766.66
0,4,0,0,4,107.20570,1479513455666.7,108.83650,1479513457301.93
0,4,1,0,5,109.67250,1479513458133.21,112.20600,1479513460667.22
0,4,1,0,2,112.10610,1479513460567.87,114.63960,1479513463100.69
0,3,0,1,3,114.63960,1479513463103.67,117.20620,1479513465670.19
0,3,1,0,4,119.53970,1479513470029.52,122.10650,1479513472585.57
0,3,1,0,4,122.00680,1479513472486.02,124.54010,1479513475017.49
0,3,1,0,0,124.24010,1479513474718.2,126.97340,1479513477450.4
0,3,1,0,5,126.90690,1479513477384.78,129.44020,1479513479918.07
0,3,1,1,4,129.34030,1479513479818.02,131.47660,1479513481985.26
0,3,1,0,2,131.77370,1479513482250.46,134.30720,1479513484784.64
0,3,1,1,5,134.20730,1479513484684.74,136.05650,1479513486550.92
0,3,1,0,2,136.67400,1479513487150.52,139.20750,1479513489684.75
0,3,1,0,0,139.10750,1479513489584.89,141.64090,1479513492118.28
0,3,1,0,2,141.74090,1479513492218.12,144.27440,1479513494751.23
0,4,1,1,2,144.14110,1479513494618.91,145.75650,1479513496253.2
0,4,1,0,5,149.04120,1479513501552.03,151.57560,1479513504085.72
0,4,1,0,1,151.47470,1479513503984.97,154.00820,1479513506519.16
0,4,1,0,4,153.94150,1479513506452.58,156.44170,1479513508953.43
0,4,1,0,3,156.37520,1479513508885.52,158.90850,1479513511419.86
0,4,1,0,1,158.80850,1479513511319.38,161.34200,1479513513853.47
0,4,1,1,1,161.24190,1479513513752.53,162.89650,1479513515420.43
0,4,0,0,0,163.70870,1479513516219.56,166.05650,1479513518586.09
0,3,0,1,3,166.14240,1479513518653.15,168.70900,1479513521222
0,3,1,0,4,171.10910,1479513525653.28,173.64250,1479513528186.9
0,3,1,0,3,173.54250,1479513528086.95,176.07600,1479513530619.58
