%Recollect Version 2.0. Scene/Level: nback1_inter, Game Number: 174
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,5,0.07251,1478809039510.58,1.73334,1478809041149.6
0,3,1,0,1,1.63336,1478809041050.34,4.16693,1478809043582.82
0,3,1,0,0,4.06738,1478809043483.63,6.60034,1478809046016.1
0,3,1,1,5,6.53369,1478809045949.34,8.22620,1478809047652.6
0,3,1,0,2,8.96759,1478809048383.38,11.50055,1478809050915.38
0,3,1,0,4,11.43396,1478809050849.24,13.93408,1478809053349.59
0,3,1,0,2,13.80072,1478809053215.5,16.40082,1478809055815.51
0,3,1,0,0,16.26752,1478809055683.28,18.80103,1478809058216.08
0,3,1,0,5,18.73431,1478809058149.93,21.26782,1478809060683.6
0,3,1,0,4,21.16772,1478809060583.61,23.70795,1478809063123.9
0,3,1,0,5,23.63446,1478809063050.25,26.16815,1478809065584.01
0,3,0,0,4,26.16815,1478809065583.81,28.02618,1478809067450.97
0,3,1,0,3,28.63501,1478809068050.71,31.16833,1478809070584.14
0,3,1,0,2,31.06836,1478809070483.85,33.60187,1478809073017
0,3,1,0,0,33.53528,1478809072951.88,36.06866,1478809075485.09
0,3,1,0,5,35.96863,1478809075385.01,38.50208,1478809077916.86
0,2,0,0,4,38.40210,1478809077817.03,40.14618,1478809079587.72
