%Recollect Version 2.0. Scene/Level: nback1_inter, Game Number: 196
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,2,0.05066,1479239821575.91,1.71668,1479239823218.14
0,3,1,0,2,1.64996,1479239823152.59,4.18347,1479239825685.85
0,3,1,0,4,4.08344,1479239825585.24,6.61694,1479239828118.33
0,3,1,1,2,6.51691,1479239828018.23,8.14160,1479239829655.04
0,3,1,0,4,8.95050,1479239830452.44,11.48383,1479239832985.79
0,3,1,0,3,11.41736,1479239832918.74,13.95068,1479239835452.93
0,3,1,0,1,13.85071,1479239835352.36,16.38422,1479239837886.08
0,3,1,1,4,16.28418,1479239837786.3,17.88159,1479239839386.32
0,3,1,0,0,18.75092,1479239840252.85,21.28442,1479239842788.05
0,3,1,0,4,21.18439,1479239842686.52,23.71790,1479239845220.2
0,4,1,1,4,23.65118,1479239845153.52,25.26160,1479239846791.53
0,4,1,0,0,28.62573,1479239854840.76,31.19244,1479239857403.96
0,4,1,0,0,31.09241,1479239857303.75,33.62592,1479239859837.87
0,4,0,0,4,33.52588,1479239859738.45,35.50159,1479239861737.32
0,4,1,0,2,35.95947,1479239862170.13,38.49286,1479239864704.48
0,4,1,1,0,38.39288,1479239864604.34,39.98157,1479239866204.44
0,4,1,0,3,40.82623,1479239867037.74,43.39319,1479239869604.98
0,4,1,0,0,43.29315,1479239869505.06,45.82660,1479239872037.89
0,4,1,0,1,45.72705,1479239871938.47,48.26007,1479239874471.32
0,4,1,0,4,48.16376,1479239874380.28,50.72693,1479239876938.61
0,4,1,0,2,50.62689,1479239876839,53.16022,1479239879371.07
0,4,1,1,0,53.22699,1479239879438.73,54.82159,1479239881038.64
0,4,1,0,2,55.66052,1479239881871.8,58.19397,1479239884405.65
0,4,1,0,5,58.09424,1479239884305.66,60.62738,1479239886838.74
0,4,0,0,0,60.52747,1479239886739.54,62.12158,1479239888339.23
0,4,1,0,5,62.96179,1479239889173.05,65.49438,1479239891706.02
0,4,1,1,2,65.42773,1479239891639.29,67.02161,1479239893239.26
0,4,1,1,5,67.86115,1479239894072.33,69.56158,1479239895808.79
0,4,0,1,0,70.29486,1479239896507,72.82813,1479239899040.3
0,4,1,0,4,72.72809,1479239898939.91,75.29504,1479239901506.69
0,4,1,0,1,75.19495,1479239901405.54,77.72839,1479239903939.81
0,4,1,0,3,77.62836,1479239903839.73,80.16193,1479239906373.99
0,4,1,0,1,80.12854,1479239906339.94,82.66211,1479239908873.5
0,4,1,0,2,82.56201,1479239908773.7,85.12885,1479239911340.19
0,4,1,0,0,85.02887,1479239911240.72,87.56226,1479239913773.65
0,3,0,1,3,87.62897,1479239913840.38,90.16241,1479239916376.64
0,3,1,0,0,92.52917,1479239920773.77,95.06274,1479239923307.96
0,3,1,0,1,94.96265,1479239923207.78,97.52948,1479239925774.35
0,3,1,0,2,97.42950,1479239925674.25,99.96289,1479239928208.27
0,3,1,0,3,99.86328,1479239928108.7,102.39640,1479239930641.03
0,3,1,0,0,102.32980,1479239930574.59,104.86390,1479239952925.89
0,3,0,1,2,104.73060,1479239952794.28,107.26400,1479239955326.28
0,3,1,0,1,107.19760,1479239955258.66,109.73250,1479239957795.28
0,3,1,0,4,109.63110,1479239957694.47,112.16440,1479239960226.58
0,3,1,0,0,112.09780,1479239960159.06,114.63130,1479239962694.64
0,3,1,1,1,114.63130,1479239962694.39,116.28160,1479239964359.95
0,3,1,1,4,117.09800,1479239965159.17,118.70160,1479239966792.7
0,3,1,0,1,119.53150,1479239967593.6,122.06490,1479239970126.69
0,4,1,1,1,121.96490,1479239970027.38,123.64160,1479239971729.03
0,4,0,0,4,126.86520,1479239976961.19,128.48160,1479239978593.24
0,4,1,0,4,129.33200,1479239979427.39,131.86550,1479239981960.76
0,4,1,0,1,131.73210,1479239981827.22,134.26550,1479239984360.6
0,4,1,0,0,134.19890,1479239984293.45,136.73250,1479239986828.7
0,4,1,0,3,136.66560,1479239986762.26,139.19920,1479239989293.72
0,3,0,1,4,139.13260,1479239989228.56,141.63260,1479239991730.67
0,3,1,0,1,144.13280,1479239996261.51,146.66610,1479239998795.2
0,3,1,0,4,146.56620,1479239998695.38,149.13310,1479240001261.87
0,3,1,0,3,149.03300,1479240001161.98,151.56670,1479240003695.61
0,3,1,0,2,151.46670,1479240003595.36,154.03330,1479240006162.17
0,3,1,1,4,153.93340,1479240006063,155.60160,1479240007761.73
0,3,1,0,1,156.36680,1479240008495.48,158.90030,1479240011028.57
1,645.65280,10.19456,2,159.88160,1479240012027.96
0,3,1,0,4,158.80030,1479240010928.36,161.33370,1479240013462.53
0,3,1,1,4,161.26700,1479240013395.9,162.88160,1479240015028.7
0,3,0,0,3,163.70050,1479240015828.71,165.32160,1479240017463.31
0,3,1,0,1,166.16740,1479240018296.53,168.70100,1479240020829.16
0,3,1,1,4,168.63420,1479240020763.32,170.26160,1479240022396.38
0,3,1,0,2,171.10100,1479240023229.43,173.63450,1479240025763.04
0,3,1,1,1,173.53440,1479240025662.85,175.18160,1479240027329.4
