%Recollect Version 2.0. Scene/Level: span0_intro, Game Number: 016
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,4,1,0,0,0.06451,1477693329723.57,1.41705,1477693331065.66
0,4,1,0,0,1.35053,1477693330998.97,3.88336,1477693333531.83
0,4,1,0,2,3.78345,1477693333432.99,6.31683,1477693335964.77
0,4,1,0,1,6.21680,1477693335864.74,8.75031,1477693338398.84
0,4,1,1,0,8.65027,1477693338298.77,10.36328,1477693340034.44
0,4,1,0,4,11.08374,1477693340732.16,13.65070,1477693343299.11
0,4,1,0,1,13.55054,1477693343199.21,16.08405,1477693345732.46
0,4,1,0,2,15.98401,1477693345632.23,18.51752,1477693348165.54
0,4,1,1,0,18.45081,1477693348098.97,20.24329,1477693349899.38
0,4,0,0,1,20.88428,1477693350533.01,22.56329,1477693352232.54
0,4,1,1,1,23.35095,1477693352999.1,25.00330,1477693354665.86
0,4,1,0,3,25.88452,1477693355532.88,28.41803,1477693358066.09
0,4,0,1,0,28.35138,1477693357999.61,30.88489,1477693360533.63
0,4,1,0,3,30.78497,1477693360433.21,33.31842,1477693362966.36
0,3,0,0,4,33.15167,1477693362800.05,34.80328,1477693364469.35
0,3,1,0,2,38.11859,1477693369799.83,40.65204,1477693372334.42
0,3,1,0,3,40.55194,1477693372233.46,43.08582,1477693374767.39
0,3,1,0,2,42.98547,1477693374667.15,45.51898,1477693377200.37
0,3,1,0,3,45.45233,1477693377134.06,47.98615,1477693379667.85
0,3,1,1,3,47.88574,1477693379567.34,49.62329,1477693381334.27
0,3,1,1,2,50.35254,1477693382034.26,52.00330,1477693383700.71
0,3,1,0,1,52.95270,1477693384634.15,55.48615,1477693387167.67
0,3,1,0,4,55.38617,1477693387067.92,57.91968,1477693389600.84
0,3,1,0,0,57.81970,1477693389501.6,60.35321,1477693392036.15
0,3,0,1,1,60.25317,1477693391934.83,62.78680,1477693394469.01
0,3,1,0,3,62.68671,1477693394368.12,65.25342,1477693396935.23
0,3,1,0,4,65.15399,1477693396835.57,67.68701,1477693399368.6
0,3,1,0,2,67.58691,1477693399268.5,70.15375,1477693401835.33
0,3,1,1,3,70.05365,1477693401735.18,72.14331,1477693403835.67
0,3,0,0,1,72.48706,1477693404168.73,74.44330,1477693406135.64
0,2,0,0,3,74.98730,1477693406669.04,76.64331,1477693408336.56
0,2,1,0,0,79.75427,1477693413469.12,82.28766,1477693416002.47
0,2,1,0,0,82.32111,1477693416035.62,84.85461,1477693418569.67
0,2,1,0,1,84.75452,1477693418469.48,87.28796,1477693421003.13
0,2,1,0,4,87.32135,1477693421036.07,89.85486,1477693423570.05
0,2,1,1,1,89.78815,1477693423503.16,91.44330,1477693425170.48
0,2,1,0,0,92.22174,1477693425936.56,94.75525,1477693428470.48
0,2,1,0,3,94.65527,1477693428370.51,97.18860,1477693430904.43
0,2,1,1,0,97.08844,1477693430803.63,98.82330,1477693432571.28
0,2,1,0,2,99.55542,1477693433270.57,102.08890,1477693435804.25
0,2,1,0,3,101.98990,1477693435705.42,104.55570,1477693438270.86
0,3,1,1,2,104.42240,1477693438137.28,106.08330,1477693439807.48
0,3,1,0,2,109.32250,1477693445071.39,111.85600,1477693447604.86
0,3,1,0,1,111.78930,1477693447538,114.32290,1477693450071.36
0,3,1,0,3,114.32290,1477693450071.19,116.85630,1477693452605.1
0,3,1,0,4,116.75620,1477693452505.18,119.28970,1477693455038.51
0,3,1,0,2,119.18960,1477693454938.54,121.72320,1477693457471.61
0,3,1,1,3,121.62320,1477693457371.54,123.50330,1477693459272.13
0,3,1,0,0,124.02350,1477693459772.19,126.52340,1477693462272.36
0,3,1,0,0,126.52340,1477693462272.17,129.02360,1477693464772.11
0,3,1,0,4,128.95700,1477693464705.27,131.49040,1477693467239.04
0,3,1,0,2,131.39040,1477693467138.96,133.92380,1477693469672.47
0,3,1,0,4,133.82390,1477693469572.26,136.39060,1477693472139.13
0,3,1,1,4,136.29660,1477693472045.12,137.96330,1477693473739.32
0,3,1,0,1,138.72410,1477693474472.54,141.29110,1477693477039.59
1,577.78090,0.89192,2,142.88330,1477693478639.33
0,3,1,0,3,141.25770,1477693477005.78,143.79110,1477693479539.73
0,3,1,0,1,143.79110,1477693479541.99,146.32460,1477693482073.28
0,3,1,0,4,146.22450,1477693481973.74,148.75820,1477693484506.32
0,3,1,0,1,148.69140,1477693484439.89,151.22490,1477693486973.53
0,3,1,0,4,151.12480,1477693486873.54,153.62490,1477693489373.72
0,4,1,1,4,153.55850,1477693489306.67,155.22330,1477693490975.93
0,4,1,0,1,158.42520,1477693496207.1,160.92640,1477693498708.55
0,4,1,0,2,160.89200,1477693498673.97,163.39220,1477693501174.17
0,4,1,0,0,163.32560,1477693501107.58,165.85890,1477693503640.85
0,4,1,0,0,165.79220,1477693503574.36,168.29240,1477693506074.57
0,4,1,0,2,168.12570,1477693505907.89,170.69240,1477693508474.69
0,4,1,0,0,170.72630,1477693508508.76,173.25950,1477693511041.33
0,4,1,0,3,173.15930,1477693510941.01,175.69270,1477693513474.97
