%Recollect Version 2.0. Scene/Level: span0_inter, Game Number: 020
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,2,1,0,4,0.06812,1477694107302.24,1.43286,1477694108653.41
0,2,1,0,3,1.33276,1477694108553.5,3.86633,1477694111087.02
0,2,1,0,1,3.76624,1477694110986.72,6.33301,1477694113553.69
0,2,0,1,4,6.23303,1477694113454.53,8.76660,1477694115990
0,2,1,0,0,8.66650,1477694115887.41,11.20007,1477694118420.4
0,2,1,1,4,11.13330,1477694118354.27,13.10571,1477694120353.34
0,2,1,0,1,13.56677,1477694120788.13,16.10022,1477694123320.27
0,2,0,0,3,15.96692,1477694123187.22,17.64563,1477694124888.07
0,2,1,1,1,18.43384,1477694125654.48,20.10571,1477694127353.65
0,2,1,1,3,20.90063,1477694128120.8,22.56567,1477694129788.5
0,2,1,0,0,23.33398,1477694130554.24,25.86743,1477694133088
0,2,1,0,4,25.86743,1477694133089.98,28.43433,1477694135655.04
0,2,1,0,1,28.33423,1477694135555.11,30.86780,1477694138089.25
0,2,1,0,3,30.76819,1477694137988.77,33.33459,1477694140555.11
0,3,1,1,1,33.13464,1477694140355.07,34.80566,1477694142057.83
1,147.25750,0.69090,2,35.30566,1477694144587.68
0,3,1,0,4,38.13489,1477694147388.88,40.66858,1477694149922.46
0,3,1,0,4,40.56836,1477694149822.31,43.10193,1477694152355.06
0,3,1,0,1,42.96863,1477694152222.85,45.53528,1477694154788.92
0,3,1,1,4,45.43530,1477694154689.34,47.10571,1477694156388.79
0,3,1,0,2,47.90210,1477694157155.03,50.43591,1477694159689.64
0,3,1,1,1,50.33557,1477694159589.74,52.00562,1477694161289.48
0,4,1,1,4,52.96924,1477694162223.28,54.66565,1477694163923.93
1,239.49740,10.06495,1,58.36572,1477694169659.25
0,4,1,0,2,57.83569,1477694169123.22,60.36914,1477694171656.74
0,4,1,0,2,60.26917,1477694171556.65,62.83594,1477694174123.26
0,4,1,0,1,62.73596,1477694174023.79,65.26953,1477694176557.57
0,4,1,0,2,65.16956,1477694176456.73,67.70337,1477694178990.15
0,4,1,1,2,67.63623,1477694178924.4,69.28564,1477694180590.64
0,4,1,0,1,70.03638,1477694181324.06,72.57043,1477694183858.02
0,4,1,1,1,72.50317,1477694183789.94,74.16565,1477694185457.62
0,5,1,1,2,75.00366,1477694186291.24,76.80566,1477694188124.87
0,5,1,0,0,79.77063,1477694193091.51,82.30383,1477694195624.13
0,5,1,0,4,82.33716,1477694195657.79,84.87061,1477694198191.64
0,5,1,0,3,84.77393,1477694198094.6,87.30457,1477694200625.1
0,5,1,0,2,87.33752,1477694200658.74,89.87097,1477694203191.86
0,5,1,0,3,89.77100,1477694203091.95,92.33887,1477694205660.11
0,5,1,1,0,92.23767,1477694205558.73,93.94568,1477694207292.09
0,5,1,1,4,94.67126,1477694207993.21,96.34570,1477694209691.62
0,6,1,1,3,97.13806,1477694210459.18,98.78564,1477694212126.47
0,6,1,0,1,102.03150,1477694217393.12,104.56490,1477694219925.56
0,6,0,0,4,104.43150,1477694219792.74,106.10570,1477694221492.02
0,6,1,0,0,106.89870,1477694222259.87,109.43190,1477694224793.18
0,6,1,0,4,109.36600,1477694224727.56,111.89950,1477694227261.3
0,6,1,0,3,111.79870,1477694227160.54,114.33220,1477694229693.44
0,6,1,0,4,114.33220,1477694229695.21,116.86630,1477694232227.82
0,6,1,0,0,116.79930,1477694232160.94,119.33250,1477694234694.07
0,6,1,0,2,119.23240,1477694234593.81,121.73250,1477694237093.87
0,6,1,1,0,121.63260,1477694236993.71,123.36570,1477694238727.34
0,6,1,1,4,124.03270,1477694239394.1,125.70570,1477694241093.7
0,7,1,1,3,126.53280,1477694241894.51,128.20570,1477694243594.9
0,7,1,0,0,131.39990,1477694248793.91,133.93350,1477694251328.29
0,7,1,0,3,133.86670,1477694251260.98,136.40040,1477694253794.71
0,7,1,0,4,136.33350,1477694253727.86,138.83370,1477694256229.28
0,7,1,0,3,138.76700,1477694256161.19,141.30040,1477694258694.52
0,7,1,0,4,141.26710,1477694258661.49,143.80050,1477694261194.47
0,7,1,0,1,143.80050,1477694261194.29,146.33410,1477694263728.5
0,7,1,0,3,146.23410,1477694263628.32,148.76750,1477694266162.14
0,7,0,1,0,148.70080,1477694266094.91,151.23550,1477694268631.25
0,7,1,0,1,151.13430,1477694268528.7,153.66780,1477694271062.93
0,7,1,0,2,153.56770,1477694270962.84,156.13450,1477694273529.03
0,7,1,0,2,156.03450,1477694273428.95,158.56800,1477694275962.51
0,6,0,1,4,158.43480,1477694275829.19,160.96810,1477694278364.12
0,6,1,0,3,163.36830,1477694282796.3,165.90420,1477694285331.54
0,6,1,0,2,165.80180,1477694285229.46,168.33520,1477694287763.1
0,6,1,0,3,168.16880,1477694287596.87,170.70200,1477694290129.16
0,6,1,0,4,170.73540,1477694290163.14,173.26890,1477694292696.79
0,6,1,0,1,173.16910,1477694292596.78,175.73570,1477694295163.34
