%Recollect Version 2.0. Scene/Level: nback2_advan, Game Number: 063
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,3,0,1,4,0.06653,1478299544821.11,1.39996,1478299546149.67
0,2,0,0,1,1.33344,1478299546080.95,2.99017,1478299549414.32
0,2,1,0,4,6.20654,1478299554639.74,8.74097,1478299557164.48
0,2,1,0,2,8.64008,1478299557064.41,11.17352,1478299559587.65
0,2,1,0,1,11.10687,1478299559520.03,13.64056,1478299562053.12
0,2,1,0,3,13.54034,1478299561952.74,16.07379,1478299564486.17
1,73.81003,5.11942,2,16.93018,1478299565354.83
0,2,1,0,4,15.97394,1478299564385.74,18.50745,1478299566918.61
0,2,1,0,0,18.44061,1478299566852.51,20.97406,1478299569386.5
0,2,1,0,2,20.87415,1478299569285.72,23.44086,1478299571852.4
0,2,1,0,3,23.34106,1478299571752.73,25.87469,1478299574286.99
1,113.72360,9.10083,1,26.91016,1478299575351.4
0,2,1,0,1,25.87469,1478299574286.51,28.40784,1478299576819
0,2,1,0,2,28.34113,1478299576752.87,30.87476,1478299579286.51
0,2,1,0,3,30.77472,1478299579186.96,33.30847,1478299581720.3
0,2,1,0,1,33.14142,1478299581553.07,35.67493,1478299584086.3
0,2,1,0,0,35.60834,1478299584019.07,38.14160,1478299586553.26
0,2,1,0,2,38.10846,1478299586519.66,40.64185,1478299589053.81
0,2,1,1,0,40.54187,1478299588953.4,42.29016,1478299590719.42
0,2,1,0,3,42.97565,1478299591387.25,45.50879,1478299593919.82
0,2,0,1,0,45.44208,1478299593853.84,47.97583,1478299596388.36
0,2,1,0,2,47.87561,1478299596287.27,50.40924,1478299598821.14
0,2,1,0,3,50.34241,1478299598754.63,52.87585,1478299601287.99
0,2,1,0,4,52.94257,1478299601354.24,55.47656,1478299603888.11
0,2,1,0,2,55.37604,1478299603787.41,57.90967,1478299606320.27
0,2,1,1,4,57.80957,1478299606220.39,59.47015,1478299607888.39
0,2,1,0,3,60.27667,1478299608688.99,62.80975,1478299611220.74
0,2,1,1,4,62.70984,1478299611120.77,64.41016,1478299612854.04
0,2,1,0,1,65.14325,1478299613554.91,67.67761,1478299616089.46
0,2,1,0,1,67.57672,1478299615988.31,70.14386,1478299618554.83
0,2,1,0,3,70.01019,1478299618421.93,72.57697,1478299620989.29
0,2,1,0,4,72.47699,1478299620888.64,75.01056,1478299623422.63
0,2,1,0,1,74.97723,1478299623388.78,77.51056,1478299625922.04
0,2,1,0,0,77.37750,1478299625789.09,79.91089,1478299628323.05
1,331.24450,1.33886,-2,81.29016,1478299629721.42
0,2,0,1,1,79.74426,1478299628155.28,82.27753,1478299630689.61
