%Recollect Version 2.0. Scene/Level: nback0_intro, Game Number: 006
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,1,1,0,1,1.13324,1477527964170.61,3.66681,1477527966704.63
0,1,1,0,0,3.63336,1477527966670.58,6.16681,1477527969204.69
0,1,1,0,4,6.13355,1477527969170.79,8.66693,1477527971705.29
0,1,1,0,1,8.63367,1477527971670.95,11.16705,1477527974204.69
0,1,1,0,4,10.90045,1477527973938.04,13.43390,1477527976471.73
0,1,1,0,1,13.40063,1477527976438.15,15.93402,1477527978971.38
0,1,1,0,0,15.90070,1477527978938.26,18.43420,1477527981471.63
0,1,1,0,3,18.40088,1477527981439.08,20.93433,1477527983971.62
0,1,1,1,3,20.63428,1477527983671.37,22.71613,1477527985774.36
0,1,1,1,3,23.10107,1477527986138.53,24.95612,1477527988005.58
0,1,1,0,4,25.60132,1477527988640.55,28.16809,1477527991205.76
0,1,1,0,3,28.10144,1477527991138.78,30.66827,1477527993706.43
0,1,1,0,1,30.60150,1477527993638.97,33.16840,1477527996206.01
0,1,1,0,0,33.10162,1477527996138.99,35.66846,1477527998705.99
0,2,1,1,0,35.36847,1477527998405.95,37.07611,1477528000142.26
0,2,0,0,2,40.36865,1477528005439.3,42.03607,1477528007139.36
0,2,1,0,1,42.86877,1477528007939.72,45.40308,1477528010474.12
0,2,1,1,2,45.10229,1477528010173.8,46.77612,1477528011873.2
0,2,1,1,1,47.56903,1477528012639.95,49.23608,1477528014339.96
0,3,1,1,2,50.06915,1477528015140,51.73608,1477528016842.19
0,3,1,0,4,55.06970,1477528022174.39,57.60303,1477528024707.2
0,3,1,0,0,57.53638,1477528024641.05,60.10327,1477528027207.44
0,3,1,0,3,59.80328,1477528026907.61,62.33667,1477528029442.17
0,3,0,1,4,62.30359,1477528029407.75,64.83673,1477528031941.75
0,3,1,0,2,64.80347,1477528031908.03,67.33685,1477528034441.34
0,2,0,0,4,67.30359,1477528034408.38,69.01611,1477528036142.05
0,2,1,0,0,72.03705,1477528041174.74,74.57056,1477528043708.04
0,2,1,0,4,74.53729,1477528043675.26,77.07068,1477528046208.17
0,2,1,0,3,77.03741,1477528046176.1,79.57080,1477528048708.43
0,2,1,1,4,79.53766,1477528048675.71,81.19611,1477528050342.42
0,2,1,0,1,82.03772,1477528051176.36,84.57123,1477528053708.93
0,2,0,0,1,84.30457,1477528053442.42,85.95612,1477528055109.05
0,1,0,0,3,86.80463,1477528055942.33,88.45612,1477528057610.36
0,1,1,0,2,91.80548,1477528062976.04,94.33899,1477528065509.6
0,1,1,1,2,94.04059,1477528065211.37,95.69611,1477528066876.74
0,1,1,0,1,96.67273,1477528067842.88,99.20679,1477528070377.38
0,1,1,1,1,98.90607,1477528070076.59,100.57610,1477528071776.6
0,1,1,0,0,101.40610,1477528072576.62,103.93950,1477528075110.13
0,1,1,0,1,103.90620,1477528075076.56,106.43960,1477528077610.23
0,1,0,0,0,106.40640,1477528077577.05,108.13610,1477528079310.71
0,1,1,1,0,108.80640,1477528079976.89,110.51610,1477528081710.29
0,1,1,0,1,111.30660,1477528082477.22,113.84010,1477528085011.28
0,1,1,0,3,113.80680,1477528084977.34,116.34020,1477528087510.91
0,1,1,0,4,116.30690,1477528087477.4,118.84050,1477528090011.19
0,1,1,0,2,118.80700,1477528089977.54,121.34060,1477528092511.37
0,1,1,1,2,121.04050,1477528092210.99,122.71610,1477528093911.27
0,1,0,0,3,123.54060,1477528094711.13,125.21610,1477528096411.26
0,1,1,0,0,126.04080,1477528097211.33,128.57420,1477528099744.68
0,1,1,0,3,128.54120,1477528099711.73,131.07440,1477528102244.87
0,1,1,1,3,130.80770,1477528101979.01,132.53610,1477528103711.99
0,1,1,1,3,133.24120,1477528104411.73,134.89610,1477528106079.15
0,1,1,0,0,135.74130,1477528106911.86,138.27480,1477528109445.49
0,1,1,0,1,138.24150,1477528109412.57,140.77550,1477528111945.71
0,1,1,0,2,140.74160,1477528111912.13,143.27510,1477528114445.47
0,1,0,0,4,143.24270,1477528114413.8,144.89610,1477528116079.37
0,1,1,0,2,145.50850,1477528116679.17,148.00870,1477528119179.51
0,1,1,0,3,148.00870,1477528119179.22,150.50890,1477528121679.54
0,1,1,0,2,150.50890,1477528121681.51,153.00890,1477528124179.6
0,1,1,0,4,152.97560,1477528124145.9,155.50900,1477528126679.67
0,1,1,1,4,155.24250,1477528126412.96,156.89610,1477528128079.99
0,1,1,0,0,157.70920,1477528128879.74,160.24270,1477528131413.36
0,1,0,0,1,160.17620,1477528131346.89,161.87610,1477528133047.99
0,1,1,0,2,162.67630,1477528133846.87,165.24330,1477528136414.5
0,1,1,0,4,165.17630,1477528136346.84,167.74320,1477528138913.82
0,1,0,0,0,167.67650,1477528138847.02,169.41610,1477528140613.53
0,1,1,0,4,169.94330,1477528141113.76,172.47850,1477528143649.07
0,1,1,0,3,172.44340,1477528143613.98,174.97690,1477528146147.63
0,1,1,0,1,174.94350,1477528146114.14,177.47700,1477528148647.58
0,1,1,0,0,177.44370,1477528148614.09,179.97710,1477528151147.68
0,1,0,0,1,179.67710,1477528150847.67,181.35610,1477528152547.51
