%Recollect Version 2.0. Scene/Level: nback0_inter, Game Number: 013
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,3,1,0,4,1.16626,1477614399444.62,3.69977,1477614401977.04
0,3,1,0,3,3.66632,1477614401944.15,6.19989,1477614404477.01
0,3,1,0,2,6.16650,1477614404442.96,8.70001,1477614406976.87
0,3,1,1,4,8.66663,1477614406943.86,10.33813,1477614408643.75
0,3,1,1,3,10.93347,1477614409209.49,12.59814,1477614410876.33
0,3,1,0,0,13.43365,1477614411709.63,15.96710,1477614414244.4
0,3,1,0,3,15.93372,1477614414209.96,18.46729,1477614416743.87
0,3,1,0,1,18.43390,1477614416709.33,20.96735,1477614419243.76
0,3,1,0,2,20.66736,1477614418943.89,23.20081,1477614421476.8
0,3,1,0,4,23.16791,1477614421444.52,25.70099,1477614423977.43
0,3,0,0,3,25.66797,1477614423943.89,27.31812,1477614425611.87
0,2,0,0,1,28.16772,1477614426443.76,29.81812,1477614428111.66
0,2,1,0,2,33.16766,1477614433477.45,35.70081,1477614436011.61
0,2,1,0,1,35.40082,1477614435710.26,37.93433,1477614438243.4
0,2,1,0,4,37.90094,1477614438210.79,40.43439,1477614440743.98
0,2,1,0,0,40.40106,1477614440711.58,42.93451,1477614443244.17
0,2,1,0,3,42.90125,1477614443211.39,45.43469,1477614445744.49
0,2,1,1,0,45.16803,1477614445477.87,46.87811,1477614447210.76
0,2,1,0,4,47.60181,1477614447912.03,50.13495,1477614450445.06
0,2,1,1,0,50.10168,1477614450411.83,51.81812,1477614452144.93
0,2,1,0,2,52.60193,1477614452911.48,55.13531,1477614455444.66
0,3,1,1,0,55.10187,1477614455412.03,56.81812,1477614457145.56
0,3,0,0,0,59.86890,1477614462212.2,61.55817,1477614463912.15
0,2,0,0,2,62.36908,1477614464713.11,64.01813,1477614466378.79
0,2,1,0,1,67.36920,1477614471746.03,69.90271,1477614474279.31
0,2,1,0,1,69.60284,1477614473979.58,72.13654,1477614476512.9
0,2,1,0,4,72.06952,1477614476446.65,74.60297,1477614478979.64
0,2,1,0,3,74.57001,1477614478946.91,77.10309,1477614481480.17
0,2,1,1,4,77.07257,1477614481449.3,78.73816,1477614483146.18
0,2,1,0,1,79.56995,1477614483947.12,82.10364,1477614486480.44
0,2,1,0,3,82.07007,1477614486447,84.60358,1477614488980.98
0,2,1,1,1,84.33691,1477614488713.37,85.99811,1477614490380.15
0,2,1,0,2,86.83698,1477614491214.04,89.37079,1477614493748.74
0,2,1,0,2,89.33716,1477614493714.1,91.87067,1477614496248.49
0,3,1,1,2,91.83728,1477614496213.89,93.49811,1477614497881.27
0,3,1,0,2,96.70422,1477614503117.64,99.27100,1477614505684.98
0,3,1,0,4,98.97101,1477614505384.59,101.50450,1477614507918.46
0,3,1,0,0,101.47120,1477614507884.87,104.00460,1477614510417.32
0,3,1,1,2,103.97130,1477614510384.14,105.67820,1477614512115.56
0,3,1,0,3,106.47140,1477614512884.7,109.00480,1477614515417.74
0,3,1,0,4,108.83820,1477614515251.02,111.37170,1477614517783.31
0,3,1,0,1,111.33830,1477614517750.44,113.87190,1477614520283.79
0,3,0,0,2,113.83840,1477614520250.15,115.49810,1477614521917.28
0,3,1,0,0,116.33860,1477614522751.79,118.87200,1477614525284.67
0,2,0,0,4,118.83870,1477614525252.44,120.49810,1477614526917.98
0,2,1,0,2,123.60570,1477614532051.3,126.10580,1477614534550.67
0,2,1,0,2,126.10580,1477614534553.43,128.60820,1477614537054.35
0,2,1,0,1,128.60820,1477614537053,131.10610,1477614539550.8
0,2,1,1,2,130.83930,1477614539284.23,132.49810,1477614540950.75
0,2,1,0,2,133.27290,1477614541718.98,135.80630,1477614544252.05
0,2,1,0,4,135.77290,1477614544218.03,138.30650,1477614546751
0,2,1,1,2,138.27310,1477614546717.11,139.93810,1477614548384.07
0,2,1,0,1,140.77320,1477614549217.06,143.30680,1477614551751.64
0,2,1,0,4,143.27340,1477614551716.75,145.80690,1477614554251.32
0,2,1,0,2,145.54020,1477614553984.35,148.07370,1477614556517.56
0,3,1,1,4,148.04040,1477614556484.37,149.69810,1477614558151.73
0,3,1,0,1,153.04060,1477614563520.95,155.57400,1477614566053.09
0,3,1,0,1,155.27400,1477614565752,157.80750,1477614568287.68
0,3,1,0,2,157.74390,1477614568223.9,160.27440,1477614570751.73
0,3,1,1,1,160.24100,1477614570720.39,161.91820,1477614572417.99
0,3,1,0,4,162.74110,1477614573219.16,165.27440,1477614575749.12
0,3,1,0,1,165.24120,1477614575715.63,167.77470,1477614578248.23
0,3,0,1,1,167.74140,1477614578215.45,170.27480,1477614580748.66
0,3,1,1,4,170.00920,1477614580483.3,171.65810,1477614582148.3
0,3,1,0,3,172.50820,1477614582981.95,175.04170,1477614585515.55
0,3,1,0,3,175.00840,1477614585482.72,177.54190,1477614588016.09
0,3,1,1,4,177.50850,1477614587982.23,179.15810,1477614589648.45
0,4,1,1,3,179.74210,1477614590216.64,181.41820,1477614591915.81
