%Recollect Version 2.0. Scene/Level: nback1_intro, Game Number: 044
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,3,1,0,2,0.06586,1478107606353.5,1.68347,1478107607953.98
0,3,1,0,0,1.61676,1478107607887.83,4.15027,1478107610420.31
0,3,1,0,4,4.05029,1478107610320.29,6.58368,1478107612854.46
0,3,1,0,0,6.48370,1478107612754.04,9.01721,1478107615287.41
0,3,1,0,1,8.91718,1478107615187.36,11.48395,1478107617754.34
0,3,1,0,3,11.38403,1478107617654.49,13.91760,1478107620188.16
0,3,1,0,4,13.68402,1478107619954.47,16.38428,1478107622654.59
0,3,1,0,2,16.25098,1478107622521.39,18.78442,1478107625055.52
0,3,1,0,1,18.72473,1478107624995.38,21.25122,1478107627522.77
0,3,1,0,2,21.15118,1478107627421.09,23.68665,1478107629957.24
0,3,1,0,4,23.61810,1478107629888.58,26.15149,1478107632421.49
0,3,1,0,3,26.15149,1478107632421.33,28.68500,1478107634955.61
0,3,1,0,1,28.58496,1478107634855.33,31.12280,1478107637393.29
0,3,1,0,3,31.01843,1478107637289.14,33.58527,1478107639856.02
0,3,1,0,4,33.48523,1478107639755.63,36.01868,1478107642289.2
0,3,1,1,1,35.91876,1478107642188.97,37.59247,1478107643891.51
0,3,1,1,3,38.38556,1478107644656.83,40.05249,1478107646330.27
0,3,1,0,0,40.81897,1478107647089.45,43.38580,1478107649656.22
0,4,1,1,1,43.25244,1478107649522.5,44.91248,1478107651193.79
0,4,1,0,1,48.15277,1478107656457.71,50.68634,1478107658989.52
0,4,1,0,4,50.61963,1478107658923.35,53.15314,1478107661456.86
0,4,1,0,0,53.22003,1478107661524.43,55.75323,1478107664056.83
0,4,1,0,2,55.61987,1478107663924.13,58.15338,1478107666457.19
0,4,1,1,1,58.05334,1478107666356.94,59.73248,1478107668056.92
0,4,1,0,2,60.52014,1478107668823.83,63.05365,1478107671358.09
0,4,0,0,2,62.95361,1478107671257.68,64.73248,1478107673058.66
0,4,1,0,1,65.42047,1478107673724.12,67.95392,1478107676258.1
0,4,1,1,1,67.85388,1478107676157.7,69.53247,1478107677857.96
0,4,0,1,2,70.28735,1478107678590.49,72.82086,1478107681125.11
0,4,1,0,1,72.75421,1478107681058.53,75.28772,1478107683591.08
0,4,1,0,2,75.22101,1478107683525.02,77.72113,1478107686024.32
0,4,1,1,1,77.65442,1478107685957.98,79.31250,1478107687625.81
0,4,1,0,3,80.12128,1478107688425.2,82.65479,1478107690958.71
0,4,0,0,2,82.58807,1478107690891.31,84.25250,1478107692559.49
0,4,1,0,4,85.05487,1478107693359.25,87.55505,1478107695858.7
0,4,1,0,3,87.65503,1478107695958.68,90.18854,1478107698491.98
0,4,1,0,1,90.12189,1478107698426.47,92.65894,1478107700962.93
0,4,1,0,0,92.55536,1478107700859.11,95.08887,1478107703392.29
0,4,1,0,1,94.98877,1478107703292.46,97.52222,1478107705826.09
0,3,0,0,1,97.42236,1478107705726.05,99.09247,1478107707426.67
0,3,1,0,3,102.32260,1478107712659.43,104.85610,1478107715193.34
0,3,1,0,4,104.72280,1478107715060.3,107.28960,1478107717626.06
0,3,1,0,2,107.22290,1478107717561.45,109.75630,1478107720093.77
0,3,1,0,4,109.65640,1478107719993.42,112.18980,1478107722526.72
0,3,1,1,4,112.12320,1478107722460.2,113.77250,1478107724126.68
0,3,1,0,3,114.65670,1478107724994.04,117.19010,1478107727526.68
0,3,1,1,4,117.12340,1478107727460.82,118.77250,1478107729126.98
0,3,1,0,0,119.52360,1478107729860.83,122.05700,1478107732394.13
0,3,1,0,2,121.99360,1478107732330.78,124.52390,1478107734861.11
0,3,1,0,3,124.42380,1478107734760.83,126.95730,1478107737294.4
0,3,0,0,2,126.85720,1478107737194.55,128.69250,1478107739061.1
0,3,1,1,2,129.32430,1478107739661.27,130.99250,1478107741360.94
0,3,1,0,1,131.75770,1478107742095.01,134.25780,1478107744595.04
0,3,1,1,2,134.19440,1478107744531.61,135.87250,1478107746227.89
0,3,1,0,3,136.65940,1478107746997.1,139.19130,1478107749528.64
0,3,1,0,2,139.12470,1478107749461.81,141.62490,1478107751961.95
0,3,1,0,1,141.72480,1478107752061.67,144.25830,1478107754595.68
0,4,1,1,3,144.12560,1478107754463.25,145.87250,1478107756229.52
0,4,1,0,3,149.02510,1478107761395.64,151.55870,1478107763929.49
0,4,1,0,3,151.45880,1478107763829.17,154.02550,1478107766395.85
0,4,1,0,0,153.92550,1478107766295.72,156.45890,1478107768829.31
0,4,1,0,0,156.35900,1478107768730.01,158.89250,1478107771262.92
0,4,1,1,3,158.75900,1478107771130.18,160.81250,1478107773196.06
0,4,1,0,0,161.22590,1478107773595.81,163.75930,1478107776129.93
0,4,1,0,3,163.69290,1478107776063.51,166.22610,1478107778596.06
0,4,1,0,4,166.12620,1478107778496.1,168.65960,1478107781030.12
0,4,1,0,2,168.59300,1478107780964.13,171.15970,1478107783530.11
0,4,1,0,2,171.06400,1478107783434.8,173.59320,1478107785963.63
0,4,1,0,4,173.49320,1478107785863.66,176.06000,1478107788430.28
