%Recollect Version 2.0. Scene/Level: nback1_intro, Game Number: 075
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,3,0.07330,1479148213603.01,1.70013,1479148215216.44
0,3,1,0,5,1.63342,1479148215150.5,4.16690,1479148217683.34
0,3,1,0,1,4.06708,1479148217584.22,6.60034,1479148220116.38
0,3,1,0,2,6.50037,1479148220016.28,9.03381,1479148222549.96
0,3,1,1,5,8.93381,1479148222450,11.06232,1479148224586.18
0,3,1,0,4,11.40070,1479148224916.33,13.93411,1479148227450.49
0,3,1,0,3,13.83411,1479148227350.71,16.36783,1479148229884.14
0,3,0,0,2,16.26758,1479148229783.62,17.88232,1479148231417.7
0,3,1,0,0,18.73434,1479148232250.55,21.26785,1479148234784.37
0,3,1,0,1,21.16785,1479148234684.37,23.73465,1479148237251.58
0,3,1,0,4,23.63464,1479148237151.06,26.16833,1479148239684.7
0,3,1,0,3,26.16833,1479148239684.45,28.70187,1479148242217.74
0,2,0,0,0,28.63507,1479148242152.64,30.66232,1479148244188.24
0,2,1,0,5,33.50208,1479148249051.43,36.03537,1479148251585.24
0,2,1,0,5,35.93573,1479148251485.56,38.46884,1479148254018.64
0,2,1,0,3,38.40216,1479148253951.35,40.93570,1479148256486.09
0,2,1,0,0,40.83566,1479148256385.29,43.36911,1479148258918.75
0,2,1,0,2,43.20276,1479148258752.6,45.80264,1479148261352.3
0,2,0,0,3,45.70251,1479148261252.07,47.74234,1479148263318.6
0,2,1,0,5,48.16940,1479148263719.05,50.70288,1479148266252.43
0,2,1,1,3,50.60312,1479148266152.61,52.30234,1479148267852.69
0,2,1,0,2,53.23630,1479148268785.41,55.76996,1479148271319.67
0,2,1,0,5,55.66980,1479148271219.48,58.16995,1479148273719.79
0,2,1,1,2,58.06995,1479148273619.49,59.78232,1479148275352.86
0,2,1,0,0,60.53702,1479148276085.86,63.07022,1479148278619.74
0,3,1,1,2,62.97034,1479148278519.98,65.00232,1479148280555.77
0,3,1,0,5,67.87067,1479148285453.89,70.40390,1479148287987.29
0,3,1,0,0,70.30405,1479148287887.1,72.83737,1479148290420.19
0,3,1,0,1,72.77069,1479148290353.95,75.30426,1479148292888.4
0,3,1,0,0,75.20416,1479148292787.37,77.73886,1479148295321.52
0,3,0,0,1,77.67099,1479148295254.35,79.28232,1479148296887.64
0,3,1,0,2,80.13794,1479148297720.65,82.70480,1479148300288.16
0,3,1,0,5,82.60449,1479148300187.84,85.17163,1479148302754.84
0,2,0,1,1,85.07425,1479148302657.72,87.57153,1479148305157.18
0,2,1,0,2,90.10461,1479148309722.17,92.67105,1479148312288.86
0,2,1,0,2,92.57108,1479148312188.5,95.10452,1479148314722.72
0,2,1,0,4,95.00455,1479148314621.89,97.53815,1479148317155.5
0,2,1,1,2,97.43799,1479148317054.74,99.06232,1479148318688.77
0,2,1,0,5,99.90500,1479148319522.03,102.43830,1479148322054.84
0,2,1,0,1,102.33810,1479148321954.84,104.87190,1479148324489.16
0,2,0,0,3,104.77180,1479148324389.21,106.70230,1479148326322.75
0,2,1,0,0,107.23850,1479148326855.2,109.77210,1479148329390.65
0,2,1,1,3,109.67200,1479148329289.4,111.26230,1479148330889.76
0,2,1,0,4,112.10550,1479148331722.99,114.67230,1479148334289.69
0,2,1,0,4,114.67230,1479148334289.51,117.20570,1479148336823.04
0,2,1,0,0,117.10660,1479148336723.9,119.67250,1479148339289.82
0,2,1,0,3,119.57260,1479148339189.94,122.10630,1479148341723.8
0,2,1,1,0,122.00620,1479148341623.35,123.60240,1479148343224.34
0,2,1,0,4,124.47320,1479148344091.08,126.97310,1479148346590.26
0,2,0,0,3,126.90630,1479148346523.52,128.48230,1479148348123.46
0,2,1,0,5,129.33980,1479148348956.43,131.87320,1479148351491.01
0,2,1,1,3,131.77330,1479148351390.58,133.98230,1479148353623.78
0,2,1,0,2,134.24010,1479148353856.86,136.77370,1479148356392.42
0,2,1,1,3,136.67360,1479148356291.5,138.26230,1479148357891.29
0,2,1,0,5,139.14030,1479148358757,141.67410,1479148361291.51
0,3,1,1,3,141.77380,1479148361391.29,143.32230,1479148362959.21
0,3,1,0,4,146.60800,1479148368258.65,149.14080,1479148370791.21
0,3,1,0,3,149.07440,1479148370725.17,151.60780,1479148373258.79
0,3,1,0,5,151.50760,1479148373158.45,154.04130,1479148375691.56
0,3,1,0,2,153.94100,1479148375591.31,156.47530,1479148378125.95
0,3,1,1,3,156.40790,1479148378058.82,157.98230,1479148379659.05
0,3,1,0,4,158.80820,1479148380458.88,161.37480,1479148383025.76
0,3,1,0,1,161.27500,1479148382925.74,163.80850,1479148385459.27
0,3,1,0,0,163.70830,1479148385359.24,166.27510,1479148387925.87
0,3,1,0,5,166.17500,1479148387826.52,168.70860,1479148390359.42
0,3,0,0,0,168.67540,1479148390326.15,170.24230,1479148391926.05
0,3,1,0,1,171.10870,1479148392759.67,173.64270,1479148395293.51
0,2,0,1,5,173.54220,1479148395192.65,176.07590,1479148397727.92
