%Recollect Version 2.0. Scene/Level: nback0_advan, Game Number: 049
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,3,1,0,3,1.13226,1478280692588.6,3.66571,1478280695122.44
0,3,1,0,2,3.63239,1478280695088.82,6.16583,1478280697622.35
0,3,1,0,0,6.13251,1478280697589.07,8.66602,1478280700122.42
0,3,1,0,2,8.63263,1478280700089.68,11.16608,1478280702622.57
0,3,1,1,2,10.90002,1478280702355.78,12.56018,1478280704024.95
0,3,1,0,3,13.39954,1478280704855.42,15.93304,1478280707389.25
0,3,1,0,1,15.89966,1478280707355.17,18.43317,1478280709889.38
0,3,1,1,2,18.39984,1478280709855.49,20.06018,1478280711523.59
0,3,1,0,4,20.63330,1478280712090.08,23.16681,1478280714623.63
1,101.09970,0.88781,2,23.76019,1478280715227.61
0,4,1,1,1,23.10028,1478280714556.78,24.78021,1478280716259.53
0,4,1,0,3,28.10034,1478280721590.42,30.66730,1478280724157.04
0,4,1,0,4,30.60059,1478280724089.99,33.16730,1478280726656.88
0,4,1,0,3,33.10071,1478280726590.69,35.66742,1478280729157.38
0,4,0,0,2,35.36749,1478280728857.01,37.52020,1478280731023.19
0,4,1,1,3,37.86755,1478280731357.08,39.52020,1478280733023.43
0,4,1,1,4,40.36780,1478280733857.5,42.02020,1478280735525.22
0,4,1,0,0,42.86786,1478280736358.15,45.40173,1478280738891.89
0,5,1,1,2,45.10132,1478280738591,46.78021,1478280740292.33
0,5,1,0,3,50.06830,1478280745591.1,52.60175,1478280748124.56
0,5,1,0,0,52.56854,1478280748092.1,55.10193,1478280750624.91
0,5,1,0,1,55.06854,1478280750592.04,57.60205,1478280753125.53
0,5,1,0,4,57.56866,1478280753092.27,60.10229,1478280755625.9
0,5,1,0,0,59.80219,1478280755325.46,62.33575,1478280757859.66
0,5,1,0,1,62.30231,1478280757825.7,64.83575,1478280760358.66
0,5,1,0,3,64.80243,1478280760325.76,67.33594,1478280762858.72
0,5,1,0,0,67.30261,1478280762826.6,69.86932,1478280765392.92
0,5,1,1,4,69.56934,1478280765092.86,71.22021,1478280766758.86
0,5,1,0,1,72.03613,1478280767559.31,74.56964,1478280770093.36
0,5,1,0,4,74.53644,1478280770059.01,77.06976,1478280772593.67
0,5,1,1,3,77.03760,1478280772560.11,78.88019,1478280774425.91
0,5,1,0,4,79.53656,1478280775059.32,82.07025,1478280777593.75
0,5,1,0,2,82.03668,1478280777559.87,84.57019,1478280780093.8
0,5,1,0,3,84.27020,1478280779793.49,86.80371,1478280782327.13
0,5,0,0,2,86.77032,1478280782293.97,88.52020,1478280784059.64
0,4,0,0,4,89.30383,1478280784827.48,91.14020,1478280786694.3
0,4,1,0,1,94.03772,1478280791594.1,96.57074,1478280794128.46
0,4,1,0,1,96.67078,1478280794227.97,99.20435,1478280796761.3
0,4,1,0,4,98.90790,1478280796465.72,101.47110,1478280799028.06
0,4,1,0,1,101.40450,1478280798961.69,103.97130,1478280801528.33
0,4,1,1,1,103.90450,1478280801461.03,105.64020,1478280803227.48
0,4,1,1,1,106.40470,1478280803961.28,108.08020,1478280805660.97
0,4,1,0,3,108.80480,1478280806362.26,111.33850,1478280808894.74
0,4,1,0,4,111.30500,1478280808861.55,113.83850,1478280811395.13
0,5,1,1,1,113.80520,1478280811362.39,115.46020,1478280813030.57
0,5,1,0,2,118.80540,1478280818395.3,121.33880,1478280820928.56
0,5,1,0,2,121.03880,1478280820627.97,123.57230,1478280823162.34
0,5,1,0,1,123.53890,1478280823128.37,126.07240,1478280825662.27
0,5,1,0,3,126.03910,1478280825628.48,128.57240,1478280828162.78
0,5,1,0,2,128.53920,1478280828129.47,131.07280,1478280830663.06
0,5,1,1,2,130.80650,1478280830396.37,132.88020,1478280832495.75
0,5,1,0,3,133.23950,1478280832828.86,135.77290,1478280835363.93
0,5,1,0,0,135.73970,1478280835330.32,138.27330,1478280837863.88
0,5,1,0,4,138.23970,1478280837829.75,140.77330,1478280840363.93
0,5,1,1,2,140.73990,1478280840329.41,142.40020,1478280841997.67
0,5,0,0,0,143.24010,1478280842829.48,144.96020,1478280844563.44
0,5,1,0,2,145.50680,1478280845096.97,148.00710,1478280847598.07
0,4,0,0,4,148.00710,1478280847597.92,149.70020,1478280849299.22
0,4,1,0,0,152.97430,1478280854596.77,155.50780,1478280857130.96
0,4,1,0,3,155.24110,1478280856864.31,157.77470,1478280859397.41
0,4,1,0,0,157.70790,1478280859331.55,160.24140,1478280861865.41
0,4,1,0,2,160.20810,1478280861831.44,162.74290,1478280864366.4
0,4,1,0,3,162.70860,1478280864331.7,165.24210,1478280866866.52
0,4,1,0,0,165.20830,1478280866831.4,167.74190,1478280869365.04
0,4,1,1,0,167.70850,1478280869332.25,169.42020,1478280871064.61
0,4,1,0,4,169.94190,1478280871565.57,172.50880,1478280874131.85
0,4,1,0,1,172.44220,1478280874065.09,175.00890,1478280876632.16
0,4,1,0,3,174.94230,1478280876565.88,177.50900,1478280879132.11
0,4,1,0,2,177.44230,1478280879065.71,180.00930,1478280881632.48
0,4,1,0,2,179.70920,1478280881332.29,182.24270,1478280883865.83
1,757.41690,4.22316,1,187.84020,1478280889465.62
1,758.65130,5.91757,0,189.24020,1478280890866
