%Recollect Version 2.0. Scene/Level: nback0_intro, Game Number: 091
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,2,1.14825,1478637991220.29,3.68173,1478637993753.34
0,3,1,0,2,3.64833,1478637993720.31,6.18192,1478637996253.75
0,3,1,0,0,6.14856,1478637996220.48,8.68204,1478637998753.64
0,3,1,1,2,8.64867,1478637998720.77,10.26242,1478638000356.12
0,3,1,1,2,10.91548,1478638000987.58,12.50243,1478638002587.6
0,4,1,1,0,13.38330,1478638003455.45,14.98242,1478638005091
0,4,1,0,3,18.38263,1478638010488.78,20.94931,1478638013054.89
0,4,1,0,0,20.64928,1478638012754.7,23.18326,1478638015289.34
0,4,1,0,2,23.11613,1478638015221.16,25.64973,1478638017755.1
0,4,1,0,3,25.61623,1478638017721.32,28.14970,1478638020255.12
0,4,1,0,1,28.11655,1478638020221.76,30.64999,1478638022755.45
0,4,0,0,1,30.61664,1478638022722.24,32.66243,1478638024788.35
0,4,1,0,1,33.11664,1478638025221.64,35.65012,1478638027755.77
0,3,0,0,2,35.38364,1478638027489.1,36.98242,1478638029090.57
0,3,1,0,3,40.38371,1478638034522.43,42.91716,1478638037056
0,3,1,0,3,42.88387,1478638037023.37,45.41728,1478638039555.76
0,3,1,0,2,45.11726,1478638039255.78,47.65074,1478638041789.64
0,3,1,0,1,47.58415,1478638041722.97,50.08421,1478638044223.13
0,3,1,0,0,50.08421,1478638044222.95,52.58440,1478638046723.36
0,3,0,0,1,52.58440,1478638046725.3,54.22243,1478638048389.72
0,3,1,0,0,55.08446,1478638049223.44,57.58464,1478638051723.49
0,2,0,0,1,57.55153,1478638051690.2,59.22243,1478638053391.49
0,2,1,0,3,62.31868,1478638058490.24,64.85197,1478638061024.03
0,2,1,0,1,64.81868,1478638060990.29,67.35213,1478638063524.12
0,2,1,1,3,67.31877,1478638063490.33,68.90242,1478638065090.73
0,2,1,1,1,69.58556,1478638065757.56,71.22243,1478638067424.19
0,2,1,0,2,72.05244,1478638068224.84,74.58586,1478638070757.77
0,2,1,0,2,74.55257,1478638070724.55,77.08601,1478638073258.26
0,2,1,0,0,77.05269,1478638073224.57,79.58611,1478638075758.19
0,2,0,0,0,79.55284,1478638075725.06,81.50243,1478638077691.51
0,2,1,0,2,82.05299,1478638078224.94,84.58641,1478638080758.29
0,2,1,0,1,84.28645,1478638080458.37,86.85338,1478638083025.35
0,2,1,1,2,86.78667,1478638082958.61,88.40242,1478638084594.24
0,2,1,0,3,89.28679,1478638085458.61,91.85362,1478638088025.61
0,2,1,0,3,91.78682,1478638087959.18,94.35378,1478638090525.9
0,2,1,0,1,94.05357,1478638090225.55,96.58711,1478638092759.51
0,2,0,1,3,96.68715,1478638092859.54,99.22063,1478638095392.85
0,2,1,0,0,98.92061,1478638095092.03,101.45400,1478638097625.87
0,2,1,0,2,101.42070,1478638097592.23,103.95420,1478638100126.04
0,2,1,0,1,103.92090,1478638100092.34,106.45430,1478638102626.11
0,1,0,1,2,106.42100,1478638102592.71,108.95480,1478638105128.37
0,1,1,0,1,111.28840,1478638109493.25,113.85510,1478638112060.08
0,1,1,1,1,113.78840,1478638111993.49,115.74240,1478638113960.71
0,1,1,0,0,116.28860,1478638114493.47,118.85540,1478638117060.42
0,1,1,0,2,118.78870,1478638116993.72,121.35550,1478638119560.72
0,1,1,1,2,121.05550,1478638119260.44,122.96240,1478638121193.82
0,2,1,1,2,123.55560,1478638121760.26,125.34240,1478638123562.77
0,2,1,0,2,128.55580,1478638128794.32,131.08940,1478638131328.38
0,2,1,0,0,130.78930,1478638131027.82,133.32310,1478638133562.29
0,2,1,0,3,133.22280,1478638133461.56,135.78970,1478638136028.24
0,2,1,0,1,135.72290,1478638135961.59,138.28970,1478638138528.09
0,2,1,0,2,138.22300,1478638138461.34,140.78990,1478638141028.35
0,2,1,1,1,140.72330,1478638140961.82,142.38240,1478638142629.25
0,2,1,0,0,143.22330,1478638143461.75,145.79090,1478638146029.39
0,2,1,0,3,145.49010,1478638145728.75,148.02360,1478638148262.01
0,2,0,1,0,147.99020,1478638148228.6,150.52400,1478638150763.05
0,1,0,1,3,150.49040,1478638150728.81,153.02380,1478638153263.98
0,1,1,0,3,155.22390,1478638157495.94,157.79060,1478638160062.91
0,1,1,1,3,157.72390,1478638159996.07,159.28240,1478638161563.28
0,1,1,0,2,160.22430,1478638162497.55,162.72420,1478638164996.47
0,1,1,0,0,162.72420,1478638164999.87,165.22430,1478638167496.67
0,1,1,0,1,165.19110,1478638167463.19,167.72450,1478638169996.79
0,1,1,0,0,167.69110,1478638169963.82,170.22510,1478638172497.3
0,1,1,0,1,169.95860,1478638172230.42,172.49160,1478638174764
0,1,1,0,3,172.45800,1478638174730.42,174.99150,1478638177263.94
0,1,1,0,1,174.95830,1478638177230.08,177.49190,1478638179764.18
0,1,1,1,1,177.45840,1478638179730.11,179.10240,1478638181397.28
0,1,1,0,3,179.69180,1478638181963.81,182.22530,1478638184497.3
