%Recollect Version 2.0. Scene/Level: nback0_advan, Game Number: 110
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,2,1.16615,1479156471458.7,3.69964,1479156473992.97
0,3,1,0,2,3.66633,1479156473958.63,6.19980,1479156476492.78
0,3,1,0,1,6.16650,1479156476458.71,8.69991,1479156478992.87
0,3,1,0,3,8.66664,1479156478959.51,11.20006,1479156481493.01
0,3,1,1,2,10.93337,1479156481226.51,12.86729,1479156483203.27
0,3,1,1,1,13.43351,1479156483726.59,15.06729,1479156485392.75
0,4,1,1,3,15.93368,1479156486226.71,17.50729,1479156487830.42
0,4,1,0,1,20.66732,1479156492993.22,23.20080,1479156495525.99
0,4,1,0,2,23.13399,1479156495460.31,25.66753,1479156497994.12
0,4,1,0,3,25.63427,1479156497960.52,28.16784,1479156500493.78
0,4,0,0,1,28.13436,1479156500460.09,29.78729,1479156502126.69
0,4,1,0,2,30.63454,1479156502960.98,33.16801,1479156505494.46
0,3,0,0,3,33.13464,1479156505461.1,35.40729,1479156507761.78
1,164.54350,2.95841,2,39.64729,1479156514027.09
0,3,1,0,0,37.86836,1479156512227.94,40.43524,1479156514794.66
0,3,1,0,2,40.36855,1479156514728.05,42.93534,1479156517294.9
0,3,1,0,3,42.86867,1479156517227.83,45.43546,1479156519795
0,3,1,1,0,45.13553,1479156519495.27,46.72729,1479156521095.29
0,3,1,1,2,47.56889,1479156521928.02,49.34728,1479156523727.77
0,4,1,1,3,50.06908,1479156524429.12,51.66728,1479156526030.88
0,4,1,0,0,55.06932,1479156531462.56,57.63609,1479156534029.39
0,4,1,0,0,57.57642,1479156533969.37,60.13628,1479156536529.2
0,4,1,0,2,59.83624,1479156536229.84,62.37070,1479156538764.82
0,4,1,0,0,62.33636,1479156538728.95,64.86980,1479156541262.44
0,4,1,0,1,64.83643,1479156541229.38,67.36996,1479156543762.75
0,4,1,0,2,67.33663,1479156543729.33,69.87015,1479156546262.95
0,4,1,1,2,69.57018,1479156545962.84,71.30728,1479156547729.42
0,4,1,0,3,72.07031,1479156548463.09,74.60375,1479156550996.64
0,4,0,1,1,74.57031,1479156550963.24,77.10385,1479156553496.6
0,4,1,0,0,77.07051,1479156553463.59,79.60401,1479156555996.35
0,4,1,1,2,79.57135,1479156555964.37,81.32729,1479156557730.29
0,4,1,0,0,82.07082,1479156558464.24,84.60426,1479156560997.24
0,4,0,0,0,84.30438,1479156560696.81,86.10728,1479156562530.02
0,3,0,0,3,86.80438,1479156563196.98,88.48728,1479156564898.16
0,3,1,0,2,91.80460,1479156570230.65,94.33809,1479156572765.53
0,3,1,0,0,94.07147,1479156572498.21,96.60488,1479156575030.77
0,3,1,0,3,96.70488,1479156575130.74,99.23861,1479156577664.95
0,3,1,0,1,98.93837,1479156577364.59,101.47180,1479156579897.97
0,3,1,0,1,101.43860,1479156579865.53,103.97190,1479156582398.47
0,3,1,0,0,103.93870,1479156582365.35,106.47210,1479156584898.56
0,3,1,0,3,106.43880,1479156584865.12,108.97240,1479156587398.9
0,3,1,1,1,108.83890,1479156587265.45,110.46730,1479156588898.73
0,3,1,0,2,111.33910,1479156589765.53,113.87260,1479156592299.48
0,3,1,0,1,113.83920,1479156592265.57,116.37270,1479156594798.86
0,3,1,0,3,116.33930,1479156594765.98,118.87310,1479156597299.68
0,3,1,0,0,118.83960,1479156597267.03,121.37290,1479156599799.97
0,3,1,0,3,121.07290,1479156599499.76,123.60650,1479156602032.05
0,3,1,0,2,123.57300,1479156601999.79,126.10670,1479156604532.63
0,3,1,0,1,126.07320,1479156604499.67,128.60670,1479156607032.96
0,3,1,1,3,128.57390,1479156607000.64,130.38730,1479156608832.58
0,4,1,1,2,130.84020,1479156609266.63,132.44730,1479156610901.02
0,4,1,0,1,135.77400,1479156616233.66,138.30730,1479156618766.48
0,4,1,0,2,138.27390,1479156618733.3,140.80740,1479156621267.03
0,4,1,0,0,140.77410,1479156621233.98,143.30750,1479156623767.36
0,4,0,0,1,143.27420,1479156623734.9,145.06730,1479156625533.9
0,4,1,0,3,145.50770,1479156625967.6,148.07470,1479156628535.4
0,3,0,0,1,148.00780,1479156628467.76,149.92730,1479156630401.94
0,3,1,0,3,153.00800,1479156635501.16,155.54150,1479156638033.94
0,3,1,0,3,155.27490,1479156637768.66,157.80830,1479156640302.05
0,3,1,0,0,157.74160,1479156640234.33,160.27510,1479156642768.24
0,3,0,1,3,160.24170,1479156642734.08,162.77530,1479156645268.92
0,3,1,0,0,162.70860,1479156645202.13,165.27540,1479156647768.3
0,3,1,0,1,165.20870,1479156647702.01,167.77560,1479156650269.03
0,3,1,1,3,167.70890,1479156650202.25,169.30730,1479156651802.22
0,3,1,1,0,169.97610,1479156652469.8,171.56730,1479156654069.73
0,4,1,1,1,172.47580,1479156654970.15,174.12730,1479156656636.86
0,4,1,0,3,177.47640,1479156662002.73,180.00950,1479156664536.26
0,4,1,0,0,179.70960,1479156664236.82,182.27630,1479156666803.67
