%Recollect Version 2.0. Scene/Level: nback0_advan, Game Number: 189
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,0,1.18335,1479842393137.23,3.71692,1479842395671.61
0,3,1,0,0,3.68372,1479842395638.04,6.21698,1479842398171.45
0,3,1,0,0,6.18390,1479842398138.92,8.71747,1479842400673.1
0,3,1,0,1,8.68414,1479842400639.05,11.21729,1479842403171.64
0,3,1,0,2,10.91724,1479842402871.39,13.45074,1479842405404.3
0,3,1,1,0,13.38409,1479842405338.69,15.01343,1479842406974.7
0,3,1,0,3,15.91748,1479842407871.89,18.48444,1479842410439.38
0,3,1,1,2,18.41766,1479842410372.59,20.03339,1479842412004.66
0,4,1,1,0,20.68451,1479842412638.63,22.25342,1479842414242.1
0,4,1,0,3,25.61816,1479842419605.56,28.18500,1479842422172.36
0,4,1,0,3,28.11829,1479842422105.48,30.68512,1479842424672.41
0,4,1,0,2,30.61871,1479842424607.19,33.18524,1479842427173.6
0,4,1,0,0,33.11871,1479842427107.23,35.68536,1479842429673.32
0,4,0,0,1,35.38550,1479842429372.73,37.41339,1479842431407.04
0,4,1,1,3,37.88550,1479842431873.12,39.45343,1479842433472.59
0,4,1,0,1,40.38562,1479842434373.65,42.91943,1479842436907.66
0,4,1,0,2,42.88574,1479842436873.01,45.41980,1479842439407.96
0,4,0,0,3,45.11951,1479842439107.55,46.71338,1479842440707.26
0,4,1,0,0,47.58606,1479842441574.75,50.11963,1479842444108.25
0,4,1,0,3,50.08990,1479842444077.6,52.61969,1479842446607.64
0,3,0,1,2,52.58649,1479842446573.51,55.11981,1479842449109.02
0,3,1,0,2,57.58685,1479842453607.93,60.12000,1479842456140.59
0,3,1,0,2,59.82001,1479842455841.37,62.35474,1479842458376.8
0,3,1,0,0,62.32013,1479842458340.96,64.85358,1479842460874.41
0,3,1,0,3,64.82031,1479842460841.92,67.35376,1479842463374.67
0,3,1,1,2,67.32037,1479842463341.23,68.93341,1479842464974.27
0,3,1,1,0,69.55408,1479842465574.8,71.17340,1479842467207.81
0,3,1,0,2,72.05402,1479842468074.96,74.58783,1479842470608.13
0,3,1,0,0,74.55420,1479842470575.31,77.08771,1479842473107.99
0,3,1,0,1,77.05432,1479842473075.37,79.58777,1479842475608.38
0,4,1,1,2,79.55463,1479842475576.1,81.29340,1479842477343.9
0,4,1,0,2,84.32147,1479842482376.01,86.85504,1479842484909.93
0,4,1,0,2,86.82159,1479842484876.32,89.35510,1479842487409.87
0,4,1,0,3,89.32184,1479842487376.05,91.85522,1479842489909.65
0,4,1,0,2,91.82208,1479842489877.65,94.35535,1479842492410.35
0,4,1,1,2,94.05536,1479842492110.25,95.67340,1479842493742.48
0,4,1,1,2,96.68890,1479842494742.62,98.31342,1479842496377.02
0,4,1,0,0,98.95563,1479842497009.73,101.48940,1479842499542.86
0,5,1,1,2,101.45570,1479842499510.11,103.05340,1479842501112.75
0,5,1,0,0,106.45590,1479842506544.93,108.98900,1479842509076.62
0,5,1,0,0,108.82240,1479842508911.72,111.35580,1479842511444.59
0,5,1,0,1,111.32240,1479842511410.8,113.85600,1479842513944.45
0,5,1,0,0,113.82270,1479842513910.87,116.35610,1479842516444.22
0,5,1,0,2,116.32280,1479842516411.46,118.85620,1479842518944.93
0,5,1,1,0,118.82290,1479842518911.21,120.41340,1479842520511.23
0,5,1,0,3,121.05630,1479842521144.57,123.62350,1479842523711.81
0,5,1,0,0,123.55660,1479842523645.32,126.12340,1479842526211.7
0,5,1,1,0,126.05680,1479842526145.52,127.69340,1479842527811.01
0,5,1,0,1,128.55680,1479842528644.97,131.12360,1479842531212.46
0,5,0,1,0,130.82350,1479842530912.26,133.35710,1479842533446.46
0,5,1,0,2,133.25700,1479842533345.35,135.82400,1479842535912.42
0,4,0,0,3,135.75710,1479842535845.52,137.39340,1479842537513
0,4,1,0,0,140.75730,1479842542879.26,143.32410,1479842545446
0,4,1,0,3,143.25740,1479842545379.45,145.82430,1479842547946.85
0,4,1,0,2,145.52450,1479842547647.16,148.05770,1479842550179.8
0,4,1,0,3,148.02440,1479842550146.38,150.55790,1479842552680.08
0,4,1,0,1,150.52470,1479842552646.96,153.05790,1479842555179.92
0,4,0,1,3,153.02470,1479842555146.48,155.55830,1479842557680.99
0,3,0,0,1,155.25820,1479842557379.94,156.91340,1479842559048.57
