%Recollect Version 2.0. Scene/Level: nback0_inter, Game Number: 009
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,3,1,0,1,1.13346,1477586231682.19,3.66691,1477586234208.57
0,3,1,0,2,3.63362,1477586234177.55,6.16706,1477586236710.15
0,3,1,0,3,6.13374,1477586236675.94,8.66720,1477586239208.54
0,3,1,0,4,8.63386,1477586239176.17,11.16732,1477586241710.23
0,3,1,1,2,10.90065,1477586241441.21,12.56339,1477586243113.9
0,3,1,0,1,13.40073,1477586243942.26,15.93433,1477586246475.95
0,3,1,0,0,15.90119,1477586246442.09,18.43443,1477586248976.18
0,3,1,1,2,18.40107,1477586248940.81,20.06339,1477586250608.59
0,4,1,1,1,20.63453,1477586251175.84,22.30339,1477586252877.4
0,4,1,0,1,25.63462,1477586258209.01,28.16815,1477586260742.35
0,4,1,0,1,28.13477,1477586260708.41,30.66825,1477586263242.36
0,4,1,0,4,30.63518,1477586263209.34,33.16841,1477586265742.68
0,4,1,0,4,33.13503,1477586265710.08,35.66857,1477586268243.6
0,4,1,1,1,35.36862,1477586267943.31,37.04339,1477586269641.68
0,4,1,1,1,37.86868,1477586270443.17,39.54339,1477586272141.85
0,5,1,1,4,40.36879,1477586272943.71,42.04339,1477586274643.6
0,5,1,0,1,45.13602,1477586291477.23,47.66949,1477586294012.22
0,5,1,0,2,47.56960,1477586293911.97,50.10296,1477586296445.04
0,5,1,0,3,50.06969,1477586296411.57,52.60305,1477586298942.93
0,5,1,0,4,52.56963,1477586298909.77,55.10317,1477586301442.8
0,5,1,0,0,55.06991,1477586301411.42,57.60332,1477586303944.76
0,5,1,0,4,57.56998,1477586303911.27,60.10342,1477586306443.38
0,5,1,0,3,59.80348,1477586306144.04,62.37027,1477586308710.45
0,5,1,1,3,62.30367,1477586308643.84,63.98339,1477586310342.96
0,5,1,0,0,64.87051,1477586311210.25,67.37057,1477586313710.25
0,5,1,1,0,67.07048,1477586313410.26,69.02339,1477586315376.24
0,5,0,0,3,69.57066,1477586315910.76,71.22340,1477586317576.58
0,4,0,0,0,72.03742,1477586318376.14,73.74339,1477586320110.46
0,4,1,0,2,77.03772,1477586325411.27,79.57128,1477586327946.33
0,4,1,0,0,79.53773,1477586327911.34,82.07124,1477586330446.94
0,4,1,0,3,82.03790,1477586330412.19,84.57137,1477586332945.87
0,4,1,0,0,84.27142,1477586332646.8,86.80479,1477586335179.05
0,4,1,1,2,86.77155,1477586335146.73,88.46339,1477586336844.93
0,4,1,0,1,89.27164,1477586337646.74,91.80517,1477586340179.64
0,4,1,0,2,91.80517,1477586340178.97,94.30518,1477586342679.1
0,4,1,1,0,94.03847,1477586342411.26,95.76339,1477586344145.54
0,4,0,1,2,96.67204,1477586345045.82,99.20547,1477586347579.65
0,3,0,0,0,98.90540,1477586347279.13,100.66340,1477586349046.04
0,3,1,0,4,103.90570,1477586354314.93,106.47250,1477586356881.38
0,3,0,0,3,106.40580,1477586356815.03,108.56340,1477586358981.39
0,3,1,0,1,108.80590,1477586359215.22,111.33960,1477586361748.91
0,3,1,0,0,111.30600,1477586361716.46,113.83960,1477586364247.25
0,3,1,0,2,113.80630,1477586364214.45,116.33970,1477586366747.7
0,3,1,1,1,116.30640,1477586366715.93,117.96340,1477586368383.59
0,3,0,0,3,118.80650,1477586369215.92,120.46340,1477586370881.96
0,2,0,1,2,121.04010,1477586371447.88,123.57350,1477586373983.49
0,2,1,0,1,126.04030,1477586378482.73,128.57400,1477586381017.06
0,2,1,0,1,128.54040,1477586380980.91,131.07390,1477586383516.42
0,2,1,0,0,130.80730,1477586383248.9,133.34070,1477586385781.39
0,2,1,1,1,133.24070,1477586385683.08,135.22340,1477586387681.53
0,2,1,0,4,135.74080,1477586388182.8,138.27440,1477586390717.35
0,2,1,0,0,138.24090,1477586390682.43,140.77510,1477586393218.36
0,2,1,0,1,140.74110,1477586393183.03,143.27470,1477586395718.52
0,2,1,1,0,143.24130,1477586395682.84,144.96340,1477586397417.41
0,2,1,0,4,145.50810,1477586397950.85,148.00820,1477586400450.88
0,3,1,1,0,148.00820,1477586400450.26,149.70340,1477586402151.28
0,3,1,0,3,153.00780,1477586407484.65,155.50840,1477586409985.82
0,3,1,0,3,155.24130,1477586409716.19,157.77470,1477586412249.85
0,3,1,0,1,157.70820,1477586412183.53,160.24160,1477586414717.2
0,3,1,0,4,160.20830,1477586414685.33,162.74180,1477586417218.8
0,3,1,0,1,162.70840,1477586417185.49,165.24190,1477586419717.63
0,3,1,0,3,165.20850,1477586419684.1,167.74190,1477586422216.11
0,3,1,0,2,167.70860,1477586422184.45,170.24200,1477586424716.27
0,3,1,1,1,169.97540,1477586424450.22,171.62340,1477586426115.85
0,3,1,1,3,172.47560,1477586426949.92,174.12340,1477586428616.04
0,3,1,0,1,174.97560,1477586429450.24,177.50920,1477586431983.94
0,3,0,0,2,177.47570,1477586431950.67,179.12340,1477586433616.59
0,2,0,0,4,179.70930,1477586434184.09,181.36340,1477586435851.5
