%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 4
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,34,16,0,0,19,pabdccanbomcabmhnabjilpkococckilbmblaeiabcanpbed,011011101001110001100000010110001010000000000000
1,37,14,3,0,21,caiapdbjgjkbcleckcejmaepmkgdbabacocaobobbgagjpbc,010100100001100001000100000010111011010000000000
2,39,16,2,0,22,calcobkadbblfnajcbagincilmpccanfhjpabogbndbcpeab,110101010110001011100010000011000001000100000000
3,38,16,2,0,21,mcglbcjmambabaobccdnjpmojjdacedddadabbcallcbocel,010011001011100111000000000110000100111000000000
4,29,13,1,0,16,cacmaldphbdiombacncbhgfboacihalkphiciaolbbbblacj,111010000100001110110001010001000000000000000000
5,35,15,0,0,21,enlaibkibenchcgoaafhbcallmgnbcbechlbamcalgdoacba,000101001001010011001110000011101001000000000000
6,32,15,1,0,17,cbigegaabceacahbedodnkbhcojabhckbmhpdalmcicmlabb,110000111101110100000000100110101000000000000000
7,33,16,2,0,16,nbkacacblfcdacabnmkojiibabcckdihbagjdjdndebhdcbc,010111110010111100000000111100000100000000000000
8,31,14,0,0,18,eaabcbcnheajknndfbefabckdofjcmabibcnncnabfjadcoa,011111100010000001001110000010110000000000000000
9,34,14,3,0,18,kbcamdnkdacbkbcaoeihpebnljaccaiiabcppkbbflibeccj,010100000100011100000010001111001110000000000000
10,36,13,4,0,20,naailclpbmbfkiccifmiapgchabbmbmjacjbacccjebknaej,011001001010001100001001000000001101100000000000
11,29,16,0,0,14,efdhpajcbohbcabfanhcbanpcaaocbhcnleebkapapmbcjhh,000001011001111010011100111011000000000000000000
