%Recollect Version 2.3. Scene/Level: , Game Number: 000
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
4,1,2,0.3,1,3,1,4.087646,1486402744197,-1,-1,3.553955,1486402743665
4,2,2,0.3,1,3,3,7.187744,1486402747298,-1,-1,6.620605,1486402746734
4,3,2,0.3,1,0,2,10.25415,1486402750364,-1,-1,9.720703,1486402749833
4,4,2,0.3,1,1,3,13.3208,1486402753431,13.95435,1486402754064,12.75439,1486402752867
4,5,2,0.3,1,0,1,16.3877,1486402756497,-1,-1,15.82104,1486402755934
4,6,2,0.3,1,0,0,19.42163,1486402759531,-1,-1,18.88794,1486402759001
4,7,2,0.3,1,2,3,22.52148,1486402762631,-1,-1,21.95483,1486402762068
4,8,2,0.3,1,2,3,25.58838,1486402765698,-1,-1,25.05493,1486402765167
4,9,2,0.3,1,0,2,28.68848,1486402768798,-1,-1,28.12183,1486402768234
4,10,2,0.3,1,0,1,31.75537,1486402771865,-1,-1,31.18872,1486402771301
4,11,2,0.3,1,0,0,34.85547,1486402774965,-1,-1,34.28882,1486402774402
4,12,2,0.3,0,2,2,37.8562,1486402777966,39.02246,1486402779132,37.35571,1486402777468
4,13,2,0.3,1,1,0,40.95581,1486402781066,41.9895,1486402782100,40.3894,1486402780502
4,14,2,0.3,1,2,0,44.02271,1486402784132,-1,-1,43.45605,1486402783570
4,15,2,0.3,1,1,0,47.0896,1486402787199,47.78979,1486402787900,46.55615,1486402786669
4,16,2,0.3,1,0,2,50.15649,1486402790266,-1,-1,49.62305,1486402789735
4,17,2,0.3,1,1,0,53.18994,1486402793300,54.29004,1486402794400,52.65723,1486402792769
4,1,3,0.3,1,3,1,64.99048,1486402805100,-1,-1,64.42383,1486402804535
4,2,3,0.3,1,3,3,68.05786,1486402808168,-1,-1,67.49072,1486402807606
4,3,3,0.3,1,3,2,71.12427,1486402811234,-1,-1,70.59082,1486402810704
4,4,3,0.3,1,2,3,74.15771,1486402814267,-1,-1,73.62451,1486402813737
4,5,3,0.3,1,0,1,77.25781,1486402817368,-1,-1,76.69116,1486402816804
4,6,3,0.3,0,2,3,80.32471,1486402820434,81.55835,1486402821668,79.75806,1486402819870
4,7,3,0.3,1,1,3,83.3916,1486402823501,85.2583,1486402825368,82.82544,1486402822937
4,8,3,0.3,0,1,1,86.45825,1486402826568,-1,-1,85.89185,1486402826004
4,9,3,0.3,1,0,2,89.49194,1486402829602,-1,-1,88.95923,1486402829071
4,10,3,0.3,1,2,1,92.52612,1486402832636,-1,-1,91.99219,1486402832104
4,11,3,0.3,1,1,1,95.62549,1486402835735,96.69214,1486402836802,95.05884,1486402835173
4,12,3,0.3,1,0,3,98.69238,1486402838802,-1,-1,98.12573,1486402838238
4,13,3,0.3,1,2,2,101.7925,1486402841902,-1,-1,101.2258,1486402841339
4,14,3,0.3,1,1,1,104.8262,1486402844936,105.7263,1486402845836,104.2927,1486402844406
4,15,3,0.3,1,0,0,107.8933,1486402848003,-1,-1,107.3264,1486402847439
4,16,3,0.3,0,1,2,110.9602,1486402851070,-1,-1,110.4263,1486402850539
4,17,3,0.3,0,1,1,114.0598,1486402854170,-1,-1,113.4932,1486402853605
4,18,3,0.3,0,2,1,117.127,1486402857237,118.1602,1486402858270,116.5603,1486402856674
4,1,2,0.3,1,3,1,123.9939,1486402864104,-1,-1,123.4604,1486402863571
4,2,2,0.3,1,3,2,127.094,1486402867204,-1,-1,126.5273,1486402866640
