%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1487962253132,1487962256133,1487962265270
1,G4,G,4,1487962266800,1487962269801,1487962277472
2,3W5,W,35,1487962279000,1487962283502,1487962288671
3,T7L,LT,7,1487962290201,1487962294702,1487962302060
4,1JA,AJ,1,1487962303585,1487962308086,1487962313604
0,F4,F,4,1487962323936,1487962326938,1487962331158
1,1J,J,1,1487962332687,1487962335688,1487962339946
2,A7,A,7,1487962341471,1487962344472,1487962348326
3,L1H,HL,1,1487962349854,1487962354356,1487962363688
4,T2S,ST,2,1487962365222,1487962369723,1487962378816
5,K43,K,34,1487962380339,1487962384841,1487962390306
6,R5B2,BR,25,1487962391806,1487962397808,1487962405183
7,N3L9,LN,39,1487962406708,1487962412710,1487962424242
8,5V8P,PV,58,1487962425775,1487962431777,1487962438992
9,4M7S1,MS,147,1487962440493,1487962447995,1487962455563
10,L3E1D,DEL,13,1487962457093,1487962464596,1487962475716
11,9M6K2,KM,269,1487962477245,1487962484747,1487962497023
12,D1B5R9,BDR,159,1487962498546,1487962507548,1487962525183
13,G9T2A5,ATG,259,1487962526714,1487962535716,1487962555246
14,3W5A1G,AGW,135,1487962556780,1487962565781,1487962576445
15,B6H7A5K,ABHK,567,1487962577964,1487962588466,1487962604520
16,8H4R1C2,HCR,1248,1487962606049,1487962616551,1487962634191
17,C7B5N9Y,CY,579,1487962635717,1487962646219,1487962656719
18,3Q8D4R6F,DQR,348,1487962658252,1487962670254,1487962688459
19,P2H8F4Y6,HFP,2468,1487962689987,1487962701989,1487962718268
20,7D9T3E4S,DTY,3479,1487962719789,1487962731791,1487962742227
