%Recollect Version 2.3. Scene/Level: , Game Number: 004
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,36,19,0,0,18,cpkakbemlbcpacebbgahcpihaabobchcmpoacdcfoblnmhpa,100101000110110110101000111011010001100000000000
1,33,15,1,0,18,agbdedkblcpllcekkabcaiacbcnkfncmabanpbcialjmbdco,101000010100010001111011110000100100000000000000
2,41,19,0,0,23,cpbeabicheahgannmmcdcbnaebbfcnpmhocnaaembbcljfca,101011010010010000101101011010000010110011000000
3,40,18,0,0,23,ciidcajngibebgalalibpcnjaocbgdgbclcahmafbmaapbck,100011000010101010010100101100011011001010000000
4,40,17,2,0,22,bclfbajgcaebfnhbfhcclaoaihbekoaoeecafcbkcbbmooja,100011001101000100110101001000100011001010000000
5,38,17,1,0,21,anmbabgckhckbckalcobgabliacifgekhcalmobdcbaonojc,100011010010110101010110011000000110001000000000
6,38,18,0,0,21,daglccnbbfaknmlbfphhaadcbmclagbcklcaldbjmfpcebca,010011011010000100001101101010110011001000000000
7,40,19,0,0,22,aeefbagbmjhdkkccachlpagbbcoocfgakagjibbcbocdcjan,100011010000001111000101110010010100011110000000
8,38,19,1,0,19,caoaibjobhncbjmaalkfhlgcpjbpcbhaccboabahejkeaocd,100101001001100110000001001011011110111000000000
9,37,17,0,0,21,iainacbcfkbbholdpoahafcbcfbcfinagbloicfabcjpcblg,010011110011000000101011101100010100010000000000
10,28,14,3,0,12,nblaiaeechicphkbeabcagcbcaabclmlnkbgomigcjjcajbe,010101000001000100110011111110000000000000000000
11,37,18,0,0,20,bilciiacnbemiacegbjppclkabaaakhcjkebbcehabhcieea,100100110100011001000100111110010001110000000000
