%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1487963712748,1487963719580
1,1,34,34,0,1487963720581,1487963726680
2,0,15,15,0,1487963731382,1487963737680
2,1,73,73,0,1487963738649,1487963744781
2,2,164,164,0,1487963745782,1487963755281
2,3,705,705,0,1487963756250,1487963764516
2,4,2173,2173,0,1487963765484,1487963776149
2,5,1504,1504,0,1487963777118,1487963788583
2,6,42350,42350,0,1487963789585,1487963801917
2,7,24061,24061,0,1487963802919,1487963814951
2,8,061743,061743,0,1487963815953,1487963830435
2,9,625037,625037,0,1487963831405,1487963845270
2,10,7152305,1723505,0,1487963846238,1487963871705
2,11,3157264,3157264,0,1487963872707,1487963889072
2,12,64527631,64527361,0,1487963890074,1487963909306
2,13,05631742,05637142,0,1487963910308,1487963931941
3,0,60,06,0,1487963938277,1487963944275
3,1,24,42,0,1487963945277,1487963951343
4,0,25,52,0,1487963958311,1487963964476
4,1,63,36,0,1487963965478,1487963971477
4,2,574,475,0,1487963972446,1487963980477
4,3,207,702,0,1487963981479,1487963989744
4,4,7305,5037,0,1487963990746,1487964000778
4,5,4130,0314,0,1487964001747,1487964011813
4,6,35741,14753,0,1487964012814,1487964028080
4,7,70526,62507,0,1487964029049,1487964047982
4,8,607251,152706,0,1487964048983,1487964073016
4,9,270643,346072,0,1487964074017,1487964092983
4,10,0416327,7236140,0,1487964093986,1487964111118
4,11,5632041,1402365,0,1487964112120,1487964131252
4,12,48256132,2316584,0,1487964132254,1487964153721
4,13,04523765,56734520,0,1487964154689,1487964182822
