%Recollect Version 2.3. Scene/Level: , Session: 20, GameNumber: 7
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,1,1,1487972328510,1487972330243
1,1,1,0,0,1487972331243,1487972332943
1,2,1,0,0,1487972333911,1487972334544
1,3,1,1,1,1487972335544,1487972336877
2,0,1,0,0,1487972339544,1487972340577
2,1,1,1,1,1487972341577,1487972342244
2,2,1,0,0,1487972343244,1487972343844
2,3,1,1,1,1487972344812,1487972345644
2,4,1,0,0,1487972346644,1487972347178
2,5,1,1,1,1487972348178,1487972348744
2,6,1,0,0,1487972349745,1487972350311
2,7,1,1,1,1487972351311,1487972351877
2,8,1,1,1,1487972352845,1487972353411
2,9,1,0,0,1487972354378,1487972354945
2,10,1,1,1,1487972355945,1487972356544
2,11,1,0,0,1487972357545,1487972358078
3,0,0,1,0,1487972359912,1487972360645
3,1,0,0,1,1487972361645,1487972362478
3,2,0,0,1,1487972363479,1487972364111
3,3,0,1,0,1487972365079,1487972365745
4,0,0,1,0,1487972367696,1487972368262
4,1,0,1,0,1487972369229,1487972369762
4,2,0,0,1,1487972370729,1487972371262
4,3,0,1,0,1487972372262,1487972372796
4,4,0,1,0,1487972373763,1487972374362
4,5,0,0,1,1487972375362,1487972375862
4,6,0,0,1,1487972376863,1487972377463
4,7,0,0,1,1487972378463,1487972379063
4,8,0,1,0,1487972380063,1487972380596
4,9,0,0,1,1487972381596,1487972382163
4,10,0,0,1,1487972383163,1487972383763
4,11,0,1,0,1487972384764,1487972385430
5,0,1,1,1,1487972387414,1487972388180
5,1,1,0,0,1487972389180,1487972390047
5,2,0,0,1,1487972391014,1487972391880
5,3,0,1,0,1487972392880,1487972393680
6,0,1,0,0,1487972395447,1487972396381
6,1,1,1,1,1487972397380,1487972397947
6,2,0,1,0,1487972398947,1487972399747
6,3,0,0,1,1487972400747,1487972401548
6,4,0,1,0,1487972402547,1487972403181
6,5,1,1,1,1487972404181,1487972404880
6,6,0,0,1,1487972405848,1487972406514
6,7,1,1,1,1487972407514,1487972408114
6,8,1,0,0,1487972409114,1487972409847
6,9,1,1,1,1487972410848,1487972411414
6,10,0,1,0,1487972412415,1487972412981
6,11,1,0,0,1487972413981,1487972414848
6,12,1,1,1,1487972415848,1487972416648
6,13,1,1,1,1487972417650,1487972418315
6,14,0,0,1,1487972419315,1487972420049
6,15,1,0,0,1487972421050,1487972421882
6,16,0,0,1,1487972422882,1487972423715
6,17,0,1,0,1487972424716,1487972425482
6,18,1,0,0,1487972426482,1487972427282
6,19,1,0,0,1487972428282,1487972428949
6,20,1,1,1,1487972429916,1487972430582
6,21,0,1,0,1487972431582,1487972432382
6,22,0,1,0,1487972433382,1487972434016
6,23,1,0,0,1487972435016,1487972435749
6,24,1,0,0,1487972436749,1487972437416
6,25,0,0,1,1487972438383,1487972439049
6,26,1,1,1,1487972440050,1487972440817
6,27,0,0,1,1487972441817,1487972442583
6,28,1,0,0,1487972443583,1487972444283
6,29,0,0,1,1487972445283,1487972446049
6,30,1,1,1,1487972447050,1487972447817
6,31,0,1,0,1487972448817,1487972449583
6,32,0,0,1,1487972450550,1487972451316
6,33,0,1,0,1487972452317,1487972453384
6,34,1,0,0,1487972454384,1487972455085
6,35,0,0,1,1487972456084,1487972456817
6,36,0,0,1,1487972457784,1487972458517
6,37,0,1,0,1487972459517,1487972460184
6,38,1,0,0,1487972461185,1487972461884
6,39,0,1,0,1487972462884,1487972463551
6,40,1,0,0,1487972464551,1487972465250
6,41,0,1,0,1487972466251,1487972466884
6,42,1,1,1,1487972467884,1487972468584
6,43,1,1,1,1487972469584,1487972470317
6,44,0,0,1,1487972471285,1487972472118
6,45,0,1,0,1487972473086,1487972474051
6,46,0,0,1,1487972475018,1487972475651
6,47,1,1,1,1487972476652,1487972477385
