%Recollect Version 2.3. Scene/Level: , Game Number: 003
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,DB,DB,,,0,1488394640459,,1488394642818,1488394644752
3,1,2,87,87,,,0,1488394646757,,1488394649085,1488394651152
3,2,3,D14,D14,,,0,1488394653157,,1488394656686,1488394658386
3,3,3,3D1,3D1,,,0,1488394660357,,1488394663853,1488394665753
10,0,0,,,0,0,0,1488394677388,1488394677388,1488394663853,1488394683921
10,1,0,,,0,0,0,1488394685921,1488394685921,1488394663853,1488394687121
10,2,0,,,1,1,0,1488394689122,1488394689121,1488394663853,1488394690554
10,3,0,,,0,0,0,1488394692522,1488394692522,1488394663853,1488394693854
10,4,0,,,0,0,0,1488394695856,1488394695856,1488394663853,1488394698322
10,5,0,,,1,0,0,1488394700322,1488394700322,1488394663853,1488394702122
10,6,0,,,0,0,0,1488394704123,1488394704123,1488394663853,1488394705688
10,7,0,,,1,1,0,1488394707690,1488394707690,1488394663853,1488394710922
10,8,0,,,0,0,0,1488394712891,1488394712890,1488394663853,1488394715422
10,9,0,,,1,1,0,1488394717423,1488394717423,1488394663853,1488394718989
10,10,0,,,1,1,0,1488394720957,1488394720957,1488394663853,1488394722756
10,11,0,,,1,1,0,1488394724757,1488394724757,1488394663853,1488394726690
10,12,0,,,0,0,0,1488394728690,1488394728690,1488394663853,1488394729890
10,13,0,,,1,1,0,1488394731891,1488394731891,1488394663853,1488394733057
10,14,0,,,0,0,0,1488394735058,1488394735058,1488394663853,1488394736324
10,15,0,,,0,0,0,1488394738324,1488394738324,1488394663853,1488394739757
13,0,2,E8,E8,01,01,0,1488394747129,1488394752496,1488394753763,1488394756092
13,1,2,7D,7E,10,10,0,1488394758063,1488394763997,1488394764931,1488394766558
13,2,2,6E,6E,01,01,0,1488394768564,1488394773330,1488394777498,1488394778926
14,0,5,42CD8,42DD8,00011,00011,0,1488394785331,1488394798632,1488394799732,1488394805062
14,1,3,CD4,CD4,010,011,0,1488394807032,1488394816033,1488394818668,1488394822895
14,2,2,C9,C9,10,10,0,1488394824867,1488394829901,1488394831202,1488394833229
14,3,3,E30,E32,111,111,0,1488394835201,1488394843635,1488394846768,1488394849563
14,4,5,0B637,0B36,11011,11011,0,1488394851536,1488394865470,1488394867369,1488394871732
14,5,4,C64E,C94E,0000,0100,0,1488394873736,1488394886470,1488394887772,1488394891399
14,6,2,17,17,10,10,0,1488394893404,1488394901304,1488394902671,1488394905433
14,7,5,736CE,736CE,01101,01101,0,1488394907438,1488394920972,1488394922105,1488394926868
14,8,3,21E,21E,010,010,0,1488394928839,1488394937039,1488394938474,1488394940702
14,9,4,AF43,AF43,1010,1010,0,1488394942706,1488394952707,1488394953609,1488394955703
14,10,4,460E,460E,1010,1010,0,1488394957674,1488394968308,1488394969809,1488394972037
14,11,2,0E,0E,10,10,0,1488394974009,1488394979442,1488394981676,1488394984737
