%Recollect Version 2.3. Scene/Level: , Game Number: 006
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,6,1488396012377,-1,1488396011844
6,0,2,1,1,0,4,1488396015411,-1,1488396014880
6,0,3,1,1,0,1,1488396018477,-1,1488396017946
6,0,4,1,1,0,5,1488396021478,-1,1488396020980
6,0,5,1,1,0,0,1488396024511,-1,1488396024014
6,0,6,1,1,0,7,1488396027545,-1,1488396027047
6,0,7,1,1,0,6,1488396030578,-1,1488396030048
6,0,8,1,1,1,6,1488396033612,1488396034078,1488396033081
6,0,9,1,0,1,6,1488396036645,-1,1488396036115
6,0,10,1,1,1,6,1488396039679,1488396040412,1488396039181
6,0,11,1,1,0,0,1488396042746,-1,1488396042215
6,1,1,1,1,3,4,1488396047446,-1,1488396046914
6,1,2,1,1,0,2,1488396050512,-1,1488396049982
6,1,3,1,1,1,2,1488396053546,1488396054213,1488396053015
6,1,4,1,1,0,5,1488396056580,-1,1488396056049
6,1,5,1,1,0,3,1488396059646,-1,1488396059115
6,1,6,1,1,0,7,1488396062713,-1,1488396062182
6,1,7,1,1,0,2,1488396065747,-1,1488396065250
6,1,8,1,1,0,6,1488396068814,-1,1488396068283
6,1,9,1,1,1,6,1488396071848,1488396072581,1488396071350
6,1,10,1,1,0,0,1488396074914,-1,1488396074383
6,1,11,1,1,1,0,1488396077948,1488396078681,1488396077417
6,1,12,1,1,1,0,1488396080981,1488396081848,1488396080451
6,1,13,1,1,0,4,1488396084048,-1,1488396083517
6,1,14,1,1,0,6,1488396087115,-1,1488396086584
6,1,15,1,1,0,3,1488396090148,-1,1488396089618
