%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 1
%MatrixReasoning:Stage,ProblemNumber,CurrentResponse,CorrectResponse,NavigationDirection,TimeOfResponse
2,0,7,7,0,1488399668504
2,1,1,1,0,1488399676872
2,2,1,2,0,1488399685905
2,2,2,2,0,1488399697372
2,0,2,2,0,1488399726808
2,0,2,2,1,1488399727641
2,1,4,4,0,1488399731408
2,1,4,4,1,1488399732041
2,2,6,6,0,1488399737142
2,2,6,6,1,1488399737809
2,3,7,7,0,1488399743576
2,3,7,7,1,1488399744575
2,4,4,4,0,1488399748609
2,4,4,4,1,1488399749975
2,5,6,6,0,1488399758176
2,5,6,6,1,1488399758842
2,6,-1,1,-1,1488399764076
2,5,6,6,1,1488399767610
2,6,3,1,0,1488399784778
2,6,1,1,0,1488399793945
2,6,1,1,1,1488399795678
2,7,5,7,0,1488399809179
2,7,5,7,1,1488399811412
2,8,4,4,0,1488399815079
2,8,4,4,1,1488399816013
2,9,-1,3,-1,1488399817179
2,8,7,4,0,1488399819480
2,8,4,4,0,1488399823880
2,8,4,4,1,1488399825146
2,9,-1,3,-1,1488399826846
2,8,4,4,1,1488399828514
2,9,3,3,0,1488399833980
2,9,3,3,1,1488399834514
2,10,7,7,0,1488399842081
2,10,7,7,1,1488399843281
2,11,1,1,0,1488399867315
2,11,1,1,1,1488399868749
2,12,4,6,0,1488399885118
2,12,6,6,0,1488399900084
2,12,6,6,1,1488399941419
2,13,4,4,0,1488399952621
2,13,4,4,1,1488399953988
2,14,1,4,0,1488399973522
2,14,1,4,1,1488399980589
2,15,2,5,0,1488400045392
2,15,6,5,0,1488400060394
2,15,2,5,0,1488400065960
2,15,2,5,1,1488400075661
2,16,4,6,0,1488400190034
2,16,4,6,1,1488400191434
2,17,3,3,0,1488400223902
2,17,3,3,1,1488400225836
2,18,2,2,0,1488400242471
2,18,2,2,1,1488400246837
2,19,3,5,0,1488400266004
2,19,3,5,1,1488400272806
2,20,5,0,0,1488400283206
2,20,5,0,1,1488400288206
2,21,5,5,0,1488400320075
2,21,5,5,1,1488400320774
2,22,5,5,0,1488400332309
2,22,5,5,1,1488400335742
2,23,0,1,0,1488400346109
2,23,0,1,1,1488400346775
2,24,0,0,0,1488400357710
2,24,0,0,1,1488400360843
2,25,7,5,0,1488400371511
2,25,7,5,1,1488400373444
2,26,3,3,0,1488400400712
2,26,3,3,1,1488400403712
2,27,6,6,0,1488400414780
2,27,6,6,1,1488400419581
2,28,2,1,0,1488400434281
2,28,1,1,0,1488400440081
2,28,1,1,1,1488400441281
2,29,2,2,0,1488400451982
2,29,2,2,1,1488400452915
2,30,0,0,0,1488400463049
2,30,0,0,1,1488400463682
2,31,2,2,0,1488400511052
2,31,2,2,1,1488400514052
2,32,5,0,0,1488400534086
2,32,5,0,1,1488400537920
2,33,6,6,0,1488400558654
2,33,6,6,1,1488400559187
2,34,3,3,0,1488400644462
2,34,3,3,1,1488400646062
2,35,0,0,0,1488400655763
2,35,0,0,1,1488400657930
2,36,2,2,0,1488400698465
2,36,2,2,1,1488400698965
2,37,3,3,0,1488400711033
2,37,4,3,0,1488400714899
2,37,3,3,0,1488400720100
2,37,3,3,1,1488400742868
2,38,4,4,0,1488400764369
2,38,4,4,1,1488400769136
2,39,2,6,0,1488400821306
2,39,2,6,1,1488400823072
2,40,7,7,0,1488400843940
2,40,7,7,1,1488400844673
2,41,5,5,0,1488400887110
