%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 3
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,8D,8D,,,0,1488401498098,,1488401500460,1488401503627
3,1,2,25,25,,,0,1488401505632,,1488401507961,1488401510494
3,2,3,B70,B70,,,0,1488401512498,,1488401515994,1488401517795
3,3,3,BF3,BF3,,,0,1488401519799,,1488401523295,1488401525695
10,0,0,,,1,1,0,1488401565798,1488401565798,1488401523295,1488401569031
10,1,0,,,0,0,0,1488401571032,1488401571032,1488401523295,1488401572864
10,2,0,,,1,1,0,1488401574865,1488401574865,1488401523295,1488401577032
10,3,0,,,1,1,0,1488401579032,1488401579032,1488401523295,1488401581798
10,4,0,,,1,1,0,1488401583767,1488401583767,1488401523295,1488401585432
10,5,0,,,0,0,0,1488401587432,1488401587432,1488401523295,1488401588832
10,6,0,,,0,0,0,1488401590833,1488401590832,1488401523295,1488401592199
10,7,0,,,1,1,0,1488401594200,1488401594200,1488401523295,1488401595866
10,8,0,,,0,0,0,1488401597866,1488401597866,1488401523295,1488401599199
10,9,0,,,0,0,0,1488401601200,1488401601200,1488401523295,1488401603866
10,10,0,,,0,0,0,1488401605867,1488401605867,1488401523295,1488401607500
10,11,0,,,1,1,0,1488401609500,1488401609500,1488401523295,1488401611300
10,12,0,,,0,0,0,1488401613300,1488401613300,1488401523295,1488401614667
10,13,0,,,0,0,0,1488401616668,1488401616668,1488401523295,1488401621367
10,14,0,,,1,1,0,1488401623368,1488401623368,1488401523295,1488401625934
10,15,0,,,1,1,0,1488401627934,1488401627934,1488401523295,1488401630301
13,0,2,62,62,11,11,0,1488401706243,1488401712577,1488401715677,1488401723107
13,1,2,48,48,11,11,0,1488401725110,1488401730578,1488401731979,1488401734373
13,2,2,89,89,10,10,0,1488401736378,1488401741778,1488401743013,1488401744936
14,0,2,AB,AB,00,00,0,1488401760526,1488401765326,1488401767428,1488401772723
14,1,5,EB4C6,EB486,01001,01001,0,1488401774727,1488401790528,1488401791830,1488401798908
14,2,4,480C,840C,0111,011Z,0,1488401800912,1488401812712,1488401817046,1488401828309
14,3,3,38D,58D,110,Z10,0,1488401830315,1488401842647,1488401845982,1488401852077
14,4,3,8C2,8C2,101,101,0,1488401854082,1488401863049,1488401864949,1488401868244
14,5,5,41BD9,41BC9,01010,01010,0,1488401870250,1488401884617,1488401886050,1488401891079
14,6,4,32F0,23F0,0110,0110,0,1488401893085,1488401903885,1488401905353,1488401909547
14,7,5,62C97,62C7,10111,10111,0,1488401911551,1488401926019,1488401928086,1488401933715
14,8,3,5B0,6BC0,001,001,0,1488401935719,1488401944225,1488401945755,1488401952316
14,9,4,34C8,2CC7,0011,0011,0,1488401954323,1488401967521,1488401970123,1488401985384
14,10,2,CB,CB,00,00,0,1488401987356,1488401992056,1488401993058,1488401995652
14,11,2,9B,9B,10,10,0,1488401997656,1488402002457,1488402003692,1488402006019
