%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 6
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,7,1488405807350,-1,1488405806817
6,0,2,1,1,1,7,1488405810384,1488405811284,1488405809854
6,0,3,1,1,0,5,1488405813450,-1,1488405812920
6,0,4,1,1,0,2,1488405816451,-1,1488405815954
6,0,5,1,1,0,3,1488405819484,-1,1488405818987
6,0,6,1,1,1,3,1488405822551,1488405823284,1488405822019
6,0,7,1,1,0,2,1488405825618,-1,1488405825087
6,0,8,1,1,0,4,1488405828685,-1,1488405828154
6,0,9,1,1,0,7,1488405831751,-1,1488405831221
6,0,10,1,1,1,7,1488405834785,1488405835619,1488405834256
6,0,11,1,1,0,4,1488405837852,-1,1488405837321
6,1,1,1,1,3,5,1488405842519,-1,1488405842020
6,1,2,1,1,0,1,1488405845586,-1,1488405845055
6,1,3,1,1,0,2,1488405848652,-1,1488405848122
6,1,4,1,1,0,3,1488405851686,-1,1488405851155
6,1,5,1,1,1,3,1488405854753,1488405855720,1488405854222
6,1,6,1,1,1,3,1488405857786,1488405858853,1488405857256
6,1,7,1,1,0,6,1488405860820,-1,1488405860290
6,1,8,1,1,1,6,1488405863853,1488405864520,1488405863323
6,1,9,1,1,0,0,1488405866854,-1,1488405866356
6,1,10,1,1,1,0,1488405869920,1488405870754,1488405869389
6,1,11,1,1,0,7,1488405872954,-1,1488405872423
6,1,12,1,1,0,4,1488405875987,-1,1488405875458
6,1,13,1,1,0,6,1488405879021,-1,1488405878490
6,1,14,1,1,1,6,1488405882054,1488405882821,1488405881557
6,1,15,1,1,0,4,1488405885121,-1,1488405884592
6,1,16,1,1,0,7,1488405888188,-1,1488405887658
6,1,17,1,1,0,1,1488405891221,-1,1488405890691
6,1,18,1,1,0,0,1488405894256,-1,1488405893724
6,1,19,1,1,0,5,1488405897322,-1,1488405896791
6,1,20,1,1,0,6,1488405900389,-1,1488405899858
6,1,21,1,1,1,6,1488405903423,1488405904289,1488405902925
6,2,1,2,1,3,6,1488405909890,-1,1488405909390
6,2,2,2,1,3,7,1488405912956,-1,1488405912430
6,2,3,2,1,0,2,1488405915989,-1,1488405915459
6,2,4,2,1,1,7,1488405918990,1488405920557,1488405918492
6,2,5,2,1,0,3,1488405922057,-1,1488405921526
6,2,6,2,1,0,4,1488405925123,-1,1488405924593
6,2,7,2,1,0,2,1488405928190,-1,1488405927659
6,2,8,2,1,1,4,1488405931190,1488405932391,1488405930693
6,2,9,2,1,1,2,1488405934257,1488405935058,1488405933727
6,2,10,2,1,0,1,1488405937291,-1,1488405936760
6,2,11,2,1,0,7,1488405940358,-1,1488405939827
6,2,12,2,0,0,4,1488405943391,1488405944592,1488405942893
6,3,1,2,0,3,7,1488405949391,-1,1488405948892
6,3,2,2,0,3,2,1488405952458,-1,1488405951928
6,3,3,2,1,0,6,1488405955492,-1,1488405954962
6,3,4,2,1,1,2,1488405958559,1488405959659,1488405958028
6,3,5,2,1,0,5,1488405961593,-1,1488405961062
6,3,6,2,1,0,3,1488405964659,-1,1488405964128
6,3,7,2,1,1,5,1488405967692,1488405969226,1488405967162
6,3,8,2,1,0,2,1488405970726,-1,1488405970227
6,3,9,2,1,0,0,1488405973793,-1,1488405973268
6,3,10,2,1,0,7,1488405976827,-1,1488405976329
6,3,11,2,1,1,0,1488405979893,1488405980993,1488405979363
6,3,12,2,1,0,2,1488405982927,-1,1488405982396
6,3,13,2,1,1,0,1488405985993,1488405987394,1488405985463
6,3,14,2,1,0,4,1488405988994,-1,1488405988496
6,3,15,2,0,0,5,1488405992061,1488405993494,1488405991530
