%Recollect Version 2.3. Scene/Level: , Game Number: 006
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,4,1486431233233,-1,1486431232701
6,0,2,1,1,1,4,1486431236300,1486431237067,1486431235770
6,0,3,1,1,1,4,1486431239333,1486431239867,1486431238802
6,0,4,1,1,0,7,1486431242334,-1,1486431241836
6,0,5,1,1,0,2,1486431245401,-1,1486431244870
6,0,6,1,1,1,2,1486431248434,1486431248935,1486431247904
6,0,7,1,1,0,0,1486431251467,-1,1486431250937
6,0,8,1,1,0,7,1486431254468,-1,1486431253970
6,0,9,1,1,0,5,1486431257535,-1,1486431257004
6,0,10,1,1,0,3,1486431260568,-1,1486431260038
6,0,11,1,1,0,7,1486431263602,-1,1486431263071
6,1,1,1,1,3,0,1486431268802,-1,1486431268269
6,1,2,1,1,0,4,1486431271869,-1,1486431271338
6,1,3,1,1,1,4,1486431274936,1486431275503,1486431274405
6,1,4,1,1,0,6,1486431277969,-1,1486431277438
6,1,5,1,1,0,7,1486431281003,-1,1486431280472
6,1,6,1,1,1,7,1486431284036,1486431284870,1486431283539
6,1,7,1,1,0,6,1486431287103,-1,1486431286573
6,1,8,1,1,0,3,1486431290170,-1,1486431289639
6,1,9,1,1,1,3,1486431293237,1486431294037,1486431292706
6,1,10,1,1,0,6,1486431296270,-1,1486431295739
6,1,11,1,1,0,5,1486431299304,-1,1486431298773
6,1,12,1,1,0,4,1486431302371,-1,1486431301840
6,1,13,1,1,0,7,1486431305438,-1,1486431304906
6,1,14,1,1,1,7,1486431308504,1486431309271,1486431307973
6,1,15,1,1,0,0,1486431311571,-1,1486431311040
6,1,16,1,1,1,0,1486431314604,1486431315205,1486431314074
