%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 19
%D2:Action,Row,Character,TimeOfResponse
1,0,0,1488417410349
1,0,1,1488417410650
1,0,2,1488417412916
1,0,6,1488417414350
1,0,7,1488417415883
1,0,9,1488417416383
1,0,10,1488417417117
1,0,12,1488417417717
1,0,17,1488417419550
1,0,19,1488417420350
1,0,20,1488417421417
1,0,21,1488417422250
1,0,22,1488417423051
1,0,24,1488417423850
1,0,27,1488417425550
1,0,29,1488417427318
1,0,33,1488417428951
9,0,-1,1488417429486
1,1,2,1488417431418
1,1,6,1488417432251
1,1,8,1488417433084
1,1,10,1488417434084
1,1,12,1488417434784
1,1,18,1488417437251
1,1,21,1488417438118
1,1,22,1488417439351
1,1,23,1488417439685
1,1,24,1488417440218
1,1,25,1488417440951
1,1,26,1488417441985
1,1,28,1488417442919
1,1,31,1488417445018
1,1,33,1488417445618
1,1,34,1488417446486
1,1,36,1488417447052
1,1,37,1488417447719
1,1,40,1488417448785
1,1,42,1488417449518
1,1,43,1488417450052
9,1,-1,1488417450486
-1,1,46,1488417450786
1,2,3,1488417452886
1,2,5,1488417453519
1,2,6,1488417454086
1,2,9,1488417455152
2,2,9,1488417455652
1,2,10,1488417456453
1,2,13,1488417457819
1,2,15,1488417458453
1,2,17,1488417459086
2,2,17,1488417459652
1,2,16,1488417459886
1,2,17,1488417460156
1,2,21,1488417461419
1,2,23,1488417461952
1,2,24,1488417462387
1,2,26,1488417463053
1,2,30,1488417464319
1,2,32,1488417464988
2,2,32,1488417465719
1,2,31,1488417465985
1,2,34,1488417466653
1,2,36,1488417467419
1,2,37,1488417468920
1,2,39,1488417469286
1,2,41,1488417470053
-1,2,40,1488417470587
2,2,41,1488417470953
1,2,40,1488417471186
1,2,41,1488417471420
9,2,-1,1488417471488
1,3,0,1488417473489
1,3,2,1488417474720
1,3,3,1488417475787
1,3,4,1488417476787
1,3,6,1488417477353
1,3,12,1488417479120
1,3,14,1488417479854
1,3,16,1488417480620
1,3,17,1488417481054
1,3,18,1488417481587
1,3,24,1488417483487
1,3,25,1488417483754
1,3,29,1488417485355
1,3,30,1488417486354
1,3,36,1488417488754
1,3,38,1488417489454
2,3,38,1488417489988
1,3,37,1488417490254
1,3,38,1488417490488
1,3,39,1488417490988
2,3,39,1488417491454
1,3,42,1488417492354
9,3,-1,1488417492489
1,4,1,1488417494388
1,4,2,1488417494688
1,4,3,1488417495254
1,4,8,1488417496624
1,4,9,1488417497455
1,4,13,1488417498488
1,4,15,1488417499388
1,4,16,1488417499888
1,4,17,1488417500423
1,4,28,1488417503122
1,4,29,1488417503321
1,4,30,1488417504388
1,4,33,1488417505089
2,4,33,1488417506022
1,4,32,1488417506388
1,4,34,1488417506788
1,4,35,1488417507155
1,4,38,1488417508122
1,4,39,1488417508789
1,4,42,1488417509989
1,4,44,1488417510956
1,4,46,1488417511356
2,4,46,1488417512123
1,4,45,1488417512422
1,4,46,1488417512622
1,4,47,1488417513089
9,4,-1,1488417513490
1,5,0,1488417514556
1,5,6,1488417517256
1,5,8,1488417517956
1,5,10,1488417518722
1,5,11,1488417519190
1,5,13,1488417519823
1,5,15,1488417520556
1,5,19,1488417521990
1,5,22,1488417522856
1,5,24,1488417523590
1,5,26,1488417524289
1,5,28,1488417524956
1,5,29,1488417526290
1,5,33,1488417528456
1,5,35,1488417529423
1,5,37,1488417529990
2,5,37,1488417530624
1,5,36,1488417530990
1,5,39,1488417531823
1,5,40,1488417532890
1,5,41,1488417533390
9,5,-1,1488417534491
-1,5,43,1488417534724
1,6,0,1488417536790
1,6,1,1488417537124
1,6,2,1488417537524
1,6,4,1488417538324
1,6,8,1488417539957
1,6,11,1488417540924
2,6,11,1488417541457
1,6,12,1488417541824
1,6,14,1488417542624
1,6,15,1488417543491
2,6,15,1488417543992
1,6,17,1488417544624
1,6,23,1488417547424
1,6,25,1488417548324
1,6,29,1488417549791
1,6,31,1488417550258
2,6,31,1488417550891
1,6,30,1488417551224
1,6,32,1488417551658
1,6,34,1488417552859
1,6,36,1488417553292
1,6,37,1488417553858
-1,6,35,1488417555292
9,6,-1,1488417555492
1,7,2,1488417558092
1,7,6,1488417560091
1,7,7,1488417560592
1,7,8,1488417561158
1,7,11,1488417562259
1,7,15,1488417564892
1,7,17,1488417565825
1,7,19,1488417566959
1,7,20,1488417567325
1,7,25,1488417569360
1,7,27,1488417570026
1,7,29,1488417570859
1,7,33,1488417572292
2,7,33,1488417573026
1,7,32,1488417573359
1,7,33,1488417573626
1,7,34,1488417574594
1,7,36,1488417575426
9,7,-1,1488417576493
-1,7,37,1488417576660
1,8,1,1488417578260
1,8,2,1488417579161
1,8,3,1488417579693
1,8,7,1488417581260
2,8,7,1488417581859
1,8,9,1488417582994
1,8,10,1488417583460
1,8,12,1488417584060
1,8,14,1488417585061
1,8,15,1488417585660
1,8,17,1488417586727
1,8,18,1488417587060
1,8,20,1488417588227
1,8,23,1488417589460
1,8,25,1488417590260
1,8,30,1488417592461
1,8,32,1488417593694
2,8,32,1488417594327
1,8,32,1488417594560
-1,8,31,1488417595094
2,8,32,1488417595427
1,8,31,1488417595694
1,8,32,1488417595927
9,8,-1,1488417597495
-1,8,37,1488417598161
1,9,0,1488417599394
1,9,4,1488417600527
1,9,8,1488417601527
1,9,10,1488417602427
1,9,12,1488417603061
1,9,16,1488417604627
1,9,19,1488417606028
1,9,21,1488417606628
1,9,23,1488417607761
2,9,23,1488417608428
1,9,22,1488417608728
1,9,23,1488417609028
1,9,24,1488417609461
1,9,25,1488417610028
1,9,26,1488417610528
1,9,31,1488417612362
1,9,32,1488417612728
1,9,37,1488417614461
1,9,39,1488417615161
2,9,39,1488417615895
1,9,38,1488417616228
1,9,39,1488417616528
1,9,41,1488417617562
1,9,43,1488417618495
9,9,-1,1488417618499
1,10,0,1488417620296
1,10,3,1488417621528
1,10,7,1488417622562
1,10,9,1488417623129
1,10,10,1488417623929
1,10,13,1488417625596
1,10,14,1488417626129
1,10,15,1488417626529
1,10,16,1488417627463
1,10,19,1488417628430
2,10,19,1488417628929
1,10,22,1488417630229
1,10,23,1488417630596
1,10,24,1488417631330
1,10,25,1488417631863
1,10,29,1488417633163
1,10,32,1488417634130
1,10,36,1488417635963
1,10,41,1488417637163
9,10,-1,1488417639499
-1,10,47,1488417639529
1,11,3,1488417641930
1,11,4,1488417642563
1,11,6,1488417643430
1,11,7,1488417643931
1,11,8,1488417644396
1,11,13,1488417647597
1,11,14,1488417647930
1,11,19,1488417649397
1,11,20,1488417650064
1,11,21,1488417650497
1,11,22,1488417650997
1,11,23,1488417651430
1,11,25,1488417652564
1,11,27,1488417653131
2,11,27,1488417653630
1,11,30,1488417655164
1,11,33,1488417656531
1,11,35,1488417657231
1,11,36,1488417657764
1,11,37,1488417658264
1,11,40,1488417659397
1,11,42,1488417660097
