%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 5
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1488417977716,1488417983715
1,1,34,34,0,1488417984716,1488417991481
2,0,52,52,0,1488417998717,1488418004616
2,1,36,36,0,1488418005617,1488418011816
2,2,368,368,0,1488418012818,1488418020550
2,3,208,208,0,1488418021552,1488418029083
2,4,2306,2306,0,1488418030085,1488418041118
2,5,5047,5047,0,1488418042119,1488418051585
2,6,41075,41075,0,1488418052586,1488418065085
2,7,31620,31620,0,1488418066087,1488418077820
2,8,281376,281376,0,1488418078822,1488418092854
2,9,816508,816508,0,1488418093855,1488418108821
2,10,4806317,8046137,0,1488418109823,1488418125222
2,11,0851680,0851680,0,1488418126224,1488418142857
2,12,47081536,48015367,0,1488418143859,1488418162158
2,13,25408016,25408106,0,1488418163160,1488418184159
3,0,60,06,0,1488418193128,1488418199126
3,1,24,42,0,1488418200128,1488418205927
4,0,51,15,0,1488418209995,1488418215828
4,1,37,73,1,1488418216830,1488418224494
4,2,630,036,0,1488418225463,1488418233428
4,3,580,085,0,1488418234431,1488418242162
4,4,5683,3865,0,1488418243164,1488418252729
4,5,2841,1482,0,1488418253731,1488418263630
4,6,47812,21874,0,1488418264633,1488418276298
4,7,03415,51430,0,1488418277299,1488418289898
4,8,507613,316705,0,1488418290900,1488418304733
4,9,073280,082340,0,1488418305701,1488418327434
4,10,4083671,1763084,0,1488418328402,1488418346968
4,11,8027308,8037280,0,1488418347969,1488418366202
