%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1487009680550,1487009683551,1487009688988
1,G4,G,4,1487009690518,1487009693519,1487009697068
2,3W5,W,35,1487009698601,1487009703102,1487009708518
3,T7L,LT,7,1487009710018,1487009714520,1487009718538
4,1JA,AJ,1,1487009720069,1487009724571,1487009728555
0,F4,F,4,1487009731319,1487009734321,1487009737620
1,1J,J,1,1487009739120,1487009742122,1487009745921
2,A7,A,7,1487009747454,1487009750455,1487009753971
3,L1H,HL,1,1487009755504,1487009760008,1487009763680
4,T2S,ST,2,1487009765205,1487009769708,1487009774072
5,K43,K,34,1487009775605,1487009780107,1487009784022
6,R5B2,BR,25,1487009785556,1487009791558,1487009803303
7,N3L9,NL,39,1487009804824,1487009810825,1487009817756
8,5V8P,PV,58,1487009819275,1487009825276,1487009832592
9,4M7S1,MS,147,1487009834092,1487009841594,1487009848148
10,L3E1D,EDL,13,1487009849676,1487009857178,1487009866431
11,9M6K2,KM,269,1487009867960,1487009875463,1487009884069
12,D1B5R9,BRD,159,1487009885595,1487009894597,1487009901768
13,G9T2A5,ADG,259,1487009903297,1487009912298,1487009937796
14,3W5A1G,AGW,135,1487009939315,1487009948316,1487009957649
15,B6H7A5K,BJHA,56,1487009959183,1487009969684,1487009985251
16,8H4R1C2,CHR,1248,1487009986784,1487009997286,1487010030276
17,C7B5N9Y,BCN,579,1487010031803,1487010042305,1487010061071
18,3Q8D4R6F,BDQ,478,1487010062605,1487010074608,1487010089290
19,P2H8F4Y6,PH,267,1487010090790,1487010102793,1487010122275
20,7D9T3E4S,DHP,347,1487010123808,1487010135811,1487010159885
