%Recollect Version 2.3. Scene/Level: , Game Number: 007
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,1,1,1488391569835,1488391570735
1,1,1,1,1,1488391571735,1488391572368
1,2,1,0,0,1488391573370,1488391574101
1,3,1,0,0,1488391575102,1488391575568
2,0,1,1,1,1488391577702,1488391578202
2,1,1,0,0,1488391579169,1488391579702
2,2,1,1,1,1488391580702,1488391581168
2,3,1,0,0,1488391582169,1488391582668
2,4,1,0,0,1488391583636,1488391584169
2,5,1,1,1,1488391585169,1488391585736
2,6,1,0,0,1488391586736,1488391587235
2,7,1,0,0,1488391588236,1488391588869
2,8,1,0,0,1488391589870,1488391590469
2,9,1,1,1,1488391591470,1488391592369
2,10,1,1,1,1488391593369,1488391593903
2,11,1,1,1,1488391594903,1488391595402
3,0,0,1,0,1488391597204,1488391597937
3,1,0,0,1,1488391598937,1488391599469
3,2,0,0,1,1488391600436,1488391600936
3,3,0,1,0,1488391601937,1488391602436
4,0,0,1,0,1488391604320,1488391605753
4,1,0,1,0,1488391606720,1488391607386
4,2,0,0,1,1488391608387,1488391608887
4,3,0,0,1,1488391609887,1488391610520
4,4,0,0,1,1488391611520,1488391611987
4,5,0,1,0,1488391612954,1488391613520
4,6,0,1,1,1488391614487,1488391615087
4,7,0,0,1,1488391616087,1488391616653
4,8,0,1,0,1488391617654,1488391618187
4,9,0,0,1,1488391619187,1488391619688
4,10,0,1,0,1488391620687,1488391621255
4,11,0,0,1,1488391622254,1488391622821
5,0,1,1,1,1488391624871,1488391625838
5,1,0,0,1,1488391626838,1488391627771
5,2,0,1,0,1488391628772,1488391629604
5,3,1,0,1,1488391630572,1488391631671
6,0,1,0,0,1488391633571,1488391634372
6,1,0,1,0,1488391635372,1488391635871
6,2,0,0,1,1488391636872,1488391637405
6,3,1,0,0,1488391638405,1488391639138
6,4,0,1,0,1488391640138,1488391640938
6,5,0,0,1,1488391641906,1488391642572
6,6,0,1,0,1488391643539,1488391644072
6,7,1,0,0,1488391645072,1488391645572
6,8,1,0,0,1488391646572,1488391647139
6,9,0,0,1,1488391648139,1488391648705
6,10,1,1,1,1488391649673,1488391651072
6,11,0,0,1,1488391652039,1488391652872
6,12,1,0,0,1488391653839,1488391654572
6,13,1,1,1,1488391655540,1488391656139
6,14,1,1,1,1488391657139,1488391657739
6,15,0,0,1,1488391658740,1488391659440
6,16,1,0,0,1488391660440,1488391661173
6,17,1,0,0,1488391662173,1488391663106
6,18,1,1,1,1488391664107,1488391664773
6,19,0,0,1,1488391665774,1488391666573
6,20,0,0,1,1488391667573,1488391668240
6,21,1,0,0,1488391669240,1488391670207
6,22,1,1,1,1488391671207,1488391671773
6,23,1,1,1,1488391672774,1488391673507
6,24,0,0,1,1488391674507,1488391675240
6,25,1,0,1,1488391676241,1488391676774
6,26,1,1,1,1488391677774,1488391678474
6,27,1,1,1,1488391679474,1488391680040
6,28,0,0,1,1488391681041,1488391682074
6,29,0,0,1,1488391683074,1488391683977
6,30,1,0,0,1488391684975,1488391685608
6,31,0,1,1,1488391686608,1488391687141
6,32,1,0,0,1488391688141,1488391689010
6,33,0,1,0,1488391690008,1488391691474
6,34,1,1,1,1488391692475,1488391693309
6,35,0,1,0,1488391694309,1488391695441
6,36,0,0,1,1488391696442,1488391697442
6,37,0,1,0,1488391698442,1488391699475
6,38,1,1,1,1488391700475,1488391701275
6,39,0,1,0,1488391702275,1488391703175
6,40,1,0,0,1488391704175,1488391705009
6,41,0,1,0,1488391706009,1488391706809
6,42,0,1,0,1488391707809,1488391708475
6,43,1,1,1,1488391709476,1488391710242
6,44,0,0,1,1488391711210,1488391712009
6,45,1,1,1,1488391713010,1488391713776
6,46,0,1,0,1488391714776,1488391715476
6,47,0,1,0,1488391716476,1488391717243
