%Recollect Version 2.3. Scene/Level: , Session: 10, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
5,1,4,0.3,1,3,2,15.55434,1487723206864,-1,-1,15.02205,1487723206332
5,2,4,0.3,1,3,1,18.58788,1487723209897,-1,-1,18.05456,1487723209366
5,3,4,0.3,1,3,3,21.62135,1487723212931,-1,-1,21.08791,1487723212401
5,4,4,0.3,1,3,0,24.65485,1487723215964,-1,-1,24.1215,1487723215433
5,5,4,0.3,1,2,1,27.68884,1487723218998,-1,-1,27.15503,1487723218473
5,6,4,0.3,1,0,0,30.72186,1487723222031,-1,-1,30.22172,1487723221534
5,7,4,0.3,1,2,1,33.72204,1487723225031,-1,-1,33.22195,1487723224535
5,8,4,0.3,1,0,2,36.72229,1487723228031,-1,-1,36.22216,1487723227535
5,9,4,0.3,1,0,2,39.78904,1487723231098,-1,-1,39.22244,1487723230534
5,10,4,0.3,1,0,3,42.85587,1487723234165,-1,-1,42.28933,1487723233601
5,11,4,0.3,1,0,3,45.88937,1487723237199,-1,-1,45.35602,1487723236668
5,12,4,0.3,1,1,2,48.89025,1487723240199,50.02281,1487723241333,48.38952,1487723239702
5,13,4,0.3,1,0,0,51.95638,1487723243266,-1,-1,51.42351,1487723242736
5,14,4,0.3,1,2,2,54.95655,1487723246266,-1,-1,54.45654,1487723245770
5,15,4,0.3,1,1,3,57.95672,1487723249266,58.92359,1487723250233,57.45665,1487723248769
5,16,4,0.3,1,1,2,60.99024,1487723252299,63.19062,1487723254500,60.45703,1487723251769
5,17,4,0.3,1,1,0,63.9904,1487723255300,65.39043,1487723256700,63.49032,1487723254802
5,18,4,0.3,1,0,1,66.99089,1487723258300,-1,-1,66.49054,1487723257803
5,19,4,0.3,1,1,3,70.02437,1487723261334,71.02438,1487723262334,69.52412,1487723260836
5,20,4,0.3,1,1,2,73.05779,1487723264368,75.25798,1487723266567,72.52438,1487723263836
5,1,5,0.3,1,3,2,91.42575,1487723282735,-1,-1,90.892,1487723282202
5,2,5,0.3,1,3,1,94.52531,1487723285835,-1,-1,93.95886,1487723285271
