%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 6
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,4,1487960920811,-1,1487960920311
6,0,2,1,1,0,5,1487960923845,-1,1487960923325
6,0,3,1,1,1,5,1487960926911,1487960927678,1487960926380
6,0,4,1,1,0,0,1487960929945,-1,1487960929414
6,0,5,1,1,0,1,1487960933011,-1,1487960932482
6,0,6,1,1,0,4,1487960936078,-1,1487960935548
6,0,7,1,1,1,4,1487960939112,1487960939912,1487960938581
6,0,8,1,1,0,5,1487960942145,-1,1487960941615
6,0,9,1,1,0,6,1487960945179,-1,1487960944649
6,0,10,1,1,0,1,1487960948212,-1,1487960947682
6,0,11,1,0,1,1,1487960951212,-1,1487960950715
6,1,1,1,0,3,1,1487960969780,-1,1487960969247
6,1,2,1,1,0,3,1487960972782,-1,1487960972283
6,1,3,1,1,0,6,1487960975817,-1,1487960975316
6,1,4,1,1,0,0,1487960978881,-1,1487960978350
6,1,5,1,1,0,2,1487960981881,-1,1487960981385
6,1,6,1,1,0,7,1487960984914,-1,1487960984418
6,1,7,1,1,0,4,1487960987948,-1,1487960987418
6,1,8,1,1,0,3,1487960990982,-1,1487960990484
6,1,9,1,0,1,3,1487960994048,-1,1487960993518
6,1,10,1,1,1,3,1487960997082,1487960997749,1487960996552
6,1,11,1,1,1,3,1487961000115,1487961000783,1487960999585
6,1,12,1,1,0,1,1487961003149,-1,1487961002618
6,1,13,1,1,1,1,1487961006149,1487961007316,1487961005651
6,1,14,1,1,0,2,1487961009216,-1,1487961008685
6,1,15,1,1,1,2,1487961012282,1487961013884,1487961011753
6,1,16,1,1,0,4,1487961015316,-1,1487961014786
6,1,17,1,0,1,4,1487961018350,-1,1487961017852
6,1,18,1,1,0,5,1487961021383,-1,1487961020886
6,1,19,1,1,0,0,1487961024450,-1,1487961023919
6,1,20,1,1,0,4,1487961027483,-1,1487961026957
6,1,21,1,1,0,7,1487961030484,-1,1487961029987
6,2,1,2,1,3,3,1487961065536,-1,1487961065003
6,2,2,2,1,3,2,1487961068602,-1,1487961068072
6,2,3,2,1,0,4,1487961071603,-1,1487961071105
6,2,4,2,1,0,7,1487961074670,-1,1487961074139
6,2,5,2,0,1,4,1487961077703,-1,1487961077172
6,2,6,2,1,0,1,1487961080736,-1,1487961080206
6,2,7,2,1,1,4,1487961083809,1487961084737,1487961083272
6,2,8,2,1,0,0,1487961086870,-1,1487961086340
6,2,9,2,1,0,6,1487961089903,-1,1487961089373
6,2,10,2,1,0,1,1487961092937,-1,1487961092407
6,2,11,2,0,0,4,1487961095970,1487961096871,1487961095440
6,2,12,2,1,1,1,1487961099037,1487961100237,1487961098506
6,3,1,2,1,3,6,1487961117605,-1,1487961117072
6,3,2,2,1,3,2,1487961120672,-1,1487961120140
6,3,3,2,1,0,3,1487961123673,-1,1487961123175
6,3,4,2,1,0,7,1487961126739,-1,1487961126208
6,3,5,2,0,1,3,1487961129772,-1,1487961129242
6,3,6,2,1,0,0,1487961132806,-1,1487961132277
6,3,7,2,1,0,5,1487961135808,-1,1487961135309
6,3,8,2,1,0,4,1487961138873,-1,1487961138342
6,3,9,2,1,0,7,1487961141907,-1,1487961141376
6,3,10,2,1,0,3,1487961144940,-1,1487961144410
6,3,11,2,1,1,7,1487961147940,1487961149540,1487961147443
6,3,12,2,0,1,3,1487961151007,-1,1487961150476
6,3,13,2,1,0,0,1487961154074,-1,1487961153543
6,3,14,2,1,0,2,1487961157141,-1,1487961156610
6,3,15,2,1,0,1,1487961160141,-1,1487961159643
6,3,16,2,0,1,2,1487961163208,-1,1487961162678
6,3,17,2,0,0,7,1487961166241,1487961168075,1487961165711
6,3,18,2,0,1,2,1487961169275,-1,1487961168745
6,3,19,2,1,0,5,1487961172308,-1,1487961171778
6,3,20,2,1,0,1,1487961175342,-1,1487961174813
6,3,21,2,1,0,3,1487961178409,-1,1487961177878
6,3,22,2,0,1,1,1487961181475,-1,1487961180945
6,4,1,3,0,3,7,1487961280347,-1,1487961279816
6,4,2,3,0,3,6,1487961283414,-1,1487961282886
6,4,3,3,0,3,3,1487961286481,-1,1487961285951
6,4,4,3,0,1,7,1487961289548,-1,1487961289017
6,4,5,3,1,0,1,1487961292549,-1,1487961292052
6,4,6,3,1,0,5,1487961295615,-1,1487961295084
6,4,7,3,1,0,5,1487961298648,-1,1487961298119
6,4,8,3,0,0,6,1487961301682,1487961303382,1487961301151
6,4,9,3,1,0,4,1487961304716,-1,1487961304186
6,4,10,3,0,1,5,1487961307783,-1,1487961307252
6,4,11,3,0,1,6,1487961310849,-1,1487961310319
6,4,12,3,1,0,3,1487961313883,-1,1487961313354
6,4,13,3,0,0,7,1487961316916,1487961318950,1487961316386
6,5,1,3,0,3,5,1487961335484,-1,1487961334951
6,5,2,3,0,3,7,1487961338551,-1,1487961338020
6,5,3,3,0,3,2,1487961341618,-1,1487961341087
6,5,4,3,1,0,0,1487961344684,-1,1487961344155
6,5,5,3,0,0,1,1487961347718,1487961349785,1487961347187
6,5,6,3,0,0,6,1487961350751,1487961351385,1487961350221
6,5,7,3,0,0,6,1487961353818,1487961354419,1487961353288
6,5,8,3,0,0,3,1487961356852,1487961357719,1487961356322
6,5,9,3,0,1,6,1487961359886,-1,1487961359357
6,5,10,3,0,0,1,1487961362919,1487961364719,1487961362423
6,5,11,3,0,1,3,1487961365954,-1,1487961365455
6,5,12,3,0,0,2,1487961368986,1487961369722,1487961368489
6,5,13,3,0,0,7,1487961372019,1487961372621,1487961371521
6,5,14,3,1,1,3,1487961375053,1487961376922,1487961374523
6,5,15,3,1,0,0,1487961378120,-1,1487961377592
6,5,16,3,0,0,4,1487961381120,1487961383456,1487961380623
6,5,17,3,0,0,1,1487961384188,1487961384920,1487961383657
6,5,18,3,0,0,2,1487961387221,1487961387920,1487961386724
6,5,19,3,1,0,7,1487961390254,-1,1487961389724
6,5,20,3,1,0,5,1487961393287,-1,1487961392758
6,5,21,3,0,1,2,1487961396322,-1,1487961395792
6,5,22,3,1,1,7,1487961399357,1487961399990,1487961398825
6,5,23,3,0,1,5,1487961402421,-1,1487961401892
6,6,1,1,0,3,3,1487961417023,-1,1487961416491
6,6,2,1,1,0,7,1487961420024,-1,1487961419526
6,6,3,1,1,0,3,1487961423090,-1,1487961422560
6,6,4,1,1,0,1,1487961426123,-1,1487961425593
6,6,5,1,0,1,1,1487961429157,-1,1487961428659
6,6,6,1,1,1,1,1487961432224,1487961432657,1487961431694
