%Recollect Version 2.3. Scene/Level: , Game Number: 004
%D2:Action,Row,Character,TimeOfResponse
1,0,1,1486144704319
1,0,2,1486144706152
1,0,3,1486144706719
1,0,7,1486144709352
1,0,9,1486144711119
1,0,10,1486144712686
1,0,14,1486144714387
1,0,16,1486144716186
1,0,22,1486144718186
-1,0,21,1486144718953
-1,0,21,1486144719986
9,0,-1,1486144720921
-1,0,23,1486144721653
-1,0,23,1486144722486
-1,0,23,1486144723353
1,1,0,1486144724420
1,1,4,1486144726453
1,1,5,1486144728087
1,1,8,1486144729254
1,1,10,1486144731220
1,1,12,1486144732420
1,1,15,1486144733554
1,1,16,1486144734187
1,1,17,1486144736088
1,1,22,1486144738420
1,1,23,1486144739621
1,1,24,1486144740187
1,1,25,1486144740987
1,1,26,1486144741587
9,1,-1,1486144741923
1,2,0,1486144743387
1,2,3,1486144744354
1,2,5,1486144745021
1,2,7,1486144745988
1,2,8,1486144747121
1,2,11,1486144748188
1,2,12,1486144749088
1,2,13,1486144750354
1,2,14,1486144750954
1,2,17,1486144752122
1,2,19,1486144752955
1,2,21,1486144753722
1,2,26,1486144755121
1,2,28,1486144756122
1,2,30,1486144756755
1,2,31,1486144758288
1,2,33,1486144758889
1,2,37,1486144761088
9,2,-1,1486144762923
-1,2,38,1486144763156
1,3,0,1486144764655
1,3,1,1486144765156
1,3,3,1486144765855
1,3,4,1486144766322
1,3,6,1486144767389
1,3,7,1486144767856
1,3,9,1486144768555
1,3,11,1486144769522
1,3,20,1486144773389
-1,3,19,1486144774223
1,3,27,1486144777156
1,3,29,1486144777891
1,3,31,1486144778723
1,3,32,1486144779223
1,3,33,1486144779756
1,3,36,1486144781423
1,3,38,1486144783756
9,3,-1,1486144783924
1,4,0,1486144785690
1,4,1,1486144786923
1,4,3,1486144787890
1,4,6,1486144789258
1,4,7,1486144790024
1,4,8,1486144790690
1,4,12,1486144792790
1,4,16,1486144795025
1,4,17,1486144795957
1,4,20,1486144797724
1,4,21,1486144798424
1,4,23,1486144799324
1,4,28,1486144801292
1,4,29,1486144801924
1,4,30,1486144802458
1,4,32,1486144803458
1,4,33,1486144804558
9,4,-1,1486144804925
1,5,0,1486144806625
1,5,1,1486144807158
1,5,5,1486144809359
1,5,9,1486144810725
1,5,12,1486144811625
1,5,17,1486144812925
1,5,28,1486144818025
1,5,29,1486144818892
1,5,32,1486144820759
1,5,33,1486144821192
1,5,34,1486144822059
1,5,35,1486144822625
1,5,36,1486144824126
1,5,37,1486144824826
9,5,-1,1486144825927
1,6,2,1486144828326
1,6,4,1486144829393
1,6,7,1486144831559
1,6,10,1486144832926
1,6,14,1486144835326
1,6,17,1486144836293
1,6,20,1486144837493
1,6,21,1486144838460
1,6,24,1486144840894
1,6,28,1486144841926
1,6,31,1486144843327
1,6,34,1486144844193
1,6,36,1486144845327
1,6,42,1486144846762
9,6,-1,1486144846928
1,7,2,1486144849794
1,7,7,1486144852461
1,7,9,1486144853961
1,7,13,1486144855294
1,7,14,1486144857761
1,7,24,1486144859027
1,7,27,1486144859994
1,7,29,1486144861094
1,7,32,1486144862194
1,7,34,1486144863661
1,7,37,1486144864528
1,7,39,1486144865494
1,7,44,1486144867928
9,7,-1,1486144867933
1,8,2,1486144871028
1,8,6,1486144872895
1,8,8,1486144874229
1,8,9,1486144874862
1,8,11,1486144876895
1,8,12,1486144877963
1,8,13,1486144878662
1,8,16,1486144879629
1,8,18,1486144880529
1,8,21,1486144882562
1,8,22,1486144883163
1,8,28,1486144884363
1,8,31,1486144885263
1,8,33,1486144886530
1,8,37,1486144887296
9,8,-1,1486144888930
1,9,0,1486144890429
1,9,5,1486144893396
1,9,6,1486144893930
1,9,7,1486144895963
1,9,9,1486144897596
1,9,12,1486144898796
1,9,15,1486144899763
1,9,16,1486144901797
1,9,19,1486144903231
1,9,21,1486144904130
1,9,25,1486144905098
1,9,29,1486144906930
9,9,-1,1486144909932
1,10,0,1486144911664
1,10,1,1486144912897
1,10,5,1486144915431
1,10,8,1486144916831
1,10,11,1486144917831
1,10,12,1486144919164
1,10,16,1486144920331
1,10,19,1486144921431
1,10,20,1486144921998
1,10,26,1486144924499
1,10,27,1486144925098
1,10,30,1486144925966
1,10,36,1486144928398
1,10,38,1486144929465
1,10,41,1486144930732
9,10,-1,1486144930933
1,11,2,1486144935299
1,11,4,1486144936432
1,11,6,1486144937599
1,11,8,1486144938332
1,11,10,1486144939232
1,11,17,1486144942599
1,11,18,1486144943132
1,11,22,1486144944966
1,11,24,1486144945733
1,11,27,1486144946799
1,11,29,1486144948566
1,11,34,1486144950533
1,11,37,1486144951799
