%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 1
%MatrixReasoning:Stage,ProblemNumber,CurrentResponse,CorrectResponse,NavigationDirection,TimeOfResponse
2,0,7,7,0,1488243951939
2,0,-1,7,0,1488243953506
2,0,7,7,0,1488243953872
2,1,3,1,0,1488243960206
2,1,1,1,0,1488243961539
2,2,2,2,0,1488243967040
2,0,1,1,0,1488243975440
2,0,1,1,1,1488243976773
2,1,2,2,0,1488243979235
2,1,2,2,1,1488243979833
2,2,4,4,0,1488243984148
2,2,4,4,1,1488243984846
2,3,6,6,0,1488243991346
2,3,6,6,1,1488243992680
2,4,7,7,0,1488243998447
2,4,7,7,1,1488243998880
2,5,1,1,0,1488244016848
2,5,1,1,1,1488244017381
2,6,2,3,0,1488244024515
2,6,3,3,0,1488244042850
2,6,3,3,1,1488244044116
2,7,4,4,0,1488244054417
2,7,4,4,1,1488244054851
2,8,4,7,0,1488244060184
2,8,4,7,1,1488244060650
2,9,4,4,0,1488244068418
2,9,4,4,1,1488244068917
2,10,3,3,0,1488244079552
2,10,3,3,1,1488244079919
2,11,-1,7,-1,1488244081585
2,10,3,3,1,1488244083152
2,11,1,7,0,1488244098352
2,11,1,7,1,1488244134955
2,12,1,1,0,1488244146689
2,12,1,1,1,1488244147222
2,13,6,6,0,1488244152056
2,13,6,6,1,1488244152522
2,14,4,4,0,1488244167123
2,14,4,4,1,1488244173957
2,15,7,4,0,1488244198525
2,15,4,4,0,1488244251028
2,15,4,4,1,1488244252495
2,16,5,5,0,1488244296264
2,16,5,5,1,1488244298399
2,17,0,0,0,1488244312565
2,17,0,0,1,1488244314131
2,18,3,3,0,1488244320365
2,18,3,3,1,1488244320765
2,19,2,2,0,1488244333466
2,19,2,2,1,1488244334366
2,20,4,5,0,1488244351000
2,20,5,5,0,1488244360767
2,20,5,5,1,1488244365668
2,21,0,0,0,1488244383202
2,21,0,0,1,1488244384869
2,22,5,5,0,1488244402003
2,22,5,5,1,1488244403203
2,23,5,5,0,1488244422371
2,23,5,5,1,1488244423804
2,24,1,1,0,1488244432405
2,24,1,1,1,1488244433505
2,25,0,0,0,1488244451239
2,25,0,0,1,1488244453073
2,26,1,5,0,1488244474507
2,26,1,5,1,1488244477007
2,27,3,3,0,1488244492775
2,27,3,3,1,1488244493275
2,28,6,6,0,1488244505943
2,28,6,6,1,1488244506576
2,29,-1,1,-1,1488244507743
2,28,6,6,1,1488244509776
2,29,3,1,0,1488244538879
2,29,2,1,0,1488244548245
2,29,3,1,0,1488244550311
2,29,2,1,0,1488244555812
2,29,0,1,0,1488244573413
2,29,0,1,1,1488244574113
2,30,2,2,0,1488244593781
2,30,2,2,1,1488244594815
2,31,2,0,0,1488244604481
2,31,2,0,1,1488244605314
2,32,3,2,0,1488244615315
2,32,3,2,1,1488244616348
2,33,2,0,0,1488244622582
2,33,2,0,1,1488244633716
2,34,4,6,0,1488244675085
2,34,4,6,1,1488244678218
2,35,6,3,0,1488244687619
2,35,6,3,1,1488244688219
2,36,5,0,0,1488244697020
2,36,5,0,1,1488244697653
2,37,4,2,0,1488244711254
2,37,2,2,0,1488244714954
2,37,2,2,1,1488244715855
2,38,5,3,0,1488244727788
2,38,2,3,0,1488244729288
2,38,3,3,0,1488244740956
2,38,1,3,0,1488244746222
2,38,3,3,0,1488244747889
2,38,3,3,1,1488244749522
2,39,3,4,0,1488244759390
2,39,4,4,0,1488244760723
2,39,4,4,1,1488244761690
2,40,5,6,0,1488244769957
2,40,6,6,0,1488244774757
2,40,6,6,1,1488244777891
2,41,7,7,0,1488244788125
