%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 4
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,36,0,18,4,15,lbgchdcagoapgbhaaecopbcbfdcgabakcdfbmhmfeecagcbg,100000000100000000001000000000000000100000000000
1,7,0,4,0,4,fckobcahalbhhabcigkkboeceakabdbcaopcbakfmjcajegj,000000000000000000000000000000000000000000000000
2,13,0,5,0,9,dnbiifieccbakoakbpgbaflflcfgchgaiaabjclmcbaccjbo,000000000000000000000000000000000000000000000000
3,30,2,14,4,11,icbagenbdacomcaahcbbbnnpgopakabpekcgmcoekcfbpoaa,000001001000100000000000010001100000000000000000
4,47,15,7,18,8,dcceblambabgpioacabigmcecldibfbocalaccnomleajbgj,110110101011101010101111111111110011111100010011
5,47,15,7,15,11,aabijlcnfbcpbfofdacobjgnceoffoapcbfacegebdlaacac,111011110101001001001011010111100101011100111111
6,47,18,4,18,8,icbhiojfedabceabcnaniadcbacfokjbbehacibabhfgcjjn,110011111111111111110101111100100110101111101011
7,47,15,7,20,6,amncgdcapbhbcgbbaamichfbjjdabecpagcplcejhmfimaab,011101101111111100100111110111111011111011011001
8,47,16,6,17,9,bclgcaibjamncgabjaogcbeclaoaebcojbgkeeahnbkfocha,011101001101111110101110010011110110111011110111
9,47,17,5,18,8,bbaccjjfdaaejbpdcmeceakfoojpbnocnbackbjhonaacbhc,011011100110111110110111111111110011101110111001
10,47,12,10,18,8,gddmjeciaacfbobedlabchiamobcciboacafgfbkckabdpmb,111101101001111111011110100000011100100111110011
11,47,12,10,16,10,coiadlbagcbiblijccabepabdhjmjjaajbceolcjohcneacb,011010100010101110101101110111111000011110000111
