%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 5
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1488390518092,1488390524824
1,1,34,34,0,1488390525793,1488390532658
2,0,52,52,0,1488390537160,1488390543191
2,1,36,36,0,1488390544161,1488390550493
2,2,368,368,0,1488390551461,1488390559259
2,3,208,208,0,1488390560228,1488390567893
2,4,2306,2306,0,1488390568896,1488390578461
2,5,5047,5047,0,1488390579429,1488390590661
2,6,41075,41075,1,1488390591630,1488390609528
2,7,31620,31620,0,1488390610497,1488390622562
2,8,281376,281376,0,1488390623533,1488390644298
2,9,816508,816508,0,1488390645299,1488390662932
2,10,4806317,4806317,0,1488390663933,1488390682963
2,11,0851680,08531680,0,1488390683931,1488390709331
2,12,47081536,40715321,1,1488390710332,1488390746433
2,13,25408016,425080161,0,1488390747401,1488390766451
3,0,60,60,0,1488390770187,1488390776418
3,1,24,42,0,1488390777420,1488390783119
4,0,51,15,0,1488390786887,1488390792652
4,1,37,73,0,1488390793620,1488390799553
4,2,630,036,0,1488390800522,1488390808186
4,3,580,085,0,1488390809155,1488390816787
4,4,5683,3865,0,1488390817789,1488390828621
4,5,2841,1482,0,1488390829589,1488390839988
4,6,47812,21874,0,1488390840957,1488390852822
4,7,03415,51340,1,1488390853791,1488390869790
4,8,507613,316705,0,1488390870758,1488390884858
4,9,073280,082371,0,1488390885826,1488390900625
4,10,4083671,367084,2,1488390901593,1488390923727
4,11,8027308,807423,0,1488390924695,1488390940794
