%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 7
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,0,0,1488391575180,1488391577080
1,1,1,1,1,1488391578080,1488391578780
1,2,1,1,1,1488391579780,1488391580346
1,3,1,0,0,1488391581347,1488391581913
2,0,1,0,0,1488391583647,1488391584280
2,1,1,0,0,1488391585281,1488391585847
2,2,1,0,0,1488391586815,1488391587347
2,3,1,1,1,1488391588348,1488391588947
2,4,1,0,0,1488391589914,1488391590480
2,5,1,1,1,1488391591481,1488391592014
2,6,1,0,0,1488391593014,1488391593581
2,7,1,1,1,1488391594581,1488391595114
2,8,1,1,1,1488391596114,1488391596647
2,9,1,1,1,1488391597648,1488391598181
2,10,1,0,0,1488391599181,1488391599814
2,11,1,1,1,1488391600814,1488391601315
3,0,0,1,0,1488391606016,1488391607048
3,1,0,0,1,1488391608049,1488391608648
3,2,0,1,0,1488391609648,1488391610148
3,3,0,0,1,1488391611115,1488391611648
4,0,0,1,0,1488391616965,1488391617665
4,1,0,1,0,1488391618666,1488391619233
4,2,0,0,1,1488391620232,1488391620766
4,3,0,0,1,1488391621766,1488391624266
4,4,0,1,0,1488391625266,1488391625799
4,5,0,0,1,1488391626800,1488391627299
4,6,0,1,0,1488391628299,1488391628766
4,7,0,1,0,1488391629766,1488391630366
4,8,0,0,1,1488391631366,1488391631933
4,9,0,0,1,1488391632900,1488391633466
4,10,0,0,1,1488391634467,1488391634933
4,11,0,1,0,1488391635933,1488391636533
5,0,1,0,0,1488391638550,1488391639450
5,1,1,1,1,1488391640451,1488391641050
5,2,0,1,0,1488391642050,1488391642917
5,3,0,0,1,1488391643918,1488391644617
6,0,1,1,1,1488391646317,1488391647250
6,1,1,0,0,1488391648252,1488391648850
6,2,1,1,1,1488391649851,1488391650550
6,3,0,0,1,1488391651551,1488391652317
6,4,0,1,0,1488391653317,1488391654117
6,5,1,1,1,1488391655118,1488391655684
6,6,1,0,0,1488391656651,1488391657184
6,7,0,0,1,1488391658185,1488391658951
6,8,1,1,1,1488391659951,1488391660851
6,9,0,1,0,1488391661851,1488391662684
6,10,0,0,1,1488391663685,1488391664718
6,11,0,1,0,1488391665718,1488391666452
6,12,1,0,0,1488391667452,1488391668185
6,13,0,1,0,1488391669186,1488391669951
6,14,1,0,0,1488391670952,1488391671852
6,15,0,1,0,1488391672852,1488391673586
6,16,0,1,0,1488391674585,1488391675252
6,17,1,0,0,1488391676252,1488391677053
6,18,0,1,0,1488391678052,1488391678819
6,19,1,0,0,1488391679819,1488391680619
6,20,0,0,1,1488391681620,1488391682486
6,21,1,1,1,1488391683486,1488391684419
6,22,0,0,1,1488391685391,1488391686219
6,23,1,0,0,1488391687220,1488391688119
6,24,1,1,1,1488391689120,1488391689919
6,25,1,0,0,1488391690920,1488391691586
6,26,0,1,0,1488391692587,1488391693320
6,27,0,0,1,1488391694320,1488391695120
6,28,1,0,0,1488391696120,1488391696820
6,29,0,1,0,1488391697821,1488391698553
6,30,1,0,0,1488391699521,1488391700786
6,31,1,0,0,1488391701787,1488391702420
6,32,0,0,1,1488391703420,1488391704288
6,33,0,1,0,1488391705287,1488391705854
6,34,1,1,1,1488391706854,1488391707587
6,35,0,0,1,1488391708554,1488391709321
6,36,1,1,1,1488391710321,1488391711187
6,37,1,1,1,1488391712188,1488391713087
6,38,0,1,0,1488391714088,1488391714887
6,39,0,0,1,1488391715888,1488391716554
6,40,1,1,1,1488391717555,1488391718321
6,41,0,1,0,1488391719288,1488391720088
6,42,1,1,1,1488391721088,1488391721856
6,43,0,0,1,1488391722855,1488391723621
6,44,0,0,1,1488391724622,1488391725488
6,45,1,1,1,1488391726455,1488391727321
6,46,1,0,0,1488391728289,1488391728888
6,47,0,0,1,1488391729889,1488391731455
