%Recollect Version 2.3. Scene/Level: , Game Number: 006
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,0,1486149546010,-1,1486149545510
6,0,2,1,1,1,0,1486149549077,1486149550244,1486149548548
6,0,3,1,1,0,6,1486149552110,-1,1486149551612
6,0,4,1,1,0,1,1486149555143,-1,1486149554613
6,0,5,1,1,0,4,1486149558177,-1,1486149557646
6,0,6,1,1,0,7,1486149561211,-1,1486149560680
6,0,7,1,1,0,2,1486149564244,-1,1486149563747
6,0,8,1,1,0,5,1486149567311,-1,1486149566781
6,0,9,1,1,1,5,1486149570378,1486149571178,1486149569847
6,0,10,1,1,0,4,1486149573412,-1,1486149572880
6,0,11,1,1,1,4,1486149576478,1486149577278,1486149575948
6,1,1,1,1,3,5,1486149581779,-1,1486149581279
6,1,2,1,1,0,1,1486149584812,-1,1486149584314
6,1,3,1,1,0,7,1486149587879,-1,1486149587348
6,1,4,1,1,0,2,1486149590913,-1,1486149590382
6,1,5,1,1,1,2,1486149593979,1486149594679,1486149593448
6,1,6,1,0,1,2,1486149597012,-1,1486149596482
6,1,7,1,1,1,2,1486149600013,1486149600446,1486149599516
6,1,8,1,1,0,6,1486149603079,-1,1486149602549
6,1,9,1,1,0,7,1486149606080,-1,1486149605583
6,1,10,1,1,0,0,1486149609146,-1,1486149608616
6,1,11,1,1,1,0,1486149612180,1486149612814,1486149611650
6,1,12,1,1,0,6,1486149615247,-1,1486149614716
6,1,13,1,1,0,3,1486149618280,-1,1486149617750
6,1,14,1,1,0,4,1486149621314,-1,1486149620783
6,1,15,1,1,1,4,1486149624381,1486149624914,1486149623851
6,1,16,1,1,0,0,1486149627414,-1,1486149626884
6,1,17,1,1,0,3,1486149630448,-1,1486149629918
6,1,18,1,1,0,6,1486149633481,-1,1486149632951
6,1,19,1,1,0,7,1486149636515,-1,1486149635984
6,1,20,1,1,0,4,1486149639549,-1,1486149639052
6,1,21,1,1,1,4,1486149642616,1486149643649,1486149642085
6,2,1,2,1,3,7,1486149651082,-1,1486149650550
6,2,2,2,1,3,4,1486149654116,-1,1486149653586
6,2,3,2,1,1,7,1486149657149,1486149658483,1486149656619
6,2,4,2,0,1,4,1486149660216,-1,1486149659685
6,2,5,2,1,1,7,1486149663250,1486149663650,1486149662719
6,2,6,2,1,0,3,1486149666316,-1,1486149665786
6,2,7,2,1,0,0,1486149669350,-1,1486149668821
6,2,8,2,1,0,1,1486149672383,-1,1486149671886
6,2,9,2,1,0,7,1486149675450,-1,1486149674922
6,2,10,2,1,0,6,1486149678484,-1,1486149677954
6,2,11,2,1,0,4,1486149681517,-1,1486149680987
6,2,12,2,1,0,1,1486149684584,-1,1486149684054
6,3,1,2,1,3,6,1486149691484,-1,1486149690952
6,3,2,2,1,3,0,1486149694551,-1,1486149694021
6,3,3,2,1,0,7,1486149697618,-1,1486149697088
6,3,4,2,1,0,5,1486149700652,-1,1486149700121
6,3,5,2,1,1,7,1486149703686,1486149705152,1486149703187
6,3,6,2,0,0,6,1486149706752,1486149708652,1486149706221
6,3,7,2,1,0,4,1486149709819,-1,1486149709288
6,3,8,2,1,0,0,1486149712852,-1,1486149712321
6,3,9,2,1,1,4,1486149715886,1486149716953,1486149715355
6,3,10,2,1,0,6,1486149718919,-1,1486149718423
6,3,11,2,1,0,1,1486149721986,-1,1486149721455
6,3,12,2,0,0,3,1486149725053,1486149726653,1486149724523
6,3,13,2,1,0,0,1486149728054,-1,1486149727556
6,3,14,2,1,0,6,1486149731120,-1,1486149730589
6,3,15,2,1,0,4,1486149734153,-1,1486149733623
6,3,16,2,1,1,6,1486149737187,1486149738587,1486149736657
6,3,17,2,0,1,4,1486149740254,-1,1486149739723
6,3,18,2,1,0,7,1486149743287,-1,1486149742757
6,3,19,2,1,0,5,1486149746321,-1,1486149745791
6,3,20,2,1,1,7,1486149749388,1486149750422,1486149748857
6,3,21,2,0,1,5,1486149752421,-1,1486149751891
6,3,22,2,1,0,1,1486149755455,-1,1486149754925
6,4,1,3,1,3,7,1486149770623,-1,1486149770123
6,4,2,3,1,3,3,1486149773689,-1,1486149773158
6,4,3,3,0,3,6,1486149776723,1486149777957,1486149776192
6,4,4,3,0,1,7,1486149779756,-1,1486149779225
6,4,5,3,1,0,5,1486149782790,-1,1486149782259
6,4,6,3,1,0,0,1486149785824,-1,1486149785293
6,4,7,3,1,1,7,1486149788890,1486149790024,1486149788361
6,4,8,3,1,0,3,1486149791923,-1,1486149791393
6,4,9,3,1,0,4,1486149794990,-1,1486149794460
6,4,10,3,1,0,1,1486149798058,-1,1486149797530
6,4,11,3,1,0,2,1486149801124,-1,1486149800594
6,4,12,3,1,1,4,1486149804157,1486149805258,1486149803627
6,4,13,3,1,0,3,1486149807191,-1,1486149806662
6,5,1,3,1,3,3,1486149812192,-1,1486149811659
6,5,2,3,1,3,4,1486149815225,-1,1486149814728
6,5,3,3,1,3,7,1486149818292,-1,1486149817761
6,5,4,3,1,0,6,1486149821358,-1,1486149820828
6,5,5,3,1,0,6,1486149824392,-1,1486149823862
6,5,6,3,0,0,2,1486149827459,1486149828493,1486149826928
6,5,7,3,0,0,5,1486149830526,1486149831893,1486149829995
6,5,8,3,1,0,5,1486149833559,-1,1486149833028
6,5,9,3,1,1,2,1486149836593,1486149837726,1486149836062
6,5,10,3,1,0,1,1486149839659,-1,1486149839129
6,5,11,3,1,1,5,1486149842693,1486149844027,1486149842162
6,5,12,3,1,0,0,1486149845760,-1,1486149845229
6,5,13,3,1,1,1,1486149848793,1486149850294,1486149848263
6,5,14,3,1,0,4,1486149851860,-1,1486149851330
6,5,15,3,1,0,3,1486149854927,-1,1486149854396
6,5,16,3,1,0,5,1486149857961,-1,1486149857463
6,5,17,3,0,1,4,1486149860994,-1,1486149860463
6,5,18,3,0,0,2,1486149864061,1486149865361,1486149863530
6,5,19,3,1,0,0,1486149867062,-1,1486149866564
6,5,20,3,1,1,4,1486149870128,1486149871629,1486149869597
6,5,21,3,1,0,6,1486149873161,-1,1486149872631
6,5,22,3,0,1,0,1486149876195,-1,1486149875665
6,5,23,3,0,0,5,1486149879195,1486149881229,1486149878700
6,6,1,1,0,3,7,1486149885845,-1,1486149885313
6,6,2,1,1,0,4,1486149888879,-1,1486149888349
6,6,3,1,1,0,5,1486149891912,-1,1486149891382
6,6,4,1,1,1,5,1486149894979,1486149895779,1486149894449
6,6,5,1,1,1,5,1486149898013,1486149900214,1486149897483
6,6,6,1,1,1,5,1486149901046,1486149902280,1486149900550
6,6,7,1,1,0,3,1486149904080,-1,1486149903583
6,6,8,1,1,0,6,1486149907147,-1,1486149906617
6,6,9,1,1,0,2,1486149910181,-1,1486149909683
6,6,10,1,1,0,0,1486149913247,-1,1486149912716
6,6,11,1,1,0,3,1486149916247,-1,1486149915750
6,6,12,1,1,0,4,1486149919314,-1,1486149918785
6,6,13,1,1,1,4,1486149922315,1486149923648,1486149921817
6,6,14,1,1,1,4,1486149925381,1486149926781,1486149924850
6,6,15,1,1,0,1,1486149928382,-1,1486149927884
6,6,16,1,1,0,3,1486149931448,-1,1486149930917
6,6,17,1,1,1,3,1486149934448,1486149936082,1486149933951
6,6,18,1,1,0,6,1486149937482,-1,1486149936984
6,6,19,1,1,0,4,1486149940515,-1,1486149940018
6,6,20,1,1,0,3,1486149943582,-1,1486149943052
6,6,21,1,1,0,7,1486149946649,-1,1486149946118
6,7,1,2,1,3,7,1486149952516,-1,1486149951984
6,7,2,2,1,3,1,1486149955549,-1,1486149955021
6,7,3,2,1,2,1,1486149958616,-1,1486149958086
6,7,4,2,0,0,7,1486149961650,1486149962416,1486149961120
6,7,5,2,1,2,7,1486149964717,-1,1486149964186
6,7,6,2,1,0,4,1486149967751,-1,1486149967220
6,7,7,2,1,1,7,1486149970817,1486149971884,1486149970287
6,7,8,2,1,0,2,1486149973850,-1,1486149973320
6,7,9,2,1,1,7,1486149976884,1486149978084,1486149976353
6,7,10,2,0,0,4,1486149979951,1486149981884,1486149979420
6,7,11,2,0,0,3,1486149982984,1486149984651,1486149982454
6,7,12,2,1,2,7,1486149986018,-1,1486149985487
6,7,13,2,1,2,4,1486149989052,-1,1486149988520
6,7,14,2,0,1,7,1486149992118,-1,1486149991587
6,7,15,2,1,1,4,1486149995152,1486149996285,1486149994621
6,7,16,2,0,2,4,1486149998185,1486150000487,1486149997654
6,7,17,2,1,1,4,1486150001219,1486150002619,1486150000688
6,7,18,2,1,1,4,1486150004285,1486150005286,1486150003755
6,7,19,2,1,0,6,1486150007352,-1,1486150006821
6,7,20,2,1,2,6,1486150010386,-1,1486150009855
6,7,21,2,1,0,3,1486150013419,-1,1486150012888
6,7,22,2,0,0,2,1486150016453,1486150017653,1486150015922
6,8,1,3,0,3,7,1486150021920,-1,1486150021388
6,8,2,3,0,3,1,1486150024953,-1,1486150024422
6,8,3,3,0,3,6,1486150027987,1486150029920,1486150027457
6,8,4,3,1,1,7,1486150030987,1486150032887,1486150030489
6,8,5,3,0,1,1,1486150034054,-1,1486150033523
6,8,6,3,1,2,1,1486150037088,-1,1486150036590
6,8,7,3,0,2,6,1486150040154,1486150041288,1486150039623
6,8,8,3,0,2,7,1486150043221,1486150044154,1486150042690
6,8,9,3,1,1,1,1486150046254,1486150047588,1486150045723
6,8,10,3,1,0,2,1486150049322,-1,1486150048791
6,8,11,3,1,0,4,1486150052355,-1,1486150051857
6,8,12,3,1,1,1,1486150055422,1486150057055,1486150054891
6,8,13,3,0,0,5,1486150058488,1486150060922,1486150057958
6,8,14,3,0,1,4,1486150061489,-1,1486150060991
6,8,15,3,0,2,4,1486150064555,1486150065489,1486150064025
6,8,16,3,1,0,7,1486150067623,-1,1486150067093
6,8,17,3,0,0,1,1486150070656,1486150072356,1486150070158
6,8,18,3,0,0,1,1486150073723,1486150074823,1486150073193
6,8,19,3,0,1,7,1486150076756,-1,1486150076226
6,8,20,3,0,2,7,1486150079790,1486150080623,1486150079292
6,8,21,3,1,0,5,1486150082823,-1,1486150082292
6,8,22,3,1,2,1,1486150085857,-1,1486150085326
6,8,23,3,0,0,2,1486150088858,1486150090990,1486150088361
