%Recollect Version 2.3; iPad: ; User: RLB107; Session: 4
%Span:2,Continent,Difficulty,Game Number,Highest Span Length Achieved,Current Span Length
%NBack:4,Game Number,Scene/Level Played,Highest N Level Achieved,Current N Level
%MultiObject:8,Continent,Difficulty,Game Number,Highest Number of Concurrent Bugs,Current Number of Concurrent Bugs
%LameBack:32,Algorithm,Session,GameNumber,Accuracy,EndingNLevel,HighestNLevel,BayesianEstimates
32,2,4,0,0.625,2,3,algoNotBayesian
32,2,4,0,0.8571429,2,3,algoNotBayesian
32,2,4,0,0.5714286,2,3,algoNotBayesian
32,2,4,0,0.7142857,2,3,algoNotBayesian
32,2,4,0,0.8333333,2,3,algoNotBayesian
32,2,4,0,0.3333333,2,3,algoNotBayesian
32,2,4,0,0.2857143,2,3,algoNotBayesian
32,2,4,0,0.75,2,3,algoNotBayesian
32,2,4,0,0.625,2,3,algoNotBayesian
32,2,4,0,0.3333333,2,3,algoNotBayesian
32,2,4,0,0.5,2,3,algoNotBayesian
32,2,4,0,0.8333333,2,3,algoNotBayesian
32,2,4,0,0.8333333,2,3,algoNotBayesian
32,2,4,0,0.5714286,2,3,algoNotBayesian
32,2,4,0,0.4444444,2,3,algoNotBayesian
32,2,5,0,0.5,2,3,algoNotBayesian
32,2,5,0,0.5,2,3,algoNotBayesian
32,2,5,0,0.2727273,2,3,algoNotBayesian
32,2,5,0,0.5454546,2,3,algoNotBayesian
32,2,5,0,0.5714286,2,3,algoNotBayesian
32,2,5,0,0.2857143,2,3,algoNotBayesian
32,2,5,0,0.5714286,2,3,algoNotBayesian
32,2,5,0,0.4444444,2,3,algoNotBayesian
32,2,5,0,0.2857143,2,3,algoNotBayesian
32,2,5,0,0.375,2,3,algoNotBayesian
32,2,5,0,0.375,2,3,algoNotBayesian
32,2,5,0,0.5,2,3,algoNotBayesian
32,2,5,0,0.5,2,3,algoNotBayesian
32,2,5,0,0.1111111,2,3,algoNotBayesian
32,2,5,0,0.625,2,3,algoNotBayesian
