%Recollect Version 2.3. Scene/Level: , Game Number: 003
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,57,57,,,0,1486149086737,,1486149089100,1486149092500
3,1,2,63,63,,,0,1486149094504,,1486149096834,1486149098968
3,2,3,02D,02D,,,0,1486149100973,,1486149104500,1486149106968
3,3,3,0FC,0FC,,,0,1486149108972,,1486149112534,1486149114734
10,0,0,,,0,0,0,1486149161106,1486149161105,1486149112534,1486149163137
10,1,0,,,1,1,0,1486149165138,1486149165138,1486149112534,1486149167571
10,2,0,,,1,1,0,1486149169571,1486149169571,1486149112534,1486149173205
10,3,0,,,0,0,0,1486149175205,1486149175205,1486149112534,1486149176872
10,4,0,,,0,0,0,1486149178872,1486149178872,1486149112534,1486149181005
10,5,0,,,0,0,0,1486149183005,1486149183005,1486149112534,1486149184872
10,6,0,,,0,0,0,1486149186872,1486149186872,1486149112534,1486149191572
10,7,0,,,1,1,0,1486149193573,1486149193573,1486149112534,1486149195972
10,8,0,,,0,0,0,1486149197973,1486149197973,1486149112534,1486149200573
10,9,0,,,1,1,0,1486149202574,1486149202574,1486149112534,1486149204706
10,10,0,,,1,1,0,1486149206707,1486149206707,1486149112534,1486149208506
10,11,0,,,1,1,0,1486149210507,1486149210507,1486149112534,1486149212540
10,12,0,,,1,1,0,1486149214541,1486149214541,1486149112534,1486149216240
10,13,0,,,0,0,0,1486149218241,1486149218241,1486149112534,1486149219607
10,14,0,,,1,1,0,1486149221574,1486149221574,1486149112534,1486149223074
10,15,0,,,1,1,0,1486149225075,1486149225074,1486149112534,1486149228107
13,0,2,7C,7C,01,01,0,1486149291666,1486149298199,1486149301400,1486149304662
13,1,2,FD,FD,10,10,0,1486149306666,1486149311834,1486149313301,1486149315196
13,2,2,04,04,10,10,0,1486149317167,1486149321667,1486149322902,1486149324563
14,0,3,E92,E92,011,011,0,1486149333068,1486149340968,1486149342102,1486149344164
14,1,4,06E8,06E8,0001,1001,0,1486149346168,1486149356835,1486149358471,1486149363032
14,2,5,7B035,7B035,11001,11001,0,1486149365003,1486149379570,1486149381038,1486149384800
14,3,2,D2,D7,00,00,0,1486149386771,1486149391904,1486149394405,1486149398101
14,4,5,DC540,DC540,11101,11101,0,1486149400106,1486149416172,1486149418273,1486149421035
14,5,2,9E,AE,00,00,0,1486149423040,1486149427740,1486149428941,1486149431869
14,6,3,430,430,110,110,0,1486149433841,1486149442541,1486149444242,1486149447670
14,7,4,0B72,0B72,0101,0101,0,1486149449675,1486149460175,1486149461309,1486149464538
14,8,4,9D3F,AD3F,0101,0101,0,1486149466543,1486149479143,1486149480443,1486149482672
14,9,2,7F,7F,00,00,0,1486149484645,1486149489610,1486149491444,1486149494106
14,10,5,426D0,425D0Z,11010,11010,1,1486149496077,1486149511478,1486149515745,1486149529375
14,11,3,E64,E64,111,111,0,1486149531380,1486149539379,1486149541746,1486149544208
