%Recollect Version 2.3. Scene/Level: , Session: 8, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
4,1,2,0.3,1,3,0,15.521,1486751419814,-1,-1,15.02097,1486751419314
4,2,2,0.3,1,3,2,18.55445,1486751422847,-1,-1,18.02114,1486751422317
4,3,2,0.3,1,0,3,21.55502,1486751425848,-1,-1,21.05456,1486751425350
4,4,2,0.3,1,2,3,24.65484,1486751428948,-1,-1,24.08829,1486751428383
4,5,2,0.3,1,1,3,27.68835,1486751431981,28.55535,1486751432848,27.15508,1486751431451
4,6,2,0.3,1,0,1,30.72185,1486751435015,-1,-1,30.18849,1486751434484
4,7,2,0.3,0,1,3,33.78862,1486751438081,-1,-1,33.22208,1486751437518
4,8,2,0.3,1,0,2,36.8222,1486751441115,-1,-1,36.28883,1486751440585
4,9,2,0.3,1,0,0,39.82236,1486751444115,-1,-1,39.32233,1486751443618
4,10,2,0.3,1,1,2,42.88921,1486751447182,45.02293,1486751449316,42.32247,1486751446618
4,11,2,0.3,1,0,1,45.92271,1486751450215,-1,-1,45.38969,1486751449686
4,12,2,0.3,1,2,0,48.95621,1486751453249,-1,-1,48.42281,1486751452718
4,13,2,0.3,1,1,1,52.02302,1486751456316,52.99005,1486751457283,51.45704,1486751455753
4,14,2,0.3,1,0,3,55.02331,1486751459316,-1,-1,54.5232,1486751458821
4,15,2,0.3,0,1,1,58.08993,1486751462383,-1,-1,57.52346,1486751461819
4,16,2,0.3,1,0,2,61.12357,1486751465416,-1,-1,60.59016,1486751464886
4,17,2,0.3,1,2,2,64.15726,1486751468450,-1,-1,63.62378,1486751467919
4,18,2,0.3,1,0,3,67.22399,1486751471517,-1,-1,66.69054,1486751470986
