%Recollect Version 2.3. Scene/Level: , Game Number: 001
%MatrixReasoning:Stage,ProblemNumber,CurrentResponse,CorrectResponse,NavigationDirection,TimeOfResponse
2,0,7,7,0,1486154498639
2,1,1,1,0,1486154502873
2,2,2,2,0,1486154509606
2,0,1,1,0,1486154521391
2,0,1,1,1,1486154522124
2,1,2,2,0,1486154524324
2,1,2,2,1,1486154525457
2,2,4,4,0,1486154528191
2,2,4,4,1,1486154529424
2,3,6,6,0,1486154536892
2,3,6,6,1,1486154537324
2,4,7,7,0,1486154541058
2,4,7,7,1,1486154541691
2,5,1,1,0,1486154554959
2,5,1,1,1,1486154555726
2,6,2,3,0,1486154559793
2,6,2,3,1,1486154581627
2,7,4,4,0,1486154593028
2,7,4,4,1,1486154593627
2,8,7,7,0,1486154602328
2,8,7,7,1,1486154603095
2,9,4,4,0,1486154610596
2,9,4,4,1,1486154611295
2,10,3,3,0,1486154616363
2,10,3,3,1,1486154616996
2,11,7,7,0,1486154633297
2,11,7,7,1,1486154635697
2,12,1,1,0,1486154645464
2,12,1,1,1,1486154646731
2,13,6,6,0,1486154653398
2,13,6,6,1,1486154654031
2,14,2,4,0,1486154671999
2,14,4,4,0,1486154695600
2,14,4,4,1,1486154696433
2,15,4,4,0,1486154733803
2,15,4,4,1,1486154735836
2,16,5,5,0,1486154748436
2,16,5,5,1,1486154749470
2,17,4,0,0,1486154757475
2,17,0,0,0,1486154762058
2,17,0,0,1,1486154768122
2,18,5,3,0,1486154776523
2,18,3,3,0,1486154777889
2,18,1,3,0,1486154778456
2,18,3,3,0,1486154779823
2,18,3,3,1,1486154782556
2,19,2,2,0,1486154802591
2,19,2,2,1,1486154803958
2,20,4,5,0,1486154812491
2,20,4,5,1,1486154817124
2,21,7,0,0,1486154827858
2,21,0,0,0,1486154832092
2,21,0,0,1,1486154832659
2,22,5,5,0,1486154838893
2,22,5,5,1,1486154841793
2,23,5,5,0,1486154853327
2,23,5,5,1,1486154854227
2,24,0,1,0,1486154869128
2,24,4,1,0,1486154872494
2,24,1,1,0,1486154877829
2,24,1,1,1,1486154880762
2,25,0,0,0,1486154893663
2,25,0,0,1,1486154895296
2,26,5,5,0,1486154905796
2,26,5,5,1,1486154907796
2,27,3,3,0,1486154923797
2,27,3,3,1,1486154927731
2,28,6,6,0,1486154940398
2,28,6,6,1,1486154941898
2,29,1,1,0,1486154959499
2,29,1,1,1,1486154977767
2,30,2,2,0,1486154996302
2,30,2,2,1,1486154997002
2,31,0,0,0,1486155011636
2,31,0,0,1,1486155016203
2,32,7,2,0,1486155024403
2,32,2,2,0,1486155027637
2,32,2,2,1,1486155029636
2,33,0,0,0,1486155043837
2,33,0,0,1,1486155045167
2,34,6,6,0,1486155065464
2,34,6,6,1,1486155066498
2,35,6,3,0,1486155085067
2,35,6,3,1,1486155085566
2,36,4,0,0,1486155095600
2,36,4,0,1,1486155103000
2,37,7,2,0,1486155113467
2,37,4,2,0,1486155137935
2,37,4,2,1,1486155140302
2,38,3,3,0,1486155165337
2,38,3,3,1,1486155166070
2,39,4,4,0,1486155204674
2,39,4,4,1,1486155206906
2,40,5,6,0,1486155223840
2,40,6,6,0,1486155225140
2,40,6,6,1,1486155227073
2,41,2,7,0,1486155255843
