%Recollect Version 2.3. Scene/Level: , Game Number: 007
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,1,1,1486158353242,1486158354542
1,1,1,1,1,1486158355543,1486158356909
1,2,1,0,0,1486158357909,1486158359176
1,3,1,0,0,1486158360176,1486158361209
2,0,1,0,0,1486158378577,1486158379244
2,1,1,0,0,1486158380244,1486158380877
2,2,1,1,1,1486158381844,1486158382578
2,3,1,1,1,1486158383577,1486158384377
2,4,1,1,1,1486158385377,1486158386111
2,5,1,0,0,1486158387111,1486158387810
2,6,1,0,0,1486158388811,1486158389511
2,7,1,1,1,1486158390511,1486158391178
2,8,1,1,1,1486158392144,1486158392911
2,9,1,0,0,1486158393911,1486158394511
2,10,1,0,0,1486158395511,1486158396211
2,11,1,1,1,1486158397212,1486158397911
3,0,0,1,0,1486158412312,1486158413179
3,1,0,1,0,1486158414179,1486158414979
3,2,0,0,1,1486158415979,1486158416746
3,3,0,0,1,1486158417748,1486158418546
4,0,0,0,1,1486158431164,1486158432264
4,1,0,1,0,1486158433263,1486158433897
4,2,0,1,0,1486158434897,1486158435730
4,3,0,1,0,1486158436730,1486158437430
4,4,0,0,1,1486158438430,1486158439363
4,5,0,1,0,1486158440364,1486158441230
4,6,0,0,1,1486158442231,1486158443030
4,7,0,0,1,1486158444031,1486158444830
4,8,0,1,0,1486158445831,1486158446664
4,9,0,0,1,1486158447631,1486158448364
4,10,0,1,0,1486158449364,1486158450131
4,11,0,0,1,1486158451131,1486158451832
5,0,1,0,0,1486158454615,1486158455514
5,1,1,1,1,1486158456516,1486158457348
5,2,0,1,0,1486158458315,1486158459014
5,3,0,0,1,1486158460015,1486158460748
6,0,1,0,0,1486158465116,1486158465915
6,1,0,0,1,1486158466915,1486158467648
6,2,1,1,1,1486158468649,1486158469515
6,3,0,0,1,1486158470515,1486158471549
6,4,1,1,1,1486158472549,1486158473483
6,5,0,1,0,1486158474482,1486158475382
6,6,1,0,0,1486158476385,1486158477449
6,7,0,1,0,1486158478449,1486158479316
6,8,0,1,0,1486158480316,1486158481416
6,9,1,0,0,1486158482417,1486158483416
6,10,1,1,1,1486158484416,1486158485383
6,11,0,1,0,1486158486383,1486158487316
6,12,1,0,0,1486158488283,1486158489250
6,13,1,0,0,1486158490251,1486158491050
6,14,1,1,1,1486158492050,1486158493117
6,15,0,0,1,1486158494117,1486158494884
6,16,1,0,0,1486158495884,1486158496717
6,17,1,1,1,1486158497717,1486158498484
6,18,0,0,1,1486158499484,1486158500350
6,19,1,0,0,1486158501351,1486158502284
6,20,1,0,0,1486158503284,1486158504284
6,21,1,1,1,1486158505284,1486158506117
6,22,0,0,1,1486158507118,1486158508051
6,23,1,0,0,1486158509051,1486158509885
6,24,0,1,0,1486158510885,1486158511751
6,25,1,1,1,1486158512751,1486158513618
6,26,1,1,1,1486158514618,1486158515484
6,27,1,0,0,1486158516485,1486158517318
6,28,0,0,1,1486158518319,1486158519251
6,29,1,1,1,1486158520252,1486158521218
6,30,1,1,1,1486158522218,1486158523285
6,31,0,1,0,1486158524285,1486158525218
6,32,0,0,1,1486158526186,1486158527085
6,33,0,1,0,1486158528085,1486158529018
6,34,1,1,1,1486158530019,1486158530952
6,35,0,0,1,1486158531952,1486158532752
6,36,1,1,1,1486158533752,1486158534686
6,37,0,0,1,1486158535686,1486158536452
6,38,0,1,0,1486158537455,1486158538319
6,39,0,1,0,1486158539319,1486158540153
6,40,1,0,0,1486158541153,1486158542219
6,41,0,0,1,1486158543220,1486158544153
6,42,0,0,1,1486158545154,1486158546020
6,43,0,1,0,1486158547020,1486158547886
6,44,1,0,0,1486158548854,1486158549786
6,45,0,1,0,1486158550787,1486158551720
6,46,0,0,1,1486158552720,1486158553620
6,47,0,1,0,1486158554620,1486158555487
