%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 4
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,10,1,4,5,1,cofgabaclnhbfibcblnaacebiaanhockbnclbcnpaoeohlam,010100011110000000000000000000000000000000000000
1,18,3,5,4,7,cebbocammmankakbnmgjegccdbangcnckifalbbagcbaiihc,100011000001100100100000000000000000000000000000
2,25,5,8,3,10,hnmbckghajbaecclpabcjbaplceloigdbebcaaabfcgenopb,100010110000011000010000010000000000000000000000
3,37,8,12,4,14,dcllcbaabbohcbagikmagccebcnpnjpdahbaccileajlppma,010010000001100100001110010000000100110000000000
4,34,5,12,2,16,fjaaoecpkkdcmglbbnnbceabcapcfcnbaadknmobkicgcebb,010000100001010000000000100101000000000000000000
5,37,6,12,5,15,mncbndffbaaccoahbagfcpbbmbaefegiachjgcdbejbaamge,001000000001100100101000000000100110110000000000
6,38,6,13,1,19,malecilcjeakdjbbcaeofcagpbbabcdniibcapcoadjkodab,000010010000000010000101000000000001001000000000
7,44,6,16,5,18,cagfklnbcajbcmbbfjdacmabeaeehlbgmacdcaibgancgofi,101000001000100000001000000010010010100010001000
8,46,6,16,3,22,lfnbnamcmabccjphhboaockbiagclclibbaacbpapiilolce,000000000001100110000100001100000000100000000010
9,44,8,13,2,22,jccbhlkhamndiadbafmcbbefkoafcnahhbcmcbeaddacckbi,010100010000001000000000000010000110100000011000
10,42,5,15,5,18,cilhkacgbbmfaaccphbbmadocfcjgajbaibjccnkmlgpbalo,100100110000001101000000000010000000010000100000
11,44,4,17,3,21,apmcbcknalbabbcchkpeahpdbdimocbdechdaacbpcljhkpa,000101000000001110000100000000000000000000001000
