%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 5
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1488246643280,1488246651978
1,1,34,,0,1488246652981,1488246667544
2,0,52,52,0,1488246723718,1488246729716
2,1,36,36,0,1488246730685,1488246737382
2,2,368,368,0,1488246738352,1488246746617
2,3,208,2038,0,1488246747620,1488246757151
2,4,2306,23061,0,1488246758120,1488246769918
2,5,5047,5047,0,1488246770888,1488246782686
2,6,41075,4015,0,1488246783688,1488246795685
2,7,31620,,0,1488246796655,1488246815753
3,0,60,06,0,1488246824290,1488246831588
3,1,24,42,0,1488246832558,1488246839288
4,0,51,15,0,1488246842325,1488246849055
4,1,37,73,1,1488246850058,1488246859722
4,2,630,036,0,1488246860726,1488246869123
4,3,580,085,0,1488246870093,1488246877923
4,4,5683,3865,0,1488246878893,1488246894458
4,5,2841,420,0,1488246895428,1488246910159
4,6,47812,21874,0,1488246911129,1488246922826
4,7,03415,51430,1,1488246923796,1488246943394
4,8,507613,316750,0,1488246944397,1488246957894
4,9,073280,07183,0,1488246958865,1488246973962
