%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 3
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,84,84,,,0,1488231094804,,1488231097131,1488231100665
3,1,2,A6,A6,,,0,1488231102638,,1488231104999,1488231106898
3,2,3,827,827,,,0,1488231108903,,1488231112433,1488231115250
3,3,3,F24,F24,,,0,1488231117222,,1488231120749,1488231122683
10,0,0,,,0,0,0,1488231180088,1488231180088,1488231120749,1488231183419
10,1,0,,,1,1,0,1488231185603,1488231185603,1488231120749,1488231189304
10,2,0,,,0,0,0,1488231191305,1488231191305,1488231120749,1488231197003
10,3,0,,,0,0,0,1488231198972,1488231198972,1488231120749,1488231200771
10,4,0,,,0,0,0,1488231202739,1488231202739,1488231120749,1488231204137
10,5,0,,,1,1,0,1488231206105,1488231206104,1488231120749,1488231208605
10,6,0,,,0,0,0,1488231210573,1488231210573,1488231120749,1488231212304
10,7,0,,,1,1,0,1488231214305,1488231214305,1488231120749,1488231217304
10,8,0,,,1,1,0,1488231219273,1488231219273,1488231120749,1488231222105
10,9,0,,,1,1,0,1488231224074,1488231224074,1488231120749,1488231227538
10,10,0,,,1,1,0,1488231229507,1488231229507,1488231120749,1488231232340
10,11,0,,,0,0,0,1488231234341,1488231234341,1488231120749,1488231236106
10,12,0,,,0,0,0,1488231238073,1488231238073,1488231120749,1488231239339
10,13,0,,,0,0,0,1488231241308,1488231241308,1488231120749,1488231243906
10,14,0,,,1,1,0,1488231245907,1488231245907,1488231120749,1488231247873
10,15,0,,,1,1,0,1488231249840,1488231249840,1488231120749,1488231252874
13,0,2,47,47,10,10,0,1488231313531,1488231319550,1488231320750,1488231323594
13,1,2,43,43,11,11,0,1488231325784,1488231330318,1488231331751,1488231333678
13,2,2,82,82,10,10,0,1488231335649,1488231340184,1488231341252,1488231342678
14,0,4,6A40,6A40,0111,0111,0,1488231361885,1488231371153,1488231372018,1488231375430
14,1,4,246C,246C,1001,1001,0,1488231377401,1488231386769,1488231387736,1488231390565
14,2,5,BD0AE,BD0AE,00010,00010,0,1488231392537,1488231404305,1488231405272,1488231408582
14,3,2,50,50,10,10,0,1488231410554,1488231414714,1488231415511,1488231418896
14,4,3,F45,F45,100,110,0,1488231420867,1488231427502,1488231428435,1488231430430
14,5,4,65D8,65D8,0101,0101,0,1488231432618,1488231441685,1488231442518,1488231444080
14,6,3,BE4,BE4,110,110,0,1488231446270,1488231452836,1488231453602,1488231455432
14,7,5,1F408,1F408,01101,01101,1,1488231457654,1488231469522,1488231470489,1488231482949
14,8,5,DF05C,DF05C,01101,01101,0,1488231485188,1488231497305,1488231498040,1488231500434
14,9,2,0D,0D,00,00,0,1488231502623,1488231506722,1488231507355,1488231509151
14,10,3,FA7,FA7,010,010,0,1488231511157,1488231518022,1488231518758,1488231520352
14,11,2,DE,DE,10,10,0,1488231522324,1488231526556,1488231527123,1488231530085
