%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 0
%D2:Action,Row,Character,TimeOfResponse
1,0,0,1488243757882
1,0,3,1488243760847
1,0,5,1488243762381
1,0,7,1488243763383
1,0,13,1488243766749
1,0,20,1488243771715
9,0,-1,1488243776450
1,1,0,1488243778915
1,1,4,1488243781682
1,1,7,1488243783248
1,1,10,1488243785117
1,1,11,1488243785984
1,1,12,1488243786751
1,1,13,1488243787251
1,1,14,1488243787718
1,1,16,1488243789151
1,1,18,1488243790782
1,1,19,1488243791982
1,1,21,1488243793582
-1,1,20,1488243794683
-1,1,20,1488243795185
-1,1,20,1488243795551
-1,1,20,1488243795984
-1,1,20,1488243796284
-1,1,20,1488243797185
9,1,-1,1488243797453
-1,1,20,1488243797484
-1,1,20,1488243797651
1,2,0,1488243799752
1,2,2,1488243800585
1,2,4,1488243801283
1,2,8,1488243803350
1,2,9,1488243804017
1,2,12,1488243805550
1,2,14,1488243806552
1,2,15,1488243807585
1,2,17,1488243808386
1,2,19,1488243809452
1,2,22,1488243811287
1,2,24,1488243812884
1,2,26,1488243813717
1,2,28,1488243814650
-1,2,27,1488243815451
-1,2,27,1488243816084
1,2,29,1488243817919
9,2,-1,1488243818452
1,3,0,1488243820619
1,3,3,1488243821920
1,3,4,1488243822453
1,3,5,1488243823484
1,3,7,1488243824551
-1,3,6,1488243824818
-1,3,6,1488243825317
1,3,8,1488243827084
1,3,10,1488243828153
1,3,14,1488243830720
1,3,15,1488243831486
1,3,16,1488243833153
1,3,18,1488243834118
1,3,20,1488243835018
1,3,23,1488243836385
1,3,24,1488243836985
1,3,25,1488243837485
1,3,27,1488243839353
9,3,-1,1488243839453
1,4,0,1488243841019
1,4,3,1488243843352
1,4,4,1488243844086
1,4,5,1488243845152
1,4,6,1488243846052
1,4,10,1488243848319
1,4,11,1488243849288
1,4,12,1488243850087
1,4,13,1488243850921
1,4,15,1488243852121
1,4,16,1488243852821
1,4,18,1488243853886
1,4,20,1488243855053
1,4,21,1488243855619
1,4,24,1488243856953
-1,4,23,1488243857853
1,4,27,1488243860021
9,4,-1,1488243860454
1,5,1,1488243862755
1,5,4,1488243864355
1,5,6,1488243865455
1,5,8,1488243866553
1,5,9,1488243867553
1,5,10,1488243868087
1,5,11,1488243868554
1,5,13,1488243869587
1,5,15,1488243870620
1,5,18,1488243871922
1,5,19,1488243873055
1,5,20,1488243873255
1,5,21,1488243874256
1,5,22,1488243875122
1,5,23,1488243875889
1,5,24,1488243876622
1,5,25,1488243877254
1,5,27,1488243878488
1,5,29,1488243879554
1,5,30,1488243880487
9,5,-1,1488243881454
1,6,1,1488243883290
1,6,4,1488243884821
1,6,5,1488243885755
1,6,6,1488243886188
1,6,8,1488243887390
1,6,9,1488243888621
1,6,10,1488243889355
1,6,12,1488243890388
1,6,13,1488243891188
1,6,14,1488243891721
1,6,15,1488243892388
1,6,18,1488243894223
1,6,19,1488243895057
1,6,20,1488243895790
1,6,21,1488243896391
1,6,22,1488243897224
1,6,25,1488243898357
1,6,26,1488243899188
1,6,27,1488243900189
1,6,28,1488243901155
1,6,29,1488243902222
9,6,-1,1488243902455
1,7,3,1488243905057
1,7,4,1488243906324
1,7,6,1488243907691
1,7,8,1488243908624
1,7,9,1488243909389
1,7,10,1488243910356
1,7,12,1488243911789
1,7,14,1488243912423
1,7,15,1488243913589
1,7,16,1488243914359
1,7,17,1488243915292
1,7,18,1488243916092
1,7,24,1488243918991
1,7,26,1488243919925
1,7,27,1488243920956
1,7,32,1488243923457
9,7,-1,1488243923459
1,8,2,1488243927559
1,8,4,1488243929126
1,8,5,1488243931224
1,8,10,1488243933724
1,8,11,1488243934291
1,8,12,1488243935024
1,8,13,1488243935891
1,8,16,1488243937592
1,8,17,1488243938226
1,8,19,1488243939459
1,8,21,1488243940493
1,8,22,1488243941327
1,8,23,1488243942124
1,8,24,1488243942358
1,8,27,1488243943725
9,8,-1,1488243944457
1,9,2,1488243946624
-1,9,1,1488243947260
1,9,4,1488243948526
1,9,5,1488243949460
1,9,10,1488243952227
1,9,11,1488243953092
1,9,12,1488243953792
1,9,13,1488243954525
1,9,14,1488243955092
1,9,15,1488243955792
1,9,16,1488243956558
1,9,17,1488243956992
1,9,18,1488243957794
1,9,19,1488243958327
1,9,20,1488243958994
1,9,21,1488243959427
1,9,22,1488243960661
1,9,23,1488243961027
1,9,24,1488243961594
1,9,27,1488243963495
-1,9,26,1488243964459
1,9,28,1488243965359
9,9,-1,1488243965459
1,10,0,1488243967592
1,10,1,1488243967793
1,10,2,1488243968795
1,10,3,1488243969261
1,10,4,1488243969761
1,10,6,1488243971628
1,10,7,1488243972295
1,10,8,1488243972928
1,10,9,1488243973428
1,10,13,1488243975660
1,10,16,1488243978226
1,10,17,1488243978427
1,10,20,1488243980529
1,10,22,1488243981429
1,10,23,1488243981995
1,10,25,1488243982595
1,10,27,1488243983762
1,10,28,1488243984696
1,10,29,1488243985827
1,10,30,1488243986394
9,10,-1,1488243986460
1,11,1,1488243988127
1,11,4,1488243989894
1,11,7,1488243991730
1,11,8,1488243992496
1,11,11,1488243995229
1,11,12,1488243995496
1,11,14,1488243996961
1,11,18,1488243998394
-1,11,17,1488243998928
1,11,22,1488244001663
1,11,26,1488244003330
1,11,29,1488244005064
1,11,31,1488244006165
1,11,33,1488244007228
