%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 6
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,0,1,1,3,0,1488248407001,-1,1488248406436
6,0,1,1,1,0,7,1488248410101,-1,1488248409537
6,0,2,1,1,0,3,1488248413168,-1,1488248412607
6,0,3,1,1,1,3,1488248416269,1488248417635,1488248415704
6,0,4,1,0,1,3,1488248419335,-1,1488248418804
6,0,5,1,1,0,0,1488248422436,-1,1488248421877
6,0,6,1,1,0,5,1488248425503,-1,1488248424940
6,0,7,1,1,0,7,1488248428569,-1,1488248428038
6,0,8,1,1,0,1,1488248431669,-1,1488248431105
6,0,9,1,1,0,4,1488248434736,-1,1488248434173
6,0,10,1,1,1,4,1488248437836,1488248438470,1488248437274
6,1,0,1,1,3,2,1488248445603,-1,1488248445041
6,1,1,1,1,0,0,1488248448637,-1,1488248448109
6,1,2,1,1,0,1,1488248451704,-1,1488248451173
6,1,3,1,1,1,1,1488248454771,1488248455238,1488248454239
6,1,4,1,1,0,2,1488248457837,-1,1488248457275
6,1,5,1,1,0,6,1488248460904,-1,1488248460340
6,1,6,1,1,0,4,1488248464004,-1,1488248463439
6,1,7,1,1,0,1,1488248467071,-1,1488248466513
6,1,8,1,1,0,0,1488248470138,-1,1488248469575
6,1,9,1,1,0,5,1488248473238,-1,1488248472674
6,1,10,1,1,1,5,1488248476305,1488248476972,1488248475773
6,1,11,1,1,0,4,1488248479372,-1,1488248478843
6,1,12,1,1,0,0,1488248482472,-1,1488248481908
6,1,13,1,1,0,3,1488248485539,-1,1488248485007
6,1,14,1,1,1,3,1488248488606,1488248489139,1488248488043
6,1,15,1,1,0,1,1488248491640,-1,1488248491110
6,1,16,1,1,0,7,1488248494739,-1,1488248494175
6,1,17,1,1,1,7,1488248497806,1488248499140,1488248497275
6,1,18,1,1,1,7,1488248500873,1488248501773,1488248500311
6,1,19,1,1,1,7,1488248503973,1488248504540,1488248503409
6,1,20,1,1,0,1,1488248507040,-1,1488248506475
6,2,0,2,1,3,3,1488248521191,-1,1488248520629
6,2,1,2,1,3,0,1488248524291,-1,1488248523729
6,2,2,2,1,0,7,1488248527391,-1,1488248526827
6,2,3,2,1,0,2,1488248530458,-1,1488248529895
6,2,4,2,1,1,7,1488248533492,1488248534159,1488248532962
6,2,5,2,1,0,5,1488248536592,-1,1488248536027
6,2,6,2,1,0,4,1488248539658,-1,1488248539094
6,2,7,2,1,1,5,1488248542693,1488248543193,1488248542163
6,2,8,2,1,0,6,1488248545792,-1,1488248545229
6,2,9,2,1,0,1,1488248548859,-1,1488248548294
6,2,10,2,1,1,6,1488248551926,1488248552460,1488248551363
6,2,11,2,1,0,7,1488248555026,-1,1488248554463
6,3,0,2,1,3,7,1488248560060,-1,1488248559535
6,3,1,2,1,3,4,1488248563127,-1,1488248562565
6,3,2,2,1,0,6,1488248566227,-1,1488248565665
6,3,3,2,1,0,7,1488248569327,-1,1488248568762
6,3,4,2,1,0,3,1488248572427,-1,1488248571862
6,3,5,2,1,0,5,1488248575494,-1,1488248574931
6,3,6,2,1,1,3,1488248578528,1488248579128,1488248577998
6,3,7,2,1,0,2,1488248581594,-1,1488248581063
