%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1488226176385,1488226179604,1488226188171
1,G4,G,4,1488226189730,1488226192917,1488226198864
2,3W5,W,35,1488226200364,1488226205301,1488226210604
3,T7L,LT,7,1488226212131,1488226216852,1488226223449
4,1JA,AJ,1,1488226225016,1488226229702,1488226237925
0,F4,F,4,1488226244284,1488226247286,1488226252635
1,1J,J,1,1488226254167,1488226257170,1488226261173
2,A7,A,7,1488226262734,1488226265704,1488226269518
3,L1H,HL,1,1488226271018,1488226275738,1488226281735
4,T2S,ST,2,1488226283236,1488226287955,1488226293269
5,K43,K,34,1488226294770,1488226299272,1488226304437
6,R5B2,BR,25,1488226305937,1488226312406,1488226319313
7,N3L9,LN,39,1488226320838,1488226327274,1488226334055
8,5V8P,PV,58,1488226335555,1488226341991,1488226351189
9,4M7S1,MS,147,1488226352690,1488226360626,1488226371163
10,L3E1D,DEL,13,1488226372690,1488226380410,1488226388242
11,9M6K2,LM,169,1488226389775,1488226397494,1488226415227
12,D1B5R9,BDR,159,1488226416760,1488226425763,1488226437785
13,G9T2A5,ADG,259,1488226439311,1488226448315,1488226467246
14,3W5A1G,AGW,135,1488226468746,1488226477749,1488226486831
15,B6H7A5K,ABHR,567,1488226488364,1488226499083,1488226517499
16,8H4R1C2,AHR,1248,1488226519032,1488226529535,1488226543167
17,C7B5N9Y,CHIY,579,1488226544668,1488226555170,1488226573385
