%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 8
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:AlgorithmCondition,BlockNumber,Trial,CurrentNLevel,LureRate,IsCorrect,StimulusType,StimulusColor,PresentationTime(R),PresentationTime(A),ResponseTime(R),ResponseTime(A),ExpireTime(R),ExpireTime(A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,Gray=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,LessThanN=3,
3,0,0,1,0.3,1,3,4,48.78235,1488304091716,-1,-1,48.24905,1488304091188
3,0,1,1,0.3,1,1,4,51.84912,1488304094782,52.88232,1488304095816,51.28238,1488304094220
3,0,2,1,0.3,1,0,6,54.88266,1488304097816,-1,-1,54.3493,1488304097287
3,0,3,1,0.3,1,1,6,57.91617,1488304100849,58.7829,1488304101716,57.38275,1488304100322
3,0,4,1,0.3,1,0,0,60.94965,1488304103883,-1,-1,60.41632,1488304103355
3,0,5,1,0.3,1,0,3,63.98331,1488304106916,-1,-1,63.44968,1488304106388
3,0,6,1,0.3,1,1,3,67.01685,1488304109950,67.75006,1488304110684,66.48352,1488304109421
3,0,7,1,0.3,1,0,7,70.11682,1488304113050,-1,-1,69.55026,1488304112490
3,0,8,1,0.3,1,1,7,73.1171,1488304116050,73.85046,1488304116784,72.61697,1488304115555
3,0,9,1,0.3,1,0,2,76.15057,1488304119084,-1,-1,75.61716,1488304118555
3,0,10,1,0.3,1,0,5,79.15082,1488304122084,-1,-1,78.65067,1488304121589
3,0,11,1,0.3,1,0,1,82.25089,1488304125184,-1,-1,81.68436,1488304124623
3,0,12,1,0.3,1,0,3,85.2511,1488304128184,-1,-1,84.75101,1488304127690
3,0,13,1,0.3,1,2,1,88.25125,1488304131184,-1,-1,87.75116,1488304130690
3,0,14,1,0.3,1,1,1,91.31796,1488304134251,92.18494,1488304135119,90.75134,1488304133690
3,0,15,1,0.3,1,1,1,94.35156,1488304137285,95.31824,1488304138252,93.81815,1488304136757
3,0,16,1,0.3,1,0,2,97.38501,1488304140318,-1,-1,96.85184,1488304139790
3,0,17,1,0.3,1,0,3,100.4185,1488304143352,-1,-1,99.88519,1488304142824
3,0,18,1,0.3,1,0,6,103.4521,1488304146385,-1,-1,102.9186,1488304145857
3,0,19,1,0.3,1,1,6,106.519,1488304149452,107.3189,1488304150252,105.9523,1488304148891
3,0,20,1,0.3,1,1,6,109.5858,1488304152519,110.4858,1488304153419,109.0524,1488304151990
3,0,21,1,0.3,1,0,0,112.6191,1488304155552,-1,-1,112.0858,1488304155024
3,0,22,1,0.3,1,1,0,115.6527,1488304158586,116.3861,1488304159320,115.1194,1488304158058
3,0,23,1,0.3,1,1,0,118.7197,1488304161653,119.6197,1488304162553,118.1861,1488304161124
3,0,24,1,0.3,1,0,2,121.7531,1488304164686,-1,-1,121.2198,1488304164159
3,0,25,1,0.3,1,0,3,124.7534,1488304167687,-1,-1,124.2532,1488304167192
3,0,26,1,0.3,1,2,2,127.8201,1488304170753,-1,-1,127.2867,1488304170225
3,0,27,1,0.3,1,1,2,130.8536,1488304173787,131.787,1488304174721,130.3203,1488304173259
3,0,28,1,0.3,1,2,3,133.8872,1488304176820,-1,-1,133.3539,1488304176292
3,0,29,1,0.3,1,0,1,136.9539,1488304179887,-1,-1,136.4206,1488304179359
3,0,30,1,0.3,1,0,0,140.0208,1488304182954,-1,-1,139.4542,1488304182392
3,0,31,1,0.3,1,2,3,143.0884,1488304186022,-1,-1,142.5546,1488304185493
3,0,32,1,0.3,1,0,6,146.1878,1488304189121,-1,-1,145.6211,1488304188560
3,0,33,1,0.3,1,2,3,149.2546,1488304192188,-1,-1,148.6881,1488304191626
3,0,34,1,0.3,1,2,6,152.2881,1488304195221,-1,-1,151.7548,1488304194692
3,0,35,1,0.3,1,2,3,155.3216,1488304198255,-1,-1,154.7883,1488304197726
3,0,36,1,0.3,1,0,1,158.3219,1488304201255,-1,-1,157.8217,1488304200760
3,0,37,1,0.3,1,2,3,161.3221,1488304204255,-1,-1,160.822,1488304203760
3,0,38,1,0.3,1,2,1,164.389,1488304207322,-1,-1,163.8553,1488304206792
3,0,39,1,0.3,1,2,3,167.489,1488304210422,-1,-1,166.9223,1488304209861
3,0,40,1,0.3,1,1,3,170.5225,1488304213456,171.6225,1488304214556,169.9891,1488304212928
3,1,0,2,0.3,1,3,0,177.3441,1488304220289,-1,-1,176.8107,1488304219764
3,1,1,2,0.3,1,3,5,180.3444,1488304223290,-1,-1,179.8442,1488304222796
3,1,2,2,0.3,1,0,6,183.3781,1488304226323,-1,-1,182.8445,1488304225795
3,1,3,2,0.3,1,1,5,186.4781,1488304229423,187.4113,1488304230357,185.9114,1488304228862
3,1,4,2,0.3,1,2,5,189.5449,1488304232490,-1,-1,188.9783,1488304231928
3,1,5,2,0.3,1,2,6,192.6118,1488304235557,-1,-1,192.0451,1488304234995
3,1,6,2,0.3,1,1,5,195.6454,1488304238591,196.3787,1488304239324,195.1118,1488304238062
3,1,7,2,0.3,1,1,6,198.6789,1488304241624,199.7119,1488304242657,198.1455,1488304241096
3,1,8,2,0.3,1,0,0,201.7122,1488304244658,-1,-1,201.1789,1488304244129
3,1,9,2,0.3,1,2,0,204.7791,1488304247724,-1,-1,204.2458,1488304247196
3,1,10,2,0.3,1,1,0,207.8459,1488304250791,208.5458,1488304251491,207.2793,1488304250230
3,1,11,2,0.3,1,2,6,210.8794,1488304253825,-1,-1,210.3461,1488304253296
3,1,12,2,0.3,1,0,3,213.9463,1488304256891,-1,-1,213.3795,1488304256329
3,1,13,2,0.3,1,2,0,217.0132,1488304259958,-1,-1,216.4796,1488304259429
3,1,14,2,0.3,1,1,3,220.0467,1488304262992,220.8133,1488304263759,219.5133,1488304262463
3,1,15,2,0.3,1,0,1,223.0801,1488304266025,-1,-1,222.5467,1488304265498
3,1,16,2,0.3,1,2,0,226.0804,1488304269026,-1,-1,225.5802,1488304268531
3,1,17,2,0.3,1,0,4,229.0806,1488304272026,-1,-1,228.5805,1488304271532
3,1,18,2,0.3,1,1,0,232.1474,1488304275093,233.1807,1488304276126,231.614,1488304274563
