%Recollect Version 2.3. Scene/Level: nback2, Session: 1, GameNumber: 8
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,NLevel,IsCorrect,IsTarget,Type,PresentationTime(R),PresentationTime(A),TimeOutTime(R),TimeOutTime(A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,4,1,3,4,1.82959,1488306849671,4.32959,1488306852177
0,4,1,3,0,4.82983,1488306852670,7.32959,1488306855173
0,4,1,3,2,7.83008,1488306855671,10.33032,1488306858172
0,4,1,3,7,10.83032,1488306858671,13.33032,1488306861173
0,4,1,2,0,13.83032,1488306861671,16.33032,1488306864173
0,4,1,0,1,16.83032,1488306864672,19.33057,1488306867173
0,4,1,1,2,19.83057,1488306867671,21.06396,1488306868908
0,4,1,1,7,22.83081,1488306870671,23.73120,1488306871573
0,4,1,2,2,25.83081,1488306873671,28.33105,1488306876174
0,4,1,1,1,28.83105,1488306876672,29.63110,1488306877475
0,4,1,1,2,31.83130,1488306879672,32.66455,1488306880508
0,4,0,2,1,34.83154,1488306882673,35.59814,1488306883441
0,4,0,2,1,37.83154,1488306885671,39.13232,1488306886973
0,4,0,1,1,40.83179,1488306888672,43.33179,1488306891174
0,4,0,2,1,43.83203,1488306891672,45.19873,1488306893041
0,4,1,1,1,46.83203,1488306894672,47.59888,1488306895443
0,4,1,2,2,49.83228,1488306897672,52.33252,1488306900176
0,4,1,0,3,52.83252,1488306900673,55.33252,1488306903175
0,4,1,0,7,55.83252,1488306903673,58.33301,1488306906177
0,4,1,2,3,58.83276,1488306906674,61.33301,1488306909176
0,4,1,0,6,61.83301,1488306909673,64.33301,1488306912176
0,4,1,1,3,64.83301,1488306912674,65.66650,1488306913512
0,4,0,0,1,67.83325,1488306915673,68.70020,1488306916545
0,4,0,0,4,70.83350,1488306918674,71.60010,1488306919444
0,4,1,1,6,73.83350,1488306921674,74.33374,1488306922177
0,4,0,0,2,76.83398,1488306924674,77.43384,1488306925278
0,4,0,0,2,79.83398,1488306927674,80.46729,1488306928310
1,330.22350,0.92233,2,81.02173,1488306928876
0,4,0,1,4,82.83398,1488306930674,85.33423,1488306933176
0,4,0,2,2,85.83423,1488306933674,85.86768,1488306933714
0,4,0,1,2,88.83447,1488306936675,91.33447,1488306939178
0,4,1,0,5,91.83472,1488306939675,94.33472,1488306942178
0,4,1,0,0,94.83496,1488306942675,97.33545,1488306945177
0,4,1,2,5,97.83472,1488306945673,100.33570,1488306948179
0,4,1,1,2,100.83540,1488306948676,101.63600,1488306949479
0,4,0,2,2,103.83540,1488306951676,104.73540,1488306952578
0,4,1,0,1,106.80200,1488306954643,109.33540,1488306957178
0,4,1,0,6,109.80220,1488306957643,112.53560,1488306960378
0,4,0,0,4,112.76900,1488306960610,113.33590,1488306961179
0,4,0,0,0,115.86940,1488306963710,116.63600,1488306964480
0,4,0,0,3,118.86940,1488306966710,119.43630,1488306967277
0,4,0,0,3,121.83620,1488306969676,122.30300,1488306970146
0,4,0,0,5,124.83670,1488306972677,125.66990,1488306973513
0,4,0,2,6,127.83690,1488306975676,128.20360,1488306976047
0,4,1,1,3,130.83740,1488306978678,131.37010,1488306979214
