%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 1
%MatrixReasoning:Stage,ProblemNumber,CurrentResponse,CorrectResponse,NavigationDirection,TimeOfResponse
2,0,7,7,0,1488318248520
2,1,1,1,0,1488318254556
2,2,2,2,0,1488318266354
2,0,1,1,0,1488318283655
2,0,1,1,1,1488318287455
2,1,2,2,0,1488318291389
2,1,2,2,1,1488318292956
2,2,4,4,0,1488318299624
2,2,4,4,1,1488318301356
2,3,6,6,0,1488318315757
2,3,6,6,1,1488318322024
2,4,7,7,0,1488318332758
2,4,7,7,1,1488318334091
2,5,1,1,0,1488318373827
2,5,1,1,1,1488318377861
2,6,6,3,0,1488318388330
2,6,3,3,0,1488318395495
2,6,3,3,1,1488318397929
2,7,4,4,0,1488318413029
2,7,4,4,1,1488318413962
2,8,7,7,0,1488318422863
2,8,7,7,1,1488318425930
2,9,6,4,0,1488318460465
2,9,4,4,0,1488318467832
2,9,4,4,1,1488318472699
2,10,3,3,0,1488318486133
2,10,3,3,1,1488318486900
2,11,7,7,0,1488318509202
2,11,7,7,1,1488318510868
2,12,1,1,0,1488318532336
2,12,1,1,1,1488318535437
2,13,6,6,0,1488318564838
2,13,6,6,1,1488318570338
2,14,2,4,0,1488318608207
2,14,2,4,1,1488318616607
2,15,4,4,0,1488318626042
2,15,4,4,1,1488318713313
2,16,7,5,0,1488318744481
2,16,7,5,1,1488318745148
2,17,0,0,0,1488318765549
2,17,0,0,1,1488318766549
2,18,3,3,0,1488318790617
2,18,3,3,1,1488318793251
2,19,2,2,0,1488318824553
2,19,2,2,1,1488318826986
2,20,4,5,0,1488318833486
2,20,4,5,1,1488318834320
2,21,0,0,0,1488318848621
2,21,0,0,1,1488318849820
2,22,2,5,0,1488318864922
2,22,2,5,1,1488318867688
2,23,5,5,0,1488318889523
2,23,5,5,1,1488318897290
2,24,1,1,0,1488318924258
2,24,1,1,1,1488318925658
2,25,0,0,0,1488318942959
2,25,0,0,1,1488318944759
2,26,5,5,0,1488318969661
2,26,5,5,1,1488318970627
2,27,3,3,0,1488318997296
2,27,3,3,1,1488318999495
2,28,6,6,0,1488319019630
2,28,6,6,1,1488319020497
2,29,0,1,0,1488319044598
2,29,6,1,0,1488319070300
2,29,0,1,0,1488319090201
2,29,0,1,1,1488319091167
2,30,2,2,0,1488319115569
2,30,2,2,1,1488319117902
2,31,2,0,0,1488319145504
2,31,2,0,1,1488319149071
2,32,2,2,0,1488319187906
2,32,2,2,1,1488319188406
2,33,6,0,0,1488319199040
2,33,0,0,0,1488319203374
2,33,0,0,1,1488319204040
2,34,6,6,0,1488319265922
2,34,6,6,1,1488319269122
2,35,6,3,0,1488319283389
2,35,6,3,1,1488319303557
2,36,5,0,0,1488319327426
2,36,5,0,1,1488319368461
2,37,7,2,0,1488319374728
2,37,7,2,1,1488319375861
2,38,3,3,0,1488319403696
2,38,3,3,1,1488319411330
2,39,4,4,0,1488319441932
2,39,4,4,1,1488319450232
2,40,-1,6,1,1488319451299
2,41,2,7,0,1488319470767
