%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 4
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,28,9,7,0,13,bkkanakbcmgccapbcbpafdahccimbgeaihbnlgkcbmckjhbi,100001010000010101000000110010000000000000000000
1,33,13,2,0,19,pbhhaecoacbbpacpbcooaemnfcgdamfpdbibkancbmbajpaf,010010101111011010001000010000000100000000000000
2,20,9,1,0,11,mpembaaickcbcddibbklahdaocccafhbbdaijagifocabnkm,000011101011100001001000000000000000000000000000
3,27,10,2,0,16,nciobfkcbpkmadanebclanciblpabcaiibajjilicachciaj,000010011000100001101010100100000000000000000000
4,31,14,2,0,16,gdfcmbinagajmcbpbecaconlbanmababhlcpcbmoogocbpnc,000001001010011010110000110011110000000000000000
5,30,14,2,1,14,akmabecnbcaoilmcapmbbhpocanpcbblmchpajccmgkjbijb,100111001010000110011000110011100000000000000000
6,34,16,0,0,19,cbjaalfbopcbhhncdfachhobdfmacbndocabkmakgccmajak,110110010011000100110001000111000110000000000000
7,37,17,3,0,18,bacncjbaibgghfcoelcbhaabcibeajagphcfbcojdkflalmb,101010110100001000110110101010100010010000000000
8,30,13,1,0,17,acabbkjcgibploienafboocacakdincofagbphbcppjaclcb,101110010010000001010011110000100000000000000000
9,34,15,0,0,20,akbgdebepccafaidjpccaboifjobnhpajcceabballcidbhc,101000100111010000111100000100010110000000000000
10,27,12,0,0,16,ecfgibmcdjbhhjlaaaebcmobcolaofnnbkacacbackbgcihd,010001010010000111011001100100000000000000000000
11,23,10,1,0,13,dblcfkdbpaacimhafkpoccbambcenljpajlbbacicobkcail,010100010111000100001011000000000000000000000000
